week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,63.4,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,63.8,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,68.8,79.8,64.2,77.0,72.0,,77.0,73.0,,69.4,
14,,,,,,,,,,,,,,,,,,,,69.2,68.4,79.4,65.0,77.0,72.4,71.0,76.2,71.8,73.2,73.8,76.6
15,,,,,,,,,,,,,,,,,,,,70.8,70.6,81.8,65.0,76.0,74.0,72.0,77.6,72.4,75.0,75.0,77.4
16,,,,,,,,,,,,,,,,,,,,72.2,71.4,81.2,64.2,77.0,75.4,73.0,77.6,73.8,74.4,77.4,
17,,,,,67.0,,,,,,77.4,,,,,,,,,74.4,73.0,79.4,64.8,78.0,77.0,73.6,78.0,77.2,74.6,75.4,
18,,,,,67.6,68.0,66.8,69.8,76.4,66.4,76.8,60.8,57.4,74.0,,,74.2,70.4,77.8,75.0,73.6,79.6,67.4,79.4,77.0,75.8,75.4,77.2,77.2,76.0,
19,73.4,68.6,,,70.8,61.2,64.4,69.8,76.8,69.2,75.8,71.0,52.0,73.4,,,72.2,71.6,78.2,75.6,73.2,78.8,65.8,73.6,78.0,75.6,76.8,74.0,77.8,75.4,
20,72.0,66.2,69.4,68.2,69.4,56.0,62.2,70.6,77.6,71.6,71.6,70.4,49.6,73.6,,,70.2,72.4,79.2,78.4,71.2,78.6,68.6,72.0,78.2,73.0,77.4,69.6,78.6,77.8,
21,64.2,,72.0,60.2,73.0,53.6,66.0,68.0,75.6,72.8,66.0,66.6,43.0,73.0,,,65.8,70.0,77.6,76.6,72.2,75.6,67.8,77.2,75.2,70.0,74.6,72.8,79.0,77.2,
22,72.2,,,,71.0,51.6,66.2,64.4,79.2,70.2,72.4,61.2,38.6,71.8,,,62.6,68.8,77.6,77.4,73.4,73.0,69.2,78.4,66.6,73.0,74.4,76.4,76.8,78.6,
23,,63.2,,55.2,73.6,48.4,71.0,66.8,80.4,73.8,76.2,56.6,36.6,69.8,,,50.4,69.4,79.0,76.6,73.6,70.4,71.0,78.4,63.6,75.0,77.2,78.2,74.4,77.8,
24,,69.6,,58.2,76.4,49.6,76.2,66.0,82.2,74.4,77.4,52.0,32.6,69.0,,,,71.0,78.2,76.8,73.2,69.4,73.4,77.6,67.6,75.0,77.6,74.6,76.8,77.2,
25,61.2,68.2,,55.4,78.4,52.4,77.2,60.8,81.6,74.4,71.8,45.4,31.8,68.8,,75.0,52.0,68.6,71.2,76.8,70.8,66.4,75.6,80.0,68.0,76.2,77.4,70.8,77.6,71.8,
