week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,63.0,65.4,63.8,,,,,,,,49.8
2,,,,,,,,,,,,,,,,,,,,,61.2,65.0,64.4,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,58.6,65.0,64.6,,,,28.6,66.6,,,
4,,,,,,,,,,,,,,,,,,,,,58.8,65.0,65.6,50.0,,,,,78.0,64.0,
5,,,,,,,,,,,,,,,,,,,,,58.8,65.8,65.6,,,,,,,,44.2
6,,,,,,,,,,,,,,,,,,,,,59.6,65.8,65.6,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,59.6,64.8,66.4,,,,30.2,53.0,,,
8,,,,,,,,,,,,,,,,,,,,,59.6,64.6,65.8,44.4,60.2,,28.4,,62.2,53.0,
9,,,,,,,,,,,,,,,,,,,,,59.2,64.4,67.2,44.2,64.6,62.8,29.2,43.8,65.0,47.4,38.8
10,,,,,,,,,,,,,,,,,,,,,60.8,63.4,67.8,44.0,66.4,59.0,28.4,46.8,71.4,60.4,46.8
11,,,,,,,,,,,,,,,,,,,,,61.2,63.2,67.8,47.2,67.4,63.4,29.0,46.2,63.2,57.6,45.4
12,,,,,,,,,,,,,,,,,,,,,61.6,63.0,68.8,42.8,71.4,63.6,27.2,43.0,72.6,63.8,37.2
13,,,,,,,,,,,,,,,,,,,,,63.2,62.2,69.4,41.2,71.0,64.6,26.6,46.0,68.0,60.2,38.4
14,,,,,,,,,,,,,,,,,,,,49.6,63.8,61.8,68.6,38.6,68.6,64.6,26.8,46.2,61.8,60.0,36.2
15,,,,,,,,,,,,,,,,,,,,49.0,63.2,61.0,68.6,35.6,69.2,69.2,29.6,44.4,71.0,64.0,36.0
16,,,,,,,,,,,,,,,,,,,,48.2,63.2,60.2,68.6,39.2,67.8,68.4,29.2,39.2,66.8,54.0,
17,,,,,52.8,,,,,,74.4,,,,,72.2,55.4,,,49.2,62.8,58.6,64.8,34.8,69.2,71.6,31.0,39.4,69.6,63.6,
18,80.4,,65.4,,52.8,62.2,70.8,44.0,53.0,55.6,67.8,37.2,55.8,58.0,51.2,71.4,52.6,37.6,50.6,49.2,62.6,59.2,65.6,30.6,69.0,68.2,28.4,46.6,72.6,62.0,
19,80.4,,64.6,,52.8,57.6,75.8,41.8,50.8,56.2,66.0,37.0,53.4,56.6,50.6,71.6,50.0,39.0,43.2,48.8,62.8,58.8,73.0,27.6,69.4,69.6,28.8,43.8,69.6,73.6,
20,80.4,,64.6,,52.8,54.4,72.8,41.6,51.2,57.2,67.2,37.0,53.2,55.0,46.0,68.0,51.2,38.8,42.2,48.4,63.0,58.8,63.6,31.2,68.8,66.4,27.6,39.0,61.6,79.8,
21,80.4,,64.6,,57.4,52.8,74.6,40.2,49.6,55.2,66.0,37.0,52.0,56.2,48.2,68.0,51.2,38.8,41.8,47.4,62.8,58.6,64.8,31.6,70.6,66.4,28.2,38.0,71.2,60.0,
22,80.4,,64.4,,56.2,48.0,71.6,38.0,51.2,54.4,65.4,35.8,51.2,55.2,47.6,65.8,48.4,33.8,38.8,47.2,63.8,56.8,69.2,27.8,69.6,64.4,31.8,35.4,63.6,70.6,
23,,,60.8,,56.2,49.0,75.4,39.4,52.6,54.8,64.4,31.8,50.2,52.6,47.8,59.4,46.6,38.6,37.8,47.4,64.4,56.4,67.4,31.6,68.6,63.6,34.4,35.2,63.2,74.0,
24,,,61.6,,56.2,46.2,70.6,36.2,53.8,55.0,60.2,35.6,48.4,51.8,48.0,58.6,46.6,40.2,37.4,46.8,63.6,56.0,62.0,32.2,66.2,62.4,29.2,40.4,55.2,63.4,
25,,,61.6,,56.2,41.4,70.6,36.8,54.6,55.4,53.8,36.2,51.2,51.8,48.0,56.2,43.8,38.2,32.8,45.8,64.0,58.4,67.2,30.0,68.8,64.0,28.4,41.8,64.8,57.0,
26,64.4,,61.6,,42.4,36.8,69.4,39.2,60.2,54.0,49.4,35.6,50.2,50.4,57.2,55.6,43.4,37.6,30.4,45.8,62.0,58.8,61.8,30.2,68.4,60.4,29.8,37.4,61.2,53.0,
27,67.0,,54.4,,44.6,50.0,70.2,39.2,50.6,53.2,48.4,35.2,47.4,50.2,58.8,49.8,44.6,38.2,30.0,45.8,61.2,57.8,54.6,28.6,64.6,58.8,31.4,40.2,51.2,43.4,
28,67.0,,54.4,,51.6,46.8,69.8,42.4,46.2,53.4,46.6,33.8,45.4,49.8,44.0,48.0,43.0,33.0,30.0,46.2,63.2,55.4,48.4,29.6,62.6,57.2,27.4,47.8,56.8,45.0,
29,67.0,,56.4,,51.6,46.2,71.0,38.2,45.4,54.4,46.8,33.0,45.0,49.6,,46.8,43.6,39.0,33.0,46.0,63.8,55.4,54.4,29.2,58.2,55.6,32.8,45.4,57.2,54.0,
30,55.8,,56.4,,76.6,48.0,69.6,34.0,46.8,53.6,46.4,34.2,45.2,49.8,43.2,50.0,43.6,41.0,33.2,46.4,64.6,55.6,60.6,30.0,58.0,56.6,38.0,51.0,54.4,61.6,
31,61.0,52.0,52.0,,80.2,46.0,69.8,38.2,46.6,55.8,47.0,37.8,48.0,56.8,42.0,54.4,45.8,42.2,32.2,48.6,64.6,57.0,61.6,25.8,62.4,59.4,41.8,54.8,52.2,51.0,
32,61.0,50.6,53.2,,80.2,46.4,64.4,38.2,49.2,48.2,49.2,38.0,50.0,65.0,,54.6,47.4,43.4,43.8,50.2,66.4,58.8,66.0,31.0,59.6,55.8,46.4,54.4,52.4,52.2,
33,61.0,50.6,55.0,,78.0,48.4,64.2,37.4,50.6,47.0,49.6,40.0,51.6,66.0,41.0,59.0,50.8,46.0,39.6,53.4,67.2,60.6,73.2,33.8,56.0,52.0,49.6,60.8,50.6,50.0,
34,61.0,49.4,52.4,,84.0,48.4,66.2,35.4,53.0,49.4,55.2,41.0,54.2,57.2,31.0,67.6,51.0,46.6,43.2,55.8,66.8,62.0,74.8,38.4,55.4,44.8,57.4,69.0,48.8,52.0,
35,66.4,57.6,63.0,,86.4,48.4,64.6,35.4,54.2,47.2,52.4,41.8,54.4,63.6,34.0,63.6,49.2,47.2,47.6,58.8,67.2,63.0,77.6,43.2,55.8,41.6,67.0,72.2,49.8,53.2,
36,65.6,56.4,64.8,71.8,86.6,63.6,66.0,36.6,56.6,48.8,51.6,45.6,56.4,63.6,35.2,58.4,49.0,51.0,49.2,60.0,68.0,63.8,71.4,48.6,54.0,40.0,70.6,70.6,52.2,60.4,
37,65.6,53.8,64.8,72.0,86.6,58.4,67.0,37.6,57.0,50.4,52.2,47.4,55.6,65.4,34.8,61.6,52.6,57.8,42.0,61.0,67.2,64.2,70.0,46.0,49.6,43.4,72.4,70.6,46.2,52.6,
38,65.6,53.8,65.0,72.0,86.6,48.4,62.2,38.2,57.6,50.2,51.2,47.4,55.0,65.8,40.0,56.4,53.2,50.2,49.8,61.6,66.6,64.8,66.6,48.6,49.0,40.2,71.8,72.4,53.0,52.0,
39,60.2,57.0,65.0,72.0,87.4,56.2,66.2,40.0,57.4,48.2,56.0,47.8,55.2,65.6,40.0,61.8,48.4,51.4,51.4,61.6,66.6,64.8,64.6,43.4,51.2,48.2,74.2,75.8,51.4,49.4,
40,60.2,62.8,68.4,72.4,87.4,55.0,66.0,38.0,57.0,50.4,50.2,46.4,58.6,65.8,39.0,54.0,51.2,50.0,,61.8,65.8,64.8,67.2,44.8,50.4,52.8,73.6,71.0,56.8,45.2,
41,61.2,62.8,68.2,74.0,87.4,46.0,69.0,37.4,56.2,49.6,49.6,56.0,59.6,65.4,39.0,59.6,47.2,52.8,,61.8,65.8,65.0,68.4,43.0,46.4,57.2,74.2,71.4,49.8,45.4,
42,61.2,62.8,68.2,74.0,84.4,52.8,68.2,35.0,57.0,49.6,49.2,69.8,58.6,63.0,37.0,60.8,49.2,49.2,49.0,61.8,65.4,64.4,68.4,48.6,45.6,51.8,72.6,65.8,46.2,45.2,
43,61.2,59.6,68.2,74.0,82.0,53.8,68.6,37.0,56.2,44.0,47.6,71.8,58.4,64.2,35.8,67.2,49.8,48.8,48.6,60.6,65.8,64.4,64.6,51.6,41.4,45.0,68.4,68.8,50.8,39.6,
44,60.0,,69.4,,,,,,55.2,43.8,,,,64.0,,,,,,60.6,66.0,64.0,60.0,50.2,37.0,40.2,68.2,74.0,52.6,44.4,
45,,,,,,,,,,,,,,,,,,,,60.4,66.2,63.8,64.2,45.6,40.2,37.4,66.8,65.6,48.8,42.2,
46,,,,,,,,,,,,,,,,,,,,59.6,65.8,62.8,59.4,46.6,40.0,33.8,67.4,71.8,41.8,44.6,
47,,,,,,,,,,,,,,,,,,,,59.0,66.6,62.6,55.4,47.8,39.6,31.8,66.8,67.2,44.0,39.4,
48,,,,,,,,,,,,,,,,,,,,58.6,66.6,63.2,,,50.0,29.8,,,,,
49,,,,,,,,,,,,,,,,,,,,58.6,66.4,62.2,,,55.0,,,,,,
50,,,,,,,,,,,,,,,,,,,,58.4,66.0,62.2,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,59.2,66.0,62.0,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,59.0,66.0,,51.6,,,,,64.4,55.9,,
