week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
5,,,,,,,,,,,,,,,,,,,,,55.2,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,56.6,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,67.0,57.8,54.0,,56.4,58.0,55.6,64.6,52.2
11,,,,,,,,,,,,,,,,,,,,,57.8,,62.8,59.0,56.0,61.0,59.8,58.4,54.6,66.8,59.0
12,,,,,,,,,,,,,,,,,,,,,58.6,69.4,62.4,60.4,59.4,58.8,61.0,58.4,55.2,67.0,59.8
13,,,,,,,,,,,,,,,,,,,,,60.0,70.8,65.0,60.6,62.4,63.6,63.4,62.2,57.0,67.2,60.0
14,,,,,,,,,,,,,,,,,,,,62.0,64.6,71.4,68.2,60.0,62.4,66.2,64.0,64.4,60.4,68.4,60.6
15,,,,,,,,,,,,,,,,,,,,65.6,66.6,71.6,70.4,60.4,66.4,63.8,66.4,63.0,63.2,67.2,62.4
16,,,,,,,,,,,,,,,,,,,,66.6,67.8,72.6,72.2,60.8,66.4,66.2,65.2,65.4,64.2,65.6,
17,,,,,73.0,,,,,,73.8,,,,,,68.4,,,70.4,69.0,72.2,73.8,63.0,69.8,67.0,67.6,65.6,64.4,68.6,
18,,57.6,73.0,,74.8,75.4,64.4,77.8,68.8,75.4,72.6,70.2,66.0,73.0,73.4,,69.6,70.8,70.6,70.8,70.4,72.8,73.8,64.8,70.8,72.2,67.4,67.0,64.6,70.2,
19,,,71.4,,74.8,75.4,64.2,80.2,70.2,76.6,71.4,70.6,67.8,74.4,75.8,,72.6,70.4,71.4,71.4,71.6,73.4,74.2,69.0,72.6,72.6,69.0,69.8,68.2,71.2,
20,,,,,74.8,75.2,59.4,81.2,73.4,78.0,64.6,71.0,71.6,75.6,76.6,,,63.4,74.2,72.2,71.2,73.2,73.8,72.0,73.2,73.6,71.0,70.2,70.0,71.6,
21,,,,70.8,74.6,76.6,58.8,80.8,74.8,76.6,65.4,69.6,69.6,74.6,,,,55.0,77.2,73.6,69.6,73.4,75.2,71.4,73.6,73.8,72.0,72.0,69.4,72.2,
22,,,,,74.8,77.0,63.2,81.6,73.6,78.6,62.6,70.0,72.6,76.2,,,,51.6,77.4,74.4,67.4,73.2,74.8,72.6,73.4,73.6,71.2,74.8,66.8,73.6,
23,,,,,71.8,77.6,64.6,80.2,77.2,79.0,61.8,70.0,71.0,75.4,,,,46.4,78.4,75.2,67.2,74.2,76.6,67.6,71.6,75.2,72.4,74.0,68.2,75.6,
24,,,,,75.0,78.6,63.2,79.6,78.8,78.8,61.6,68.8,72.0,76.4,,,67.8,47.2,78.6,76.2,67.6,73.4,75.2,62.8,74.4,75.4,72.0,72.0,69.6,75.8,
