week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,64.0,57.0,66.0,48.0,,,,,,,74.0
2,,,,,,,,,,,,,,,,,,,,,67.0,58.0,70.0,49.0,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,70.0,60.0,70.0,47.0,,,52.0,78.0,,,
4,,,,,,,,,,,,,,,,,,,,,71.0,61.0,70.0,49.0,,,,,77.0,70.0,
5,,,,,,,,,,,,,,,,,,,,,71.0,64.0,70.0,,,,,,,,74.0
6,,,,,,,,,,,,,,,,,,,,,71.0,64.0,70.0,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,70.0,68.0,70.0,,,,66.0,81.0,,,
8,,,,,,,,,,,,,,,,,,,,,71.0,67.0,72.0,57.0,78.0,,,,90.0,79.0,
9,,,,,,,,,,,,,,,,,,,,,71.0,72.0,73.0,,,,,,,,74.0
10,,,,,,,,,,,,,,,,,,,,,70.0,73.0,75.0,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,70.0,79.0,75.0,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,72.0,76.0,76.0,63.0,78.0,,66.0,70.0,88.0,86.0,
13,,,,,,,,,,,,,,,,,,,,,68.0,75.0,77.0,67.0,86.0,66.0,67.0,71.0,87.0,86.0,94.0
14,,,,,,,,,,,,,,,,,,,,48.0,67.0,75.0,80.0,71.0,86.0,57.0,60.0,73.0,88.0,86.0,94.0
15,,,,,,,,,,,,,,,,,,,,49.0,66.0,75.0,80.0,72.0,86.0,62.0,51.0,72.0,88.0,92.0,93.0
16,,,,,,,,,,,,,,,,,,,,46.0,66.0,75.0,83.0,74.0,88.0,70.0,49.0,72.0,85.0,92.0,
17,,,,,80.0,,,,,,83.0,,,,,,,,,47.0,64.0,75.0,85.0,74.0,82.0,66.0,49.0,71.0,82.0,93.0,
18,,,,,77.0,68.0,72.0,54.0,82.0,67.0,86.4,87.6,39.0,39.6,,,,79.0,52.0,47.0,60.0,75.0,82.0,70.0,79.0,65.0,50.0,70.0,86.0,90.0,
19,,,,,80.0,66.0,72.0,54.0,80.0,64.0,86.0,89.4,37.4,34.0,,,,65.0,49.0,44.0,61.0,74.0,81.0,69.0,75.0,65.0,49.0,70.0,88.0,84.0,
20,,,,,80.0,70.0,71.0,52.0,83.0,57.0,85.0,83.4,36.4,29.4,,,,61.0,54.0,44.0,62.0,72.0,80.0,67.0,75.0,65.0,49.0,66.0,86.0,82.0,
21,,,,,75.0,66.0,65.0,50.0,76.0,48.0,82.6,80.2,34.2,32.2,,,,61.0,49.0,41.0,62.0,73.0,78.0,65.0,74.0,65.0,48.0,65.0,85.0,80.0,
22,,,,,74.0,66.0,65.0,50.0,71.0,44.0,82.0,77.2,33.0,28.8,,,,60.0,47.0,43.0,62.0,72.0,78.0,65.0,72.0,63.0,48.0,60.0,83.0,81.0,
23,,,,,76.0,64.0,59.0,50.0,70.0,41.0,79.0,67.8,33.0,28.8,,,,54.0,43.8,41.0,60.0,71.0,75.0,60.0,71.0,59.0,51.0,60.0,85.0,81.0,
24,,,,,74.0,50.0,52.0,50.0,67.0,41.0,74.8,65.6,32.0,28.8,,,,48.0,40.4,41.0,59.0,67.0,72.0,57.0,67.0,55.0,51.0,60.0,84.0,72.0,
25,,,,,74.0,50.0,48.0,50.0,61.0,39.0,70.0,63.0,30.0,26.6,,,73.0,48.0,38.0,44.0,57.0,63.0,72.0,58.0,61.0,50.0,51.0,61.0,83.0,70.0,
26,,,,,72.0,47.0,48.0,51.0,58.0,39.0,68.0,61.8,29.6,26.6,,,74.0,44.0,34.4,43.0,54.0,63.0,66.0,58.0,58.0,48.0,51.0,55.0,80.0,68.0,
27,,,,,71.0,41.0,42.0,41.0,57.0,37.0,60.4,58.8,27.0,25.2,,72.0,71.0,43.0,34.0,42.0,54.0,60.0,62.0,58.0,57.0,46.0,51.0,55.0,81.0,68.0,
28,,,63.0,,65.0,40.0,40.0,38.6,56.0,36.0,55.0,58.4,26.6,25.2,,69.0,71.0,43.0,36.0,42.0,52.0,61.0,58.0,54.0,54.0,46.0,51.0,55.0,79.0,68.0,
29,,,62.0,,67.0,40.0,34.0,44.0,55.0,35.0,53.2,56.2,26.4,24.0,,,67.0,43.0,34.0,44.0,50.0,58.0,57.0,53.0,54.0,44.0,49.0,55.0,78.0,68.0,
30,,,62.0,,68.0,39.0,34.0,42.0,51.0,33.0,52.4,55.2,26.4,24.0,,,60.0,40.0,37.0,44.0,51.0,58.0,57.0,56.0,55.0,43.0,47.0,50.0,76.0,68.0,
31,,,,,71.0,36.0,43.0,39.0,48.0,32.0,46.8,50.2,26.2,24.0,,,,40.0,34.0,43.0,51.0,58.0,56.0,55.0,46.0,43.0,47.0,49.0,77.0,68.0,
