week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,69.2,,,,,,,,,,61.8
3,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,54.4,,,
4,,,,,,,,,,,,,,,,,,,,,,65.6,64.6,61.6,,,,,59.0,74.8,
5,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,,,,59.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,63.2,,,
8,,,,,,,,,,,,,,,,,,,,,,61.6,57.6,58.0,59.8,,,,58.2,76.4,
9,,,,,,,,,,,,,,,,,,,,,56.4,,,,,,,,,,61.4
10,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,51.2,61.6,,
11,,,,,,,,,,,,,,,,,,,,,,58.0,,,63.4,60.4,50.0,54.4,61.0,70.4,55.8
12,,,,,,,,,,,,,,,,,,,,,57.6,58.8,61.0,57.6,65.6,67.0,46.8,56.0,58.2,66.8,58.4
13,,,,,,,,,,,,,,,,,,,,,58.0,60.0,62.4,53.6,64.8,69.2,45.6,57.0,58.8,74.8,57.6
14,,,,,,,,,,,,,,,,,,,,56.4,57.4,61.2,62.0,53.8,67.0,68.8,46.8,53.4,59.8,66.6,59.4
15,,,,,,,,,,,,,,,,,,,,56.4,57.2,62.0,60.6,52.2,68.2,67.8,46.8,50.8,54.8,69.0,56.8
16,,,,,,,,,,,,,,,,,,,,56.6,57.4,64.8,62.2,50.0,71.4,66.4,47.2,51.6,54.8,69.0,
17,,,,,77.13333333333333,,,,,,68.8,,,,,73.8,57.3,,,54.0,61.8,71.53333333333333,67.0,52.2,71.6,66.4,60.13333333333333,46.666666666666664,57.8,66.0,
18,72.4,54.400000000000006,69.5,67.0,77.86666666666666,66.93333333333332,64.66666666666667,52.333333333333336,53.800000000000004,56.0,67.73333333333333,59.73333333333334,69.73333333333333,63.93333333333334,63.0,74.8,54.9,64.26666666666667,40.4,55.6,63.199999999999996,72.93333333333334,74.4,60.13333333333333,74.86666666666666,68.39999999999999,60.79999999999999,50.6,47.06666666666666,67.13333333333334,
19,73.4,57.73333333333333,69.69999999999999,73.0,77.86666666666667,66.46666666666665,67.60000000000001,50.800000000000004,55.46666666666667,54.333333333333336,69.13333333333333,58.26666666666666,71.60000000000001,64.60000000000001,66.3,75.5,55.2,65.39999999999999,42.6,56.26666666666667,65.06666666666666,73.93333333333334,75.86666666666666,61.4,75.60000000000001,67.86666666666666,62.4,52.06666666666666,50.333333333333336,67.26666666666667,
20,76.4,59.79999999999999,66.9,73.9,79.8,65.73333333333333,68.66666666666667,52.6,57.199999999999996,55.199999999999996,68.39999999999999,56.26666666666667,72.26666666666667,63.6,69.30000000000001,75.8,54.3,63.666666666666664,46.6,55.46666666666667,67.33333333333333,75.06666666666666,77.26666666666667,62.06666666666666,75.73333333333333,67.39999999999999,65.66666666666667,51.199999999999996,51.26666666666667,67.13333333333333,
21,80.2,61.800000000000004,66.80000000000001,71.2,79.26666666666667,64.73333333333333,69.53333333333335,50.86666666666667,60.199999999999996,55.53333333333333,67.26666666666667,55.0,73.73333333333333,64.26666666666667,69.19999999999999,76.8,58.3,60.79999999999999,47.4,55.86666666666667,69.33333333333333,76.8,78.2,61.93333333333333,76.53333333333335,67.66666666666667,69.6,52.199999999999996,55.4,69.13333333333334,
22,79.0,65.13333333333334,68.69999999999999,74.8,79.86666666666667,65.13333333333334,71.13333333333334,48.93333333333334,62.53333333333333,54.06666666666666,70.86666666666666,52.53333333333333,73.86666666666667,63.46666666666666,71.1,75.5,55.8,57.800000000000004,47.6,56.6,70.33333333333333,77.06666666666666,78.60000000000001,62.73333333333333,78.06666666666666,67.2,70.86666666666666,56.73333333333333,59.199999999999996,70.13333333333334,
23,81.2,66.69999999999999,70.8,73.0,81.0,59.0,72.2,50.4,65.60000000000001,53.46666666666667,71.8,50.13333333333333,76.60000000000001,65.39999999999999,71.1,76.4,57.3,53.93333333333334,50.666666666666664,58.06666666666666,71.73333333333333,77.73333333333333,78.86666666666667,62.26666666666667,78.39999999999999,66.13333333333334,69.46666666666665,59.06666666666666,61.666666666666664,70.26666666666667,
24,,69.39999999999999,74.0,73.0,81.13333333333333,55.53333333333333,72.93333333333334,49.4,65.66666666666667,52.4,72.13333333333333,51.0,76.33333333333333,64.2,74.4,75.1,60.4,51.93333333333334,50.800000000000004,60.06666666666666,73.73333333333333,76.86666666666666,77.2,60.46666666666666,78.86666666666666,64.0,68.93333333333332,57.93333333333334,63.666666666666664,69.06666666666666,
25,,67.6,73.6,70.9,80.33333333333333,55.199999999999996,72.46666666666667,47.26666666666667,67.39999999999999,54.800000000000004,70.8,51.13333333333333,75.60000000000001,65.66666666666667,74.6,74.19999999999999,59.1,47.06666666666666,51.53333333333333,61.13333333333333,74.33333333333333,76.2,75.6,61.26666666666667,79.73333333333333,62.93333333333334,68.86666666666666,56.73333333333333,66.66666666666667,69.8,
26,,67.30000000000001,71.6,71.39999999999999,79.86666666666667,54.800000000000004,70.93333333333334,43.93333333333334,68.26666666666667,58.06666666666666,71.33333333333333,49.6,74.93333333333334,66.2,74.80000000000001,74.5,56.0,42.93333333333334,49.800000000000004,62.73333333333333,74.66666666666667,76.26666666666667,73.46666666666667,62.86666666666667,78.66666666666667,63.133333333333326,68.93333333333334,54.86666666666667,66.26666666666667,68.53333333333333,
