week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,69.2,,,,,,,,,,61.8
3,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,54.4,,,
4,,,,,,,,,,,,,,,,,,,,,,65.6,64.6,61.6,,,,,59.0,74.8,
5,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,,,,59.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,63.2,,,
8,,,,,,,,,,,,,,,,,,,,,,61.6,57.6,58.0,59.8,,,,58.2,76.4,
9,,,,,,,,,,,,,,,,,,,,,56.4,,,,,,,,,,61.4
10,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,51.2,61.6,,
11,,,,,,,,,,,,,,,,,,,,,,58.0,,,63.4,60.4,50.0,54.4,61.0,70.4,55.8
12,,,,,,,,,,,,,,,,,,,,,57.6,58.8,61.0,57.6,65.6,67.0,46.8,56.0,58.2,66.8,58.4
13,,,,,,,,,,,,,,,,,,,,,58.0,60.0,62.4,53.6,64.8,69.2,45.6,57.0,58.8,74.8,57.6
14,,,,,,,,,,,,,,,,,,,,56.4,57.4,61.2,62.0,53.8,67.0,68.8,46.8,53.4,59.8,66.6,59.4
15,,,,,,,,,,,,,,,,,,,,56.4,57.2,62.0,60.6,52.2,68.2,67.8,46.8,50.8,54.8,69.0,56.8
16,,,,,,,,,,,,,,,,,,,,56.6,57.4,64.8,62.2,50.0,71.4,66.4,47.2,51.6,54.8,69.0,
17,,,,,75.6,,,,,,65.4,,,,,73.0,54.6,,,54.0,58.6,65.8,67.0,52.2,71.6,66.4,46.8,50.2,57.8,66.0,
18,72.4,52.6,65.4,67.0,75.8,71.8,63.6,40.0,49.2,52.2,66.8,48.2,71.6,55.0,55.0,,51.4,55.4,36.0,53.6,60.6,67.6,69.4,56.0,73.6,61.4,47.2,54.2,56.6,65.8,
19,72.8,59.0,67.6,73.2,75.2,73.8,68.8,36.4,52.8,49.8,68.6,46.8,73.0,54.8,59.8,76.0,53.2,58.0,42.2,55.6,63.4,68.2,74.6,60.0,74.4,59.6,51.6,49.0,60.6,67.8,
20,76.4,54.8,66.6,73.2,77.6,72.0,70.2,39.0,55.6,53.4,67.8,43.2,75.0,52.2,64.2,,51.8,59.8,48.8,55.2,65.2,69.4,76.4,59.4,74.0,57.4,60.2,42.6,58.8,66.6,
21,80.2,59.2,68.2,71.2,77.2,71.4,72.4,38.0,57.6,52.4,67.0,45.4,76.4,49.2,66.8,,58.6,56.4,49.6,56.8,67.6,72.4,77.0,57.4,77.4,55.8,63.6,44.2,65.2,68.4,
22,79.0,63.4,65.8,74.8,78.2,69.0,72.4,34.0,62.8,51.2,70.4,41.4,75.2,46.2,69.2,74.6,52.0,49.8,46.4,58.2,67.6,73.0,78.8,57.2,79.2,55.6,67.0,50.4,67.0,69.2,
23,81.2,67.6,69.8,72.0,79.6,61.2,73.0,39.4,63.4,50.0,72.6,41.2,76.4,50.2,68.6,75.6,54.4,46.6,47.2,58.8,69.4,75.4,80.2,53.8,77.8,54.0,68.6,52.8,72.6,69.4,
24,,67.8,74.0,73.0,79.6,57.4,75.0,35.6,68.0,47.8,71.8,41.8,78.6,45.4,73.0,72.4,61.0,47.2,44.6,60.0,71.8,75.0,77.8,50.8,78.6,53.4,70.6,52.2,73.0,66.0,
25,,67.4,77.0,66.6,78.2,56.0,73.4,34.8,68.4,50.2,67.0,41.4,76.6,50.2,74.2,71.6,58.6,40.4,44.0,60.6,72.0,74.8,77.6,49.8,78.2,49.2,70.8,53.4,81.8,62.4,
26,,65.4,72.8,65.2,76.8,55.4,72.8,34.4,70.6,57.2,68.8,42.2,76.0,51.2,74.4,72.8,56.6,37.4,39.2,60.2,72.4,75.2,74.4,51.0,78.4,53.6,70.2,55.6,78.6,60.6,
27,,66.2,68.2,64.4,75.8,55.0,67.6,31.0,61.8,66.2,66.8,44.8,73.2,45.8,75.4,73.6,60.4,36.8,38.4,60.2,72.4,75.4,73.2,50.2,77.6,52.2,70.0,53.8,76.4,63.0,
28,,71.0,66.4,64.6,76.0,48.8,67.4,35.2,58.2,63.2,62.8,41.0,72.8,47.8,,73.6,57.6,38.8,40.6,60.2,72.8,74.2,73.2,47.4,76.6,50.4,68.2,55.6,80.4,67.0,
29,,72.6,63.0,69.0,77.6,53.8,71.8,29.8,56.2,61.0,58.4,46.4,69.8,48.8,75.0,69.6,61.0,35.6,42.4,60.2,72.8,73.6,67.0,49.0,77.0,49.6,70.6,50.8,75.8,65.0,
30,,71.8,53.4,68.2,72.4,54.0,69.4,29.0,52.4,63.4,58.0,40.8,67.0,46.4,,70.4,57.6,34.4,46.2,60.6,72.8,73.0,70.0,52.4,75.6,54.2,72.8,57.2,70.2,68.0,
31,,71.4,63.4,74.8,76.8,49.2,68.4,29.6,51.4,65.8,56.2,43.4,68.0,45.2,72.0,,58.4,34.0,44.2,61.8,72.6,72.8,70.6,47.2,76.4,53.6,68.8,56.2,73.2,63.4,
32,73.6,75.0,72.4,78.0,78.8,47.0,69.4,29.0,49.2,65.6,53.4,45.2,70.4,49.0,72.8,,55.4,31.8,47.0,62.4,72.2,72.6,73.8,46.0,77.2,52.8,65.0,57.8,74.2,66.2,
