week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,65.2,72.4,,,,83.0,75.8,,,,68.4
15,,,,,,,,,,,,,,,,,,,,56.8,65.2,72.6,,,,83.0,76.0,80.0,,,61.0
16,,,,,,,,,,,,,,,,,,,,61.8,62.6,72.6,,,,80.0,76.8,77.4,75.0,70.8,
17,,,,,81.8,,,,,,79.0,,,,,68.8,73.6,,,78.4,64.2,70.8,74.8,,,77.2,77.0,74.4,61.2,67.0,
18,,,,,78.0,77.8,72.6,76.8,74.0,77.6,74.8,58.6,73.6,64.4,74.2,62.6,73.6,74.2,74.8,79.8,65.0,70.8,71.2,72.4,78.4,75.6,77.2,73.4,72.6,66.2,
19,,,,,73.8,73.6,63.2,77.8,78.0,79.4,77.8,61.2,73.6,68.0,74.6,66.0,74.0,70.4,76.2,80.2,67.2,70.6,75.2,77.0,76.6,75.2,74.8,74.0,74.6,66.4,
20,,,,,76.0,75.0,56.8,77.8,74.4,78.2,78.0,63.6,74.4,67.4,74.6,69.0,74.0,69.2,75.2,80.2,66.8,70.8,70.6,70.8,79.6,76.0,67.6,73.2,74.2,65.8,
21,,,,,71.2,75.6,63.0,78.2,80.6,74.0,79.2,66.4,71.8,71.0,75.4,68.0,,62.4,74.6,81.0,67.0,70.8,71.6,70.4,78.8,74.0,61.0,72.0,70.4,70.2,
22,,,,,68.4,78.0,66.4,73.8,76.8,73.2,79.6,59.2,71.6,71.6,,64.8,,62.4,74.8,77.8,65.2,71.8,71.0,68.8,78.2,79.2,70.6,73.2,67.6,63.8,
23,,,,,59.8,78.4,72.8,71.2,74.8,73.8,80.0,60.8,74.6,73.4,75.4,60.0,,62.0,73.2,77.0,65.6,71.2,70.4,71.8,79.8,76.0,74.4,72.0,60.0,65.0,
24,,,,,61.2,77.4,74.0,72.8,78.8,80.0,79.0,63.6,71.0,73.0,75.4,52.2,,57.4,75.4,76.6,64.6,71.6,69.2,69.8,79.6,76.4,74.0,77.0,68.2,64.2,
25,,,,,59.8,78.0,74.8,70.8,73.2,80.8,75.6,68.8,68.0,72.0,75.0,,,64.6,76.0,73.2,66.6,70.6,71.0,71.6,79.4,76.0,71.4,73.4,68.8,53.2,
26,,,,,61.2,78.6,77.2,62.0,71.0,78.2,74.6,72.2,64.8,69.2,75.2,,,63.0,74.4,73.2,68.4,70.0,68.0,71.0,77.0,71.8,68.8,70.8,70.6,62.2,
27,,,,,66.0,76.2,77.4,55.6,77.6,68.4,76.0,74.6,56.2,67.4,74.6,,,49.4,74.6,67.2,68.4,70.0,61.2,72.6,75.4,68.6,68.8,72.6,68.0,56.0,
28,,,,,59.0,75.6,76.8,50.8,75.6,66.6,76.2,74.6,51.0,66.8,74.0,51.2,,39.4,75.6,67.2,68.4,68.4,63.0,56.0,71.0,65.2,71.2,74.2,73.8,62.4,
29,,,,,56.2,79.0,74.4,40.4,78.2,53.2,76.6,76.8,49.6,61.4,69.4,50.4,,41.2,74.6,68.4,69.4,65.6,62.0,63.6,68.4,64.2,63.0,69.0,62.0,61.8,
30,,,52.6,,48.6,82.0,74.6,45.0,78.2,68.4,77.6,78.0,46.0,57.8,69.6,,,45.6,73.2,67.8,68.8,67.0,64.0,67.2,65.4,65.2,61.8,61.0,69.2,64.8,
31,,,,,46.4,82.2,66.8,40.6,79.4,73.0,76.4,71.2,45.4,58.6,,,,46.2,75.2,68.0,69.2,66.8,65.4,67.0,58.2,65.2,60.4,66.6,68.0,62.6,
32,,,,,45.0,82.2,71.0,35.8,76.8,73.0,77.8,66.6,42.2,58.6,,,,41.2,68.8,67.6,68.8,65.2,65.2,62.8,60.0,69.2,61.4,66.6,70.2,65.6,
33,,,46.4,,46.6,82.0,70.2,30.4,77.2,76.2,79.4,64.2,42.0,50.8,72.6,,,53.2,75.4,67.4,69.4,65.0,67.0,65.8,62.4,69.6,61.2,62.8,75.0,62.4,
34,,,,,49.0,78.6,68.0,30.2,82.0,76.8,78.2,56.2,51.2,43.8,72.8,62.0,65.2,52.0,72.0,68.0,68.8,63.2,67.8,66.4,59.2,70.8,62.6,59.6,68.6,58.8,
35,,,53.4,,54.0,79.0,64.2,40.6,82.4,76.4,70.6,58.8,51.0,35.8,74.6,61.8,65.0,56.0,75.0,63.8,66.4,62.2,67.4,69.2,60.8,71.0,60.2,51.8,57.4,58.6,
36,,,,,57.2,78.4,72.8,41.8,81.2,80.4,59.6,62.2,50.4,37.0,74.6,60.6,,61.2,72.8,63.2,60.0,58.0,68.0,68.2,58.8,69.0,63.8,53.8,57.4,56.2,
37,,,61.6,,63.4,78.6,74.0,44.4,81.0,78.2,57.6,65.6,50.4,37.4,,58.0,,61.4,71.8,63.0,58.4,54.0,69.2,72.2,62.6,72.4,66.2,57.6,63.2,53.6,
38,,,,,62.6,78.4,71.0,52.8,73.8,80.4,50.6,67.0,45.0,40.6,,58.4,65.0,56.6,71.4,62.0,56.4,55.6,68.2,69.8,63.2,70.2,68.0,56.4,63.4,53.6,
39,,,,,68.8,78.2,73.2,55.4,80.6,,51.0,67.4,43.0,44.0,,60.4,65.0,60.2,68.4,65.2,55.4,57.4,68.0,72.4,57.0,66.6,67.4,55.2,62.4,53.2,
40,,,,,65.8,77.6,73.0,60.2,73.8,,55.0,69.8,42.8,52.8,78.8,60.4,65.4,61.0,,64.8,58.8,60.8,65.2,62.6,58.0,65.6,57.2,55.4,65.2,52.6,
41,,,,,73.0,75.8,75.0,65.2,78.8,79.0,55.2,70.2,45.4,54.0,,54.0,66.2,60.8,,63.8,60.0,63.4,62.6,66.2,51.6,54.4,65.8,56.2,64.8,50.6,
42,,,,,73.8,75.2,68.0,64.6,78.6,78.2,63.2,67.4,44.2,54.0,,60.2,58.8,61.0,65.6,64.2,61.4,63.4,61.0,62.6,51.8,63.8,69.4,58.2,68.0,45.6,
43,,,,,76.6,78.0,56.0,64.6,79.8,78.0,66.8,70.8,47.8,57.0,,64.0,59.0,61.0,72.0,63.8,63.8,63.2,65.2,65.0,50.8,65.8,62.0,55.0,67.2,46.8,
