week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,65.4,67.4,59.2,57.2,,67.8,63.6,63.8,65.4,64.8,66.0
2,,,,,,,,,,,,,,,,,,,,,65.0,66.6,58.2,56.2,,69.0,64.6,64.6,61.0,63.0,64.6
3,,,,,,,,,,,,,,,,,,,,,63.6,65.6,57.6,56.0,,69.0,61.6,58.4,59.0,65.4,67.0
4,,,,,,,,,,,,,,,,,,,,,64.2,63.6,57.2,51.2,,69.4,63.0,55.2,54.8,63.4,58.2
5,,,,,,,,,,,,,,,,,,,,,64.0,62.8,56.6,52.2,60.0,68.4,57.8,49.6,57.2,64.8,56.8
6,,,,,,,,,,,,,,,,,,,,,63.8,62.2,57.4,53.4,61.0,67.8,56.4,46.4,56.4,64.2,58.8
7,,,,,,,,,,,,,,,,,,,,,64.0,62.2,56.4,56.0,61.8,66.2,59.4,48.8,54.0,66.0,63.4
8,,,,,,,,,,,,,,,,,,,,,61.0,62.6,57.2,59.0,63.0,65.8,61.2,51.2,52.8,68.0,64.0
9,,,,,,,,,,,,,,,,,,,,,57.8,61.8,57.6,58.6,62.2,69.4,62.4,54.0,55.0,64.8,64.2
10,,,,,,,,,,,,,,,,,,,,,59.0,61.2,56.6,56.8,65.4,69.8,59.8,57.6,57.6,65.4,65.2
11,,,,,,,,,,,,,,,,,,,,,61.2,62.4,55.6,54.8,66.0,66.2,62.0,59.0,55.2,65.2,64.8
12,,,,,,,,,,,,,,,,,,,,,62.4,64.8,54.8,53.4,69.4,64.8,61.8,58.4,54.2,69.4,67.2
13,,,,,,,,,,,,,,,,,,,,63.4,65.2,66.2,53.4,52.6,69.6,64.4,64.0,62.6,55.2,67.8,65.6
14,,,,,,,,,,,,,,,,,,,,64.8,65.0,66.6,54.6,59.2,67.8,63.4,64.0,63.8,52.8,68.4,67.4
15,,,,,,,,,,,,,,,,,,,,65.8,65.6,66.6,53.4,63.8,67.4,61.2,62.0,63.0,54.0,67.0,64.0
16,,,,,,,,,,,,,,,,,,,,66.6,67.8,67.2,52.8,62.6,68.8,61.8,64.8,64.8,53.4,65.0,
17,,,,,48.0,,,,,,75.0,,,,,68.2,62.2,,,67.4,70.8,66.2,47.6,62.6,70.4,63.8,65.6,62.0,57.6,61.6,
18,,,,,46.0,52.0,49.0,64.0,73.0,56.0,77.0,49.2,51.0,57.0,48.6,,62.2,54.2,65.6,69.6,72.6,67.6,52.0,64.6,72.2,66.6,64.2,63.2,61.8,58.0,
19,,,,61.0,53.0,38.0,44.0,51.0,71.0,62.0,72.0,47.0,35.2,53.0,46.6,,56.2,50.6,66.8,69.2,72.8,65.2,50.4,62.0,71.2,66.8,65.4,63.2,59.0,67.0,
20,,,,,54.0,37.0,44.0,51.0,64.0,65.0,72.0,49.0,40.0,46.0,50.0,73.6,,58.0,66.8,70.8,72.0,66.2,46.0,67.2,69.4,65.6,64.0,62.6,60.4,62.2,
21,,,69.0,,54.0,35.0,43.0,52.0,70.0,62.0,72.0,43.0,40.0,55.0,59.0,,52.8,55.8,62.8,70.8,70.0,66.0,50.2,71.4,69.2,69.6,55.4,69.0,65.8,60.6,
22,,,,,55.0,34.0,49.0,58.0,71.0,57.0,78.0,54.0,34.6,49.0,66.0,,50.2,61.8,63.6,71.0,67.6,67.8,55.2,73.4,68.2,72.4,63.4,71.0,74.2,63.8,
23,,,,,64.0,34.0,55.0,55.0,69.0,57.0,77.0,49.0,39.0,45.0,69.0,,,67.0,66.6,72.4,68.0,71.2,64.8,74.4,68.4,75.2,67.6,70.4,72.0,59.2,
24,,,,,70.0,38.0,61.0,63.0,79.0,66.0,80.0,50.0,45.0,46.0,72.2,75.2,,72.8,71.4,73.6,70.0,70.6,73.0,79.4,73.4,77.6,72.0,69.8,75.0,62.8,
25,,,,,77.0,45.0,64.0,63.0,72.0,69.0,78.0,54.0,42.0,54.0,,,,70.8,75.0,75.2,70.0,71.2,72.8,77.0,72.0,78.6,72.8,71.8,79.6,66.4,
26,,,,,78.0,52.0,63.0,76.0,78.0,74.0,70.4,61.0,49.0,61.4,74.8,,65.0,76.8,76.8,77.4,72.4,72.8,75.2,77.8,75.0,77.4,72.8,77.4,78.6,72.0,
27,,77.0,,,77.0,60.0,73.0,79.0,78.0,73.0,76.0,57.0,59.0,71.0,78.0,,67.8,78.8,77.8,75.8,74.8,73.0,75.4,76.8,76.4,77.2,77.8,80.2,81.8,76.2,
28,,,,,80.0,62.0,75.0,81.0,81.0,76.0,74.0,62.0,61.0,72.0,79.4,,71.4,78.0,78.4,75.0,75.8,74.2,73.6,78.2,76.2,79.6,77.4,80.2,79.2,77.2,
29,,,,,75.0,64.0,75.0,76.0,81.0,76.0,79.0,62.0,64.0,76.6,,81.6,71.4,76.0,77.0,75.4,76.0,74.0,73.4,76.4,77.8,80.6,79.2,81.8,74.4,77.6,
30,,,,,75.0,64.0,72.0,79.0,81.0,80.0,79.0,70.0,68.0,68.0,,,75.8,80.0,76.8,77.0,77.2,73.0,75.2,77.8,77.4,80.8,83.4,83.0,76.2,81.6,
31,,,,,68.0,67.0,79.0,76.0,81.0,77.0,79.0,59.8,71.2,79.0,78.4,,75.8,77.6,75.0,76.2,78.6,73.6,77.6,78.4,78.2,79.6,83.8,81.6,81.8,82.0,
32,,,,,71.0,64.0,77.0,78.0,76.0,79.0,72.0,61.8,65.0,74.8,,,74.8,78.2,80.0,74.8,78.4,75.4,80.2,78.6,77.0,81.0,83.4,78.6,80.0,80.6,
33,,,,,72.0,69.0,76.0,77.0,76.2,79.0,72.0,61.8,68.0,71.0,,,76.2,81.0,80.4,75.2,78.6,75.8,77.6,78.6,77.8,80.4,81.2,78.8,79.2,80.4,
34,,,,,79.0,67.0,73.0,78.0,74.8,79.0,71.0,66.0,63.2,72.0,78.4,,77.8,79.0,74.0,74.4,77.6,75.8,77.6,78.0,78.4,81.2,82.0,81.4,77.6,81.4,
35,,,,,76.0,66.0,73.0,80.0,77.0,77.0,71.0,68.0,67.8,76.0,,,80.2,78.4,80.8,74.4,76.6,74.6,79.0,78.0,77.8,80.0,79.6,81.6,75.8,82.2,
36,,,,,73.0,74.0,72.0,80.0,76.0,81.0,70.0,72.0,69.2,75.0,,81.6,76.4,78.6,76.8,75.6,77.0,76.2,83.8,81.0,76.6,79.2,81.2,80.8,75.0,82.0,
37,,,68.0,,62.0,72.0,77.0,75.0,77.0,58.0,68.0,71.0,69.2,72.0,,79.2,78.0,77.4,80.0,75.8,77.2,76.2,77.2,77.4,73.0,79.2,81.0,80.0,75.8,82.6,
38,,,,,67.0,74.0,73.0,78.0,76.2,68.0,66.0,74.0,71.0,69.0,,76.8,75.4,78.4,82.0,75.8,76.8,75.6,75.0,78.2,72.8,77.8,79.0,77.6,75.6,79.2,
39,,,67.0,,71.0,74.0,75.0,79.0,75.0,,67.0,70.0,67.0,68.0,,75.8,,77.6,76.8,73.8,76.6,74.2,73.8,74.6,70.4,77.4,78.4,68.4,74.6,78.2,
40,,,,,73.0,72.0,73.0,76.0,78.6,63.0,71.0,57.0,70.0,65.0,,70.8,74.8,76.4,,75.4,76.4,71.4,69.0,74.0,68.6,77.6,78.2,69.0,74.8,79.6,
41,,,,,73.0,71.0,73.0,72.0,73.0,66.6,72.0,54.0,72.8,68.4,,71.8,74.8,77.6,,75.4,76.2,72.0,68.2,74.8,69.0,76.8,76.6,70.4,75.8,79.4,
42,,,,,70.0,69.0,71.0,73.0,77.0,65.0,72.0,51.0,67.8,70.2,74.2,62.2,71.8,74.2,74.0,75.4,75.6,71.8,70.6,73.0,70.8,75.4,78.0,69.0,73.0,76.8,
43,,,,,74.0,59.0,72.0,73.0,73.0,68.0,67.0,45.0,67.4,69.4,70.8,63.0,69.4,74.2,73.0,73.4,74.0,69.4,69.8,72.2,73.2,75.2,74.2,70.2,70.0,75.0,
44,,,,,,,,,74.0,65.2,,,,67.4,,,,,,72.2,73.4,67.4,68.0,68.8,71.8,75.2,74.6,69.6,70.4,71.4,
45,,,,,,,,,,,,,,,,,,,,70.8,73.6,64.8,67.8,68.8,70.2,73.8,71.2,69.8,68.8,70.4,
46,,,,,,,,,,,,,,,,,,,,69.0,72.4,61.6,67.2,68.8,69.4,74.2,69.2,68.0,70.4,70.6,
