week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,74.2,58.6,71.8,69.2,,72.4,72.0,69.6,70.4,
14,,,,,,,,,,,,,,,,,,,,66.4,70.0,75.2,61.2,71.6,69.6,69.8,72.4,72.2,70.6,70.8,67.2
15,,,,,,,,,,,,,,,,,,,,68.6,71.8,75.2,61.8,72.2,72.8,70.2,72.4,72.8,71.0,72.2,68.6
16,,,,,,,,,,,,,,,,,,,,68.8,73.0,74.6,62.0,72.4,73.0,71.6,71.6,73.0,72.0,72.4,
17,,,,,59.4,,,,,,74.2,,,,,70.4,67.0,,,69.6,74.0,73.2,62.0,73.0,72.2,72.6,72.2,71.8,71.4,72.0,
18,63.0,,71.4,,63.6,61.2,63.2,67.2,76.2,57.4,74.8,64.8,43.2,66.2,70.8,72.8,65.8,58.0,78.0,71.2,75.8,73.6,63.4,72.2,71.8,73.0,72.8,71.6,71.4,72.8,
19,,72.4,,77.4,67.6,53.4,58.0,64.0,77.8,60.0,74.0,69.4,40.4,64.6,71.6,73.8,59.4,61.8,78.4,72.4,75.8,71.4,62.8,70.8,72.4,73.4,74.0,69.2,72.2,73.2,
20,,67.8,71.6,,63.0,46.8,53.0,66.4,78.0,61.2,73.8,69.6,36.8,65.6,,,52.4,63.4,77.2,72.8,73.8,72.0,64.6,70.8,72.4,71.6,72.0,65.4,71.2,72.8,
21,,57.0,70.8,67.6,55.6,45.2,54.8,66.6,78.6,61.2,71.6,63.4,31.6,66.6,,75.2,46.8,60.0,79.0,72.8,71.8,71.2,66.0,73.2,66.4,71.6,67.0,68.8,72.0,73.6,
22,59.2,68.4,,61.6,50.8,41.8,61.6,62.4,78.6,55.8,76.4,59.6,30.6,64.2,,,41.8,62.6,76.4,73.0,72.0,70.0,67.0,74.0,59.8,73.2,66.2,69.4,71.0,73.6,
23,,67.6,73.8,61.4,51.2,42.6,69.2,62.2,79.0,54.8,77.8,52.0,37.6,57.2,,72.0,38.2,64.4,78.8,73.4,73.2,68.0,68.4,74.6,58.8,72.6,69.4,68.6,67.8,73.0,
24,,70.2,73.2,62.0,56.6,39.4,73.2,57.8,80.4,60.8,80.0,53.2,42.0,56.4,,,40.8,68.0,80.4,74.4,73.6,65.6,70.0,74.2,63.8,72.8,70.4,65.0,68.8,68.6,
25,,,,57.8,61.0,44.4,75.2,55.4,79.6,66.8,77.2,49.2,43.2,54.6,,71.0,45.6,62.6,81.2,73.4,72.8,61.6,70.6,74.2,64.8,71.2,71.8,59.2,70.0,59.4,
26,,67.0,,49.4,70.6,49.4,76.0,59.6,80.4,74.4,78.0,52.2,40.6,52.4,68.6,71.0,48.8,55.8,80.6,73.6,70.8,60.2,72.4,75.0,66.0,71.6,73.6,58.0,70.8,54.2,
27,,,,45.4,73.4,47.0,78.6,59.6,81.6,75.6,79.4,52.2,44.8,52.6,61.2,67.8,50.8,55.6,79.6,73.0,72.0,57.6,73.2,75.0,66.4,70.8,74.0,61.8,71.0,55.4,
28,,57.4,,,77.4,48.6,75.4,61.4,81.2,75.4,80.6,44.2,48.0,55.8,63.0,69.4,54.8,58.0,80.8,71.4,72.2,56.8,75.2,75.2,66.6,70.8,74.8,64.2,71.8,54.2,
29,55.8,60.2,70.4,45.8,76.2,46.0,69.8,59.0,80.8,74.2,79.0,41.4,51.8,55.0,64.2,64.4,56.8,62.0,80.0,71.2,72.2,56.2,73.2,74.6,65.6,70.0,75.0,67.2,70.6,54.8,
30,58.0,63.8,69.0,,65.6,48.0,72.2,60.6,81.2,71.4,76.8,43.0,55.2,55.2,60.8,62.4,56.0,57.2,79.8,71.8,71.6,55.2,73.2,75.6,66.6,69.4,74.6,66.2,69.6,59.0,
31,60.6,65.0,73.6,55.0,56.8,54.6,71.2,59.0,80.4,71.4,78.4,42.8,53.4,57.2,62.2,62.0,54.0,61.8,79.2,70.4,69.4,56.6,72.6,74.6,65.6,69.4,75.0,67.0,70.0,61.8,
32,63.8,68.8,73.4,54.6,49.0,56.2,70.8,54.0,81.4,67.0,80.0,46.4,53.0,55.8,63.6,60.2,53.4,66.8,79.2,67.6,68.4,58.0,74.4,73.8,65.6,68.8,73.6,67.2,71.0,61.0,
33,,73.0,73.8,55.8,47.2,50.4,71.2,50.0,81.0,69.0,77.8,47.6,47.0,54.4,66.6,63.2,50.4,66.4,79.0,67.4,68.6,59.2,73.2,74.2,64.6,69.2,74.8,67.6,70.6,58.4,
34,59.0,69.4,73.6,62.0,52.2,50.4,67.2,48.6,80.8,68.8,76.6,51.4,44.4,58.2,67.4,65.0,45.4,68.2,77.8,66.8,69.6,57.8,71.8,73.4,63.8,70.4,74.0,69.0,68.0,56.4,
35,,71.2,65.0,55.4,45.6,53.8,63.2,50.6,79.4,68.4,77.6,53.4,50.6,62.0,69.0,61.6,42.6,68.6,77.2,63.2,70.2,57.8,72.2,73.0,64.2,70.2,72.4,71.2,69.4,54.4,
36,,72.2,60.0,58.2,44.4,61.6,67.2,49.8,78.2,69.6,73.4,55.6,49.2,62.6,70.8,55.6,46.8,70.0,75.0,64.4,70.8,56.2,71.0,71.6,62.4,72.4,72.8,70.0,69.0,52.8,
37,65.2,71.8,55.8,58.0,42.2,62.6,67.0,48.0,75.2,71.6,63.8,56.4,49.8,64.8,69.0,50.0,44.2,68.0,72.0,66.0,71.8,55.2,72.0,70.0,61.0,71.0,73.0,70.6,69.6,52.2,
38,,70.8,53.0,52.8,47.0,65.6,65.2,56.8,72.0,73.4,58.4,58.4,49.6,62.6,70.8,49.2,47.0,68.6,72.2,66.8,71.4,53.8,71.4,67.2,55.0,71.6,72.4,69.8,69.6,50.6,
39,,69.6,55.2,57.6,52.8,66.0,65.6,61.6,71.2,,54.4,56.8,46.4,59.8,70.8,55.0,48.4,66.8,69.8,65.6,71.8,52.6,71.4,67.8,51.0,71.8,71.8,67.4,67.0,50.8,
40,,,62.0,59.6,56.4,65.8,64.0,62.2,68.4,,59.2,52.8,51.0,51.6,70.6,51.8,48.8,67.4,,65.6,71.2,51.2,70.0,66.4,45.6,72.0,71.4,62.2,64.4,53.8,
41,,,61.6,62.2,60.2,62.8,64.0,61.4,67.8,72.0,61.2,49.6,47.4,55.6,71.8,50.0,50.8,65.8,,66.2,72.2,49.4,69.2,67.6,44.0,71.2,70.4,62.0,64.2,53.8,
42,,69.0,61.6,60.8,60.6,59.0,61.6,63.6,67.2,72.4,61.6,53.4,46.6,56.2,71.2,49.6,52.2,64.4,66.4,66.2,71.6,44.8,69.2,67.0,43.6,70.2,70.8,58.6,63.4,52.6,
43,,,64.4,59.6,58.4,53.8,57.4,64.6,64.6,72.4,58.0,55.2,47.2,58.0,69.8,51.0,52.6,58.4,64.4,65.2,71.4,43.8,68.2,67.8,47.0,69.8,70.2,59.6,60.4,51.2,
44,,,65.4,52.8,,,,,65.4,70.6,,,,57.4,,,,,,64.6,71.2,40.4,67.6,67.2,51.2,69.4,70.8,56.2,58.2,47.6,
45,,,,,,,,,,,,,,,,,,,,62.8,70.2,38.4,67.2,68.4,52.4,69.0,70.0,60.6,55.0,50.8,
46,,,,,,,,,,,,,,,,,,,,61.0,70.8,36.4,66.2,67.0,54.2,68.4,70.6,59.2,55.0,51.2,
47,,,,,,,,,,,,,,,,,,,,61.0,70.4,34.8,66.0,67.6,54.0,67.6,67.8,62.0,57.2,51.4,
48,,,,,,,,,,,,,,,,,,,,,70.8,,,,,67.2,,,,,
