week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
11,,,,,,,,,,,,,,,,,,,,,,,78.0,66.8,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,79.6,67.4,60.0,,62.4,,,,
13,,,,,,,,,,,,,,,,,,,,,65.8,72.0,81.0,69.6,64.2,,62.2,68.0,55.6,61.4,
14,,,,,,,,,,,,,,,,,,,,,63.4,72.2,81.0,73.0,69.2,65.6,59.6,66.6,58.2,64.4,65.8
15,,,,,,,,,,,,,,,,,,,,,65.8,74.4,81.6,72.0,69.8,66.4,58.8,67.6,62.6,70.2,67.2
16,,,,,,,,,,,,,,,,,,,,75.2,65.4,75.0,82.4,71.2,73.2,72.6,58.6,69.2,64.6,74.2,
17,,,,,81.6,,,,,,77.2,,,,,,64.0,,,75.2,65.4,75.6,85.0,75.8,78.4,74.2,60.0,69.4,68.4,74.6,
18,,,79.2,,80.4,75.6,73.4,71.2,74.6,77.4,78.6,82.4,77.4,63.2,,,64.2,77.2,60.6,76.4,65.4,75.4,79.8,74.2,80.2,74.4,61.8,73.0,69.6,73.8,
19,,,,,81.0,77.8,70.6,73.2,77.2,76.6,82.8,81.6,75.4,63.6,,70.4,,76.2,61.2,77.2,65.6,77.2,81.6,77.2,78.8,76.6,62.6,72.6,72.8,74.2,
20,,,,,80.4,76.0,70.0,73.4,77.6,76.2,86.0,81.0,73.6,65.4,,70.4,,74.4,62.4,77.6,66.4,78.4,80.2,77.0,81.6,76.8,61.0,72.0,68.0,75.2,
21,,,,,80.0,73.6,64.6,73.2,78.0,76.6,87.2,82.6,73.4,69.2,,74.8,72.4,75.6,63.4,78.6,71.4,79.2,82.2,78.4,81.0,80.4,59.4,73.6,74.2,78.2,
22,,,,,83.0,72.4,62.4,73.4,78.0,78.6,87.8,84.0,70.0,73.2,,75.6,72.8,75.6,65.0,77.6,75.2,79.8,84.4,82.2,82.6,79.6,60.4,74.2,73.4,79.2,
23,,,,,82.6,69.6,61.0,73.8,77.0,80.0,87.6,84.0,72.4,73.8,,,,75.8,63.6,75.6,78.2,78.4,81.8,81.8,85.8,78.8,61.8,78.2,77.0,78.2,
24,,,,,83.0,67.4,60.8,72.8,75.6,80.2,87.6,83.0,70.8,76.8,,,,75.2,61.8,77.8,78.4,78.4,84.4,82.6,85.2,81.6,61.2,80.2,77.2,79.4,
25,,,,,82.6,67.6,58.6,73.4,75.4,79.4,85.2,82.8,69.4,77.0,,,,73.4,62.6,74.6,78.0,78.2,86.0,81.2,79.6,80.2,53.2,80.8,76.4,79.4,
26,,,,,80.6,65.4,57.0,72.0,73.6,75.8,85.2,79.8,66.8,77.2,,,,72.2,59.2,75.4,75.0,75.6,83.2,80.6,79.8,81.0,52.6,81.0,77.2,79.0,
27,,,,,79.0,62.6,54.2,71.0,72.8,78.4,82.6,78.2,62.2,75.6,,,,73.4,52.0,74.6,72.2,75.2,80.2,74.2,82.4,83.2,50.4,79.6,77.0,78.4,
28,,,,,75.0,59.6,55.2,68.0,69.4,77.4,81.2,79.8,59.6,74.2,,,,63.6,57.6,73.6,71.6,74.8,75.4,72.4,78.4,81.2,51.2,80.2,75.8,78.8,
29,,,,,74.8,55.6,53.6,67.2,65.8,75.0,80.8,77.4,54.4,71.2,,,,62.0,57.2,72.4,70.8,72.4,73.0,70.8,76.4,81.8,47.0,81.2,73.6,73.8,
30,,,,,71.4,51.6,53.8,63.6,62.8,74.0,77.8,73.4,51.2,69.8,,,,60.0,56.6,71.2,70.2,70.4,74.4,67.4,77.2,77.0,46.6,78.0,71.8,70.6,
31,,,,,72.6,47.6,50.6,62.2,62.0,70.6,75.8,73.6,50.0,68.2,,,,58.0,54.6,67.6,66.4,66.0,74.4,62.6,74.4,74.2,42.4,75.6,71.0,68.6,
32,,,,,71.6,44.8,49.0,61.2,60.6,68.6,74.8,69.0,49.4,63.6,,70.8,,55.0,55.0,69.6,64.2,63.6,70.8,58.8,71.4,73.4,43.2,72.8,70.8,65.0,
33,,67.8,,,70.2,43.6,47.8,59.4,58.6,68.2,70.2,69.2,47.4,63.8,,74.4,,54.0,55.2,70.2,63.4,61.6,70.8,57.6,71.2,71.2,45.2,70.2,69.6,61.6,
34,,66.2,,,72.0,43.6,47.4,58.8,56.6,67.0,69.4,69.0,44.2,63.0,,70.8,,53.2,54.6,70.4,63.6,59.4,69.2,57.2,70.8,65.8,45.8,66.6,67.4,62.4,
35,,65.0,,,70.2,42.6,45.0,56.4,52.8,66.8,68.6,67.2,44.8,62.0,,71.4,,52.2,52.4,72.8,63.2,59.8,65.4,53.4,70.0,57.2,45.8,63.4,67.0,61.8,
36,,63.2,,,69.8,43.4,44.0,55.2,51.2,66.0,68.2,65.4,44.4,60.6,,68.2,72.0,51.4,55.6,73.2,63.2,61.2,62.4,53.6,71.6,56.4,45.8,62.6,67.8,60.4,
37,,58.8,,,68.4,43.2,42.4,53.8,49.6,67.0,67.2,64.0,41.6,61.6,,65.0,69.8,51.6,54.0,71.8,60.0,61.2,69.6,55.4,70.6,53.2,46.8,61.8,68.2,57.2,
38,,,,,66.6,43.0,42.2,53.2,49.2,66.8,67.0,66.6,42.2,61.8,68.4,64.4,70.4,50.0,59.4,71.4,59.8,63.0,71.2,56.4,72.4,58.8,46.0,61.2,66.0,56.0,
39,,,,,62.6,42.6,41.0,52.6,51.8,67.2,66.8,65.6,43.6,60.2,68.2,,68.8,50.2,60.4,72.4,59.2,63.4,66.0,55.2,74.0,57.4,43.8,59.2,66.2,55.6,
40,,58.8,,,62.6,41.6,40.4,53.6,46.8,70.4,67.6,67.0,44.8,60.4,67.8,65.0,69.4,48.6,,69.8,60.6,64.8,70.0,54.6,70.8,56.6,47.2,57.8,66.0,56.8,
41,,,,,61.6,44.4,41.4,52.8,46.6,65.2,67.6,66.8,44.8,60.6,67.6,66.2,71.6,48.4,,71.6,60.2,65.4,68.8,56.2,68.6,55.4,45.4,57.0,67.0,55.6,
42,,57.0,,,59.0,47.2,42.4,53.2,45.8,64.8,67.4,67.6,52.0,60.2,69.4,,71.2,49.0,63.4,72.2,59.0,67.0,72.6,56.2,66.2,54.8,48.0,57.0,65.0,58.8,
43,,59.2,,,60.6,51.0,42.2,52.6,45.4,66.8,67.8,67.2,52.0,61.2,69.8,70.0,72.2,50.8,55.0,72.2,59.4,71.0,70.2,59.2,66.6,56.2,55.0,57.6,67.0,57.8,
44,,,,,,,,,45.4,66.4,,,,61.0,,,,,,69.8,59.6,69.8,68.6,58.6,66.4,55.6,58.6,53.8,66.4,57.4,
45,,,,,,,,,,,,,,,,,,,,69.8,62.2,71.2,69.0,56.6,68.8,54.2,56.2,55.0,63.4,57.0,
46,,,,,,,,,,,,,,,,,,,,68.8,62.2,70.0,68.6,54.8,64.4,53.4,56.8,57.8,61.4,56.2,
47,,,,,,,,,,,,,,,,,,,,67.6,62.6,66.6,70.6,53.4,62.6,53.2,59.2,58.4,58.2,57.2,
48,,,,,,,,,,,,,,,,,,,,,60.4,,,,,54.0,,,,,
