week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,76.2,74.4,,,,71.6,67.4,,71.4,
14,,,,,,,,,,,,,,,,,,,,,,77.0,77.8,61.6,68.6,72.8,76.0,66.0,74.2,73.4,65.2
15,,,,,,,,,,,,,,,,,,,,66.6,74.6,76.6,79.0,62.6,68.6,75.4,76.6,69.8,79.4,76.0,68.2
16,,,,,,,,,,,,,,,,,,,,68.8,75.6,78.0,79.6,65.2,71.2,75.8,79.0,71.2,81.2,76.2,
17,,,,,78.8,,,,,,77.0,,,,,,75.8,,,70.4,76.4,80.2,80.8,71.2,72.6,75.2,79.0,75.0,82.2,78.6,
18,,63.2,73.0,,80.6,72.6,74.6,79.8,77.0,77.6,76.4,80.0,74.0,77.2,78.2,,77.0,82.0,76.2,72.2,76.8,81.2,81.6,75.2,74.2,75.8,75.8,76.0,75.6,79.0,
19,,68.0,73.6,,81.4,77.0,73.4,81.8,79.6,79.0,76.4,82.0,73.0,78.8,,,,80.0,78.6,73.2,79.0,81.2,81.2,77.2,75.4,77.4,79.6,79.0,79.2,81.2,
20,,70.0,72.6,,81.2,76.0,70.2,78.6,80.0,80.6,76.4,81.0,72.2,77.6,,,79.0,75.4,80.2,74.4,80.0,81.4,80.8,76.4,75.6,76.0,78.6,79.6,74.4,82.6,
21,,71.6,71.8,,81.0,75.8,72.4,80.2,82.8,81.0,73.0,79.8,73.6,78.8,81.8,,,71.0,83.0,74.8,80.2,81.4,82.2,74.8,75.0,75.6,80.4,76.8,68.0,83.6,
22,80.2,74.6,75.0,,81.2,77.8,73.0,78.0,80.8,80.0,68.2,79.6,71.2,79.8,81.6,,,68.4,82.6,74.2,80.4,80.4,82.2,74.2,77.4,76.6,80.6,81.2,60.4,84.0,
23,77.8,75.8,75.4,,80.0,75.6,72.2,80.0,81.8,80.6,65.8,79.4,71.4,80.8,,,,62.6,83.6,76.2,81.2,79.2,74.4,77.0,79.0,78.2,76.8,78.2,56.8,84.0,
24,,76.4,75.4,80.0,80.2,76.2,73.8,79.2,80.2,81.0,61.6,78.4,61.4,82.0,,79.6,81.0,58.6,83.8,77.0,81.8,76.0,74.8,73.8,76.8,75.0,76.6,76.2,52.0,77.6,
25,,77.6,74.8,78.8,80.6,80.0,73.2,77.4,78.0,81.8,51.0,75.4,62.0,82.4,82.4,80.4,80.8,49.8,83.4,78.0,82.0,73.2,74.0,74.8,76.6,73.6,74.2,71.6,49.2,65.8,
26,,,74.2,76.0,79.2,80.4,72.0,72.8,79.2,81.2,48.0,72.2,66.8,80.4,,,80.2,42.0,83.2,78.4,80.6,73.2,75.8,76.0,74.6,73.8,71.6,67.4,49.0,66.2,
27,,70.2,72.4,77.4,77.4,81.4,70.2,68.6,75.0,80.8,40.6,65.2,68.6,79.4,,79.0,79.8,37.6,82.8,77.2,80.0,74.6,73.0,72.4,72.6,74.4,69.8,70.2,52.2,73.2,
28,,63.8,69.0,78.2,73.0,81.6,66.2,61.4,76.4,81.0,39.8,66.0,67.0,80.8,81.2,76.2,70.2,34.2,80.2,78.0,78.6,76.0,71.4,70.4,72.2,70.8,74.2,67.2,52.6,78.4,
29,67.6,63.4,62.6,74.8,66.2,81.2,64.2,54.6,77.2,79.4,37.2,66.4,69.6,79.4,80.2,75.8,68.4,29.2,77.8,77.2,78.6,77.4,67.6,70.2,70.8,72.6,74.8,63.6,52.8,78.6,
30,69.0,63.8,62.8,,60.0,79.0,65.0,55.8,74.8,79.2,38.0,66.0,61.6,79.4,,74.0,62.4,27.2,75.4,76.6,78.2,78.2,69.0,67.8,65.0,76.4,72.0,67.2,53.0,76.0,
31,69.0,64.2,56.6,73.8,56.2,79.4,61.8,52.4,73.0,75.4,33.6,63.8,60.6,78.4,78.8,71.8,62.8,27.6,75.6,73.8,77.8,78.0,65.0,66.6,64.4,77.0,75.6,67.8,58.8,77.4,
