week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,,,,,,,,,,,,,,,,,,,,,,,78.6,,,,,,,
17,,,,,78.2,,,,,,75.8,,,,,,68.0,,,71.0,77.8,77.8,78.4,,,,76.0,75.6,,
18,,67.2,68.2,,78.8,71.0,65.6,79.0,74.0,75.8,76.6,78.6,73.0,68.8,74.8,,68.8,77.0,74.0,72.4,78.4,78.6,77.6,69.8,72.2,75.0,76.4,76.2,73.8,76.8
19,,70.2,71.0,,79.6,73.0,64.4,79.4,76.2,77.8,76.6,79.0,72.8,72.0,76.8,,70.4,76.6,76.0,73.4,78.4,78.8,78.2,70.8,71.8,75.2,76.4,76.6,74.6,77.2
20,,70.2,70.6,,78.6,73.8,64.6,79.2,78.2,77.8,77.0,78.4,73.2,73.0,78.8,,72.0,74.2,77.2,74.8,78.8,79.0,78.8,70.6,72.4,74.4,76.2,76.8,74.4,77.6
21,,74.0,71.4,,79.4,75.8,64.4,79.0,79.0,79.6,77.2,79.8,69.4,73.8,79.4,,72.2,67.6,77.2,76.0,78.2,78.8,76.6,70.2,73.4,74.6,76.0,77.2,73.6,78.0
22,,73.4,74.0,,79.2,77.2,64.4,80.6,79.8,79.8,77.0,79.2,65.0,76.0,79.2,,74.0,66.4,78.2,76.0,77.6,78.4,77.6,70.6,73.2,74.8,75.4,78.0,70.4,78.0
23,,72.6,74.2,77.8,75.8,74.2,66.2,80.6,78.4,80.2,73.4,79.8,60.2,76.4,79.4,,74.4,63.2,77.6,76.2,77.2,77.0,73.6,70.4,73.2,73.6,75.4,78.4,67.2,78.0
24,,,75.2,76.8,74.8,73.0,64.2,80.4,78.0,80.2,75.4,79.0,50.0,75.8,80.2,,74.4,53.4,79.0,76.0,76.0,76.4,73.2,71.0,73.6,72.8,73.6,76.6,65.2,75.4
25,,72.2,76.8,78.6,70.2,76.0,68.8,78.4,77.8,78.6,68.0,79.2,47.4,77.4,79.8,,74.6,45.8,77.4,76.2,76.2,75.6,73.0,71.8,71.2,69.2,74.0,72.4,63.2,69.8
