week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,74.2,69.6,65.8,58.2,,72.8,70.2,70.8,71.8,
14,,,,,,,,,,,,,,,,,,,,64.4,70.6,75.2,71.2,66.0,61.0,71.8,74.2,70.8,69.6,71.6,69.6
15,,,,,,,,,,,,,,,,,,,,67.2,71.8,74.2,72.4,66.4,64.0,74.0,75.0,71.2,71.4,72.6,68.2
16,,,,,,,,,,,,,,,,,,,,69.8,73.4,73.2,74.0,67.4,66.2,73.8,76.2,72.8,72.4,74.0,
17,,,,,75.0,,,,,,77.4,,,,,76.2,76.6,,,70.8,73.2,72.8,75.6,68.8,68.6,73.2,78.2,74.6,72.8,75.0,
18,72.4,66.8,67.0,77.2,75.8,73.2,58.0,81.4,79.4,79.8,79.0,78.4,69.2,67.2,72.8,78.6,74.6,72.0,75.4,72.2,74.4,74.0,76.4,69.6,70.0,74.6,77.0,74.8,74.6,76.8,
19,,72.0,67.4,,72.8,75.2,59.8,82.4,81.8,79.4,74.4,78.4,68.0,70.2,73.6,77.8,76.8,72.8,76.6,73.6,75.2,75.2,77.2,71.6,72.2,75.4,78.4,76.0,74.4,77.8,
20,,71.4,64.6,,75.4,71.8,55.6,81.6,82.2,79.6,76.4,77.6,67.8,70.6,76.2,77.4,74.8,72.6,75.8,74.8,74.2,75.4,77.4,72.4,73.6,76.6,77.8,78.4,74.6,79.4,
21,,72.6,65.0,,71.4,73.6,63.8,80.4,82.2,79.8,77.4,78.0,61.6,72.6,76.4,78.0,75.6,71.0,77.8,75.0,74.4,75.0,78.0,75.6,74.4,74.6,77.6,77.8,74.6,79.2,
22,,75.8,70.4,,68.0,77.6,66.2,80.8,83.0,79.8,75.4,77.0,55.6,71.6,75.6,78.6,75.2,70.6,77.4,75.6,75.2,75.8,78.0,76.6,73.8,75.6,77.6,76.8,70.8,80.6,
23,,75.4,,,66.8,72.8,74.0,80.2,84.0,80.8,71.0,77.0,50.8,73.0,76.4,77.4,72.6,69.2,78.4,75.2,74.4,75.6,77.6,76.2,74.8,76.6,79.4,75.2,65.0,80.0,
24,,77.8,76.6,,63.8,68.4,72.0,81.2,82.8,81.6,71.4,75.2,44.8,72.8,77.2,78.8,73.6,66.2,77.4,75.8,73.4,75.4,78.2,75.2,75.4,76.0,78.8,73.4,62.2,79.6,
25,,75.8,75.0,,59.6,73.2,70.2,77.4,82.4,80.8,61.8,74.8,42.8,71.4,77.2,77.0,74.8,57.2,78.6,73.8,73.2,74.6,78.4,74.0,75.4,75.2,76.4,69.6,66.6,76.0,
26,,,76.0,,67.2,74.6,71.4,75.8,80.6,80.0,57.8,72.8,44.6,70.8,76.4,75.8,75.6,43.8,78.6,72.6,74.2,74.2,78.0,76.2,75.8,77.0,77.0,61.6,68.8,74.8,
27,,72.8,75.8,,64.4,74.4,70.4,70.2,78.4,78.8,50.8,72.6,47.6,70.0,76.2,69.4,76.6,37.8,79.6,71.0,77.0,74.6,78.6,76.6,75.8,76.6,77.4,58.2,72.6,70.8,
28,70.6,67.6,72.0,,63.6,74.4,65.8,68.2,77.2,79.0,55.4,74.0,47.2,70.2,76.6,70.4,75.0,38.6,79.8,67.4,78.0,75.0,76.8,73.0,74.4,76.2,77.4,58.6,72.6,65.8,
29,68.2,71.8,64.8,,57.6,73.4,63.4,67.2,75.6,78.6,59.2,74.6,46.8,67.2,77.4,68.6,73.2,41.2,80.2,65.4,77.4,74.8,73.4,73.4,73.2,71.4,75.6,59.6,74.0,63.6,
30,69.8,72.2,60.0,,48.2,69.8,66.8,64.2,77.4,78.0,56.2,73.0,49.8,62.4,78.0,68.4,71.2,44.4,80.0,64.2,77.6,75.4,74.6,72.4,73.2,71.0,75.0,66.4,72.4,68.4,
31,60.8,74.2,57.2,,45.0,75.6,71.8,58.6,79.4,80.0,52.2,70.0,49.2,64.4,79.8,65.6,68.6,47.2,79.2,63.4,77.4,75.4,74.0,71.6,72.0,69.4,72.2,69.6,73.4,69.6,
32,70.6,72.6,,,39.8,76.2,71.4,50.2,79.8,79.4,45.4,67.4,45.4,66.2,78.8,59.6,68.2,48.2,81.0,63.0,77.8,75.2,74.6,72.8,67.8,71.8,74.2,69.2,73.6,71.0,
33,71.6,72.8,53.8,,37.6,76.2,71.0,49.8,78.8,79.0,48.0,69.4,43.4,61.8,80.4,58.2,65.2,49.8,80.6,64.6,77.6,76.0,73.6,72.6,63.6,71.6,74.2,69.4,72.2,72.0,
34,65.6,68.4,61.2,73.4,39.2,75.6,71.0,49.4,76.8,75.8,48.6,68.4,39.2,54.0,80.8,58.2,60.4,49.6,79.6,65.4,77.2,75.2,72.8,73.4,62.6,72.2,74.2,68.6,71.4,70.4,
35,54.2,66.4,60.6,64.8,34.8,74.2,70.0,52.6,74.2,77.2,55.2,72.2,39.6,48.4,77.8,55.6,56.2,46.4,78.4,67.4,76.0,75.6,73.6,74.6,63.0,71.4,74.4,68.4,70.4,65.8,
36,,67.0,63.4,58.8,31.6,72.2,69.6,47.6,79.6,76.0,55.2,72.4,33.2,49.4,76.0,53.2,59.4,53.2,77.6,68.6,71.8,73.6,75.2,73.6,59.6,73.4,74.0,69.6,67.6,63.0,
37,,63.4,63.0,,32.2,75.2,65.2,40.6,78.0,78.0,58.4,74.6,39.0,45.4,75.0,47.0,59.6,55.0,74.8,69.6,71.0,72.4,75.6,72.6,53.4,73.8,74.6,69.4,64.4,58.6,
38,59.0,66.6,58.0,47.4,30.6,73.6,66.8,46.6,78.0,77.2,55.6,75.8,35.0,43.4,74.4,43.4,64.6,58.2,73.6,70.2,68.2,70.6,74.6,74.6,47.2,74.4,73.2,66.4,60.6,52.6,
39,60.0,69.0,61.8,49.2,33.0,74.8,65.4,56.0,77.8,73.4,53.2,79.2,33.6,37.4,76.6,42.4,66.0,61.2,74.4,67.6,65.0,69.8,74.2,74.2,45.4,73.0,73.6,63.6,61.0,55.6,
40,64.4,71.0,58.2,45.0,35.0,73.0,62.4,61.6,77.4,67.8,52.4,77.6,34.2,35.4,79.4,,66.2,62.6,,65.8,67.8,68.0,71.2,74.2,43.0,72.2,73.4,55.2,58.6,60.2,
41,67.0,69.8,52.0,52.8,44.6,69.4,62.4,70.0,75.4,63.8,53.0,77.8,31.6,37.8,79.0,,67.0,65.6,,67.6,68.8,65.2,71.4,74.0,42.6,70.2,72.8,51.4,56.0,61.6,
42,66.4,70.2,52.6,53.4,49.4,69.6,65.8,72.6,77.6,66.6,51.0,78.4,34.6,37.0,79.8,,67.4,67.0,75.0,69.0,68.4,65.4,71.6,73.6,44.6,70.4,68.0,46.4,53.8,59.8,
43,66.6,,51.4,55.6,49.0,67.2,65.4,75.4,75.6,69.8,51.6,78.0,44.0,39.4,80.4,,69.0,64.8,76.2,69.4,66.2,58.8,72.0,72.0,49.6,70.8,70.8,45.4,54.2,58.6,
44,69.6,,55.0,55.8,,,,,75.8,71.4,,,,37.6,,,,,,68.8,69.6,56.4,70.8,71.0,49.4,70.4,71.4,43.8,57.6,54.8,
45,,,,,,,,,,,,,,,,,,,,69.0,69.8,50.6,69.4,69.4,49.8,70.8,70.4,45.2,57.0,59.6,
46,,,,,,,,,,,,,,,,,,,,68.6,69.8,47.0,70.4,68.4,48.8,68.8,69.0,45.4,52.4,64.8,
47,,,,,,,,,,,,,,,,,,,,67.6,70.0,45.0,69.4,67.0,49.2,67.0,68.6,43.4,56.8,60.8,
48,,,,,,,,,,,,,,,,,,,,,69.6,,,,,66.8,,,,,
