week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
9,,,,,,,,,,,,,,,,,,,,,64.8,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,65.0,62.0,62.0,,59.4,60.6,68.6,68.6,65.2
11,,,,,,,,,,,,,,,,,,,,,59.2,,65.4,64.8,61.6,65.0,63.0,64.0,69.4,70.0,65.2
12,,,,,,,,,,,,,,,,,,,,,61.4,72.4,67.4,63.4,65.6,66.8,62.6,64.6,67.0,70.2,66.4
13,,,,,,,,,,,,,,,,,,,,,64.0,68.6,69.0,69.2,66.4,71.6,68.4,65.6,67.6,72.6,67.4
14,,,,,,,,,,,,,,,,,,,,64.6,66.0,70.0,70.2,67.4,66.0,71.4,70.4,64.6,69.4,71.2,69.6
15,,,,,,,,,,,,,,,,,,,,65.8,66.4,69.8,70.6,68.6,64.0,70.4,69.2,68.2,69.8,73.0,71.0
16,,,,,,,,,,,,,,,,,,,,66.4,67.6,70.6,70.8,69.0,67.6,70.2,69.8,70.4,67.8,75.0,
17,,,,,65.2,,,,,,67.2,,,,,65.4,63.4,,,67.6,68.6,71.0,71.4,69.4,70.2,71.0,69.6,69.8,67.2,75.6,
18,,67.8,,,63.8,69.6,69.4,67.0,66.8,69.0,62.4,67.8,75.0,71.0,72.0,61.8,58.8,75.6,67.8,67.8,70.6,71.6,71.0,69.6,70.6,71.0,70.2,68.2,70.2,76.0,
19,,68.2,,,67.4,66.4,69.0,61.6,64.8,72.8,57.8,68.6,72.4,67.8,72.6,60.8,58.2,76.6,69.8,65.8,70.6,72.2,72.0,68.0,70.2,71.0,69.6,70.6,70.6,75.4,
20,,,,67.6,67.0,65.6,65.6,60.2,65.2,70.4,51.6,66.0,74.0,71.6,72.0,64.6,,74.4,70.6,67.4,71.6,72.8,72.8,64.8,70.2,71.2,69.0,69.6,73.6,73.2,
21,,61.0,,60.2,65.2,61.2,63.4,56.6,63.0,69.6,54.4,58.8,74.6,72.6,70.8,64.4,,69.8,70.2,65.2,71.6,72.8,72.0,64.4,71.8,72.6,70.0,69.8,73.6,73.0,
22,,63.0,,56.4,67.4,59.8,65.4,57.6,57.4,73.2,56.2,60.8,74.2,71.4,71.4,68.6,,68.4,71.4,67.8,71.8,72.8,72.0,57.6,71.2,74.8,69.6,70.8,75.2,73.2,
23,,65.4,,52.8,69.8,60.0,68.0,55.4,57.8,74.0,62.4,55.4,72.8,67.2,71.4,67.6,,66.0,72.0,70.2,71.4,73.0,74.2,62.0,69.2,74.6,69.2,73.6,72.6,74.0,
24,,66.6,,55.6,73.4,64.6,70.6,57.2,62.2,76.0,64.2,51.6,73.8,65.8,65.4,64.0,,69.0,72.4,72.0,70.4,72.8,76.2,63.2,69.8,73.8,68.8,72.4,68.2,75.0,
25,,,,48.0,73.4,63.6,73.6,56.6,68.4,75.8,60.4,50.0,74.0,65.2,60.6,63.4,49.8,69.2,72.4,72.6,69.8,73.6,71.6,62.8,68.2,73.0,70.4,69.0,67.0,75.8,
26,68.6,,,46.0,76.8,67.2,75.4,59.4,71.2,74.2,53.2,47.2,73.0,68.4,48.0,66.8,47.0,63.8,70.4,75.0,69.8,72.6,73.8,63.0,69.6,72.8,70.0,67.8,60.2,74.8,
