week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,63.8,,,,,,80.4,,,,,,,,,,,71.0,,,,,60.0,69.0,,
18,,,,,65.0,72.6,70.4,75.2,67.2,70.2,80.0,84.4,66.8,90.0,,,,71.0,73.4,58.0,63.6,71.6,80.0,85.0,82.0,60.0,60.0,68.0,76.0,50.0
19,,67.8,66.0,,73.2,75.6,75.6,77.6,71.2,78.2,78.6,86.8,78.8,83.0,,,,70.0,62.8,64.6,62.0,73.6,84.0,85.0,79.8,60.0,60.0,71.0,84.0,64.0
20,,,,,78.6,88.6,65.2,78.2,86.8,88.0,75.0,85.0,85.2,84.0,,,,72.0,66.2,69.2,65.6,74.4,80.0,84.0,79.8,60.0,60.0,72.0,86.0,72.0
21,,,,,84.2,87.6,71.0,77.8,88.8,87.6,81.0,85.4,85.4,80.2,,,,72.6,74.8,74.6,61.6,71.2,80.0,84.4,79.8,60.0,60.0,73.0,84.0,80.0
22,,,,,76.2,85.0,75.2,81.2,81.2,85.8,81.4,87.2,81.8,79.6,,,,72.2,80.0,74.6,70.0,72.8,83.0,85.0,80.2,59.8,60.0,79.0,86.0,80.0
23,,,,,65.4,86.4,70.2,76.4,82.6,86.0,83.6,87.2,79.6,78.4,,,,73.0,80.0,74.6,70.0,74.0,83.6,85.0,81.4,59.8,60.0,87.4,85.6,80.0
24,,,,,65.4,87.0,79.4,80.2,84.2,86.2,83.4,87.2,78.6,78.6,,,,74.4,80.0,75.4,61.6,70.4,84.0,68.0,81.4,60.0,60.0,76.0,80.0,80.0
25,,,,,52.6,94.0,80.6,78.8,78.4,85.4,80.2,83.0,78.8,80.0,,,,79.8,80.0,75.4,62.0,61.0,84.0,68.0,82.0,60.0,73.0,76.0,80.0,76.0
26,,,,,61.4,88.0,74.6,77.2,77.2,79.8,79.8,86.8,77.4,80.4,,,,75.6,80.0,75.4,65.4,57.4,83.2,70.8,82.0,67.2,69.0,62.0,86.0,78.0
27,49.6,,,,69.8,84.0,81.4,74.2,74.0,79.2,79.8,82.8,78.8,80.4,,,,73.6,65.0,75.4,70.0,53.8,83.4,73.4,82.0,67.2,75.0,66.0,86.0,75.0
28,,,,,55.0,76.8,80.6,67.0,72.8,78.8,80.4,86.6,80.0,80.6,,,,70.4,80.0,75.4,73.6,48.0,83.2,71.0,82.0,70.0,73.0,62.0,79.0,75.0
29,,,,,54.6,75.0,73.2,66.8,70.8,80.0,78.6,86.8,80.2,74.6,,,,62.6,69.4,75.6,72.8,56.0,80.0,67.0,77.0,70.0,81.0,52.0,76.0,78.4
30,,,,,39.6,80.4,73.4,75.0,68.2,77.2,77.4,86.0,80.0,79.0,,,,55.4,69.4,75.6,72.8,52.8,80.0,69.0,77.0,70.0,85.0,38.8,76.0,81.0
31,,,53.8,,48.0,80.4,64.4,71.0,69.0,70.0,74.4,82.8,79.0,78.2,,,,56.0,71.4,77.0,72.4,52.6,80.0,73.0,77.0,52.6,87.4,52.0,76.0,86.0
32,,,,,53.0,81.2,69.6,61.2,74.0,76.2,71.4,80.2,80.0,73.8,,,,64.0,71.4,77.8,73.6,46.4,76.0,73.0,72.0,52.6,89.6,22.0,77.0,83.2
33,,,,,53.0,81.2,59.8,55.8,75.8,77.8,66.6,76.2,80.0,76.6,,,,70.8,75.4,78.8,72.8,40.8,76.0,73.0,72.0,52.6,87.0,40.0,78.0,80.0
34,,,,,52.6,80.0,60.4,57.0,78.0,77.0,62.0,79.8,77.2,66.8,,,,68.8,71.4,79.0,72.8,34.4,76.0,73.0,70.0,52.6,87.0,28.0,72.2,78.0
35,,,76.8,,48.0,78.0,60.8,47.0,76.6,76.6,64.0,86.0,62.2,69.4,,,,75.8,75.6,76.2,72.8,34.8,76.0,73.0,70.0,45.0,88.0,36.0,78.0,79.0
36,,,,,53.6,75.0,59.6,52.2,78.0,75.4,60.6,87.8,57.8,71.6,,,,72.0,71.4,73.6,66.8,34.0,78.0,73.0,70.0,29.0,90.0,36.0,82.0,79.0
37,,,74.6,,56.2,75.0,53.2,51.0,78.8,79.0,61.8,87.8,62.4,75.0,,,,72.2,75.8,70.2,67.0,34.0,77.0,74.0,70.0,29.0,86.0,53.0,74.0,77.2
38,,,74.0,,69.4,76.4,58.6,56.4,79.2,78.2,61.6,87.8,69.4,78.0,,,,69.0,79.6,70.2,66.4,37.6,75.0,74.0,67.0,29.0,82.0,72.4,74.0,75.0
39,,,,,66.2,76.8,64.4,55.8,77.6,,64.6,87.2,73.0,80.6,,,,68.0,79.6,67.2,64.4,39.4,75.0,74.0,64.0,27.8,83.0,66.0,75.0,73.0
40,,,,,68.2,77.2,65.6,53.0,77.4,,65.2,87.8,76.0,80.0,,,,70.0,,64.0,67.6,43.0,75.0,72.0,64.0,26.2,88.0,70.0,71.8,72.0
41,,,65.8,,69.8,80.2,69.6,57.0,76.4,79.0,65.8,87.2,76.0,80.0,,,,69.2,,66.8,64.4,44.0,72.0,72.0,64.0,27.8,90.0,67.0,77.4,70.0
42,,,,,60.8,75.8,67.6,59.0,73.8,77.0,65.8,83.2,63.4,79.4,,,,66.2,63.0,69.6,64.4,46.0,72.0,72.0,64.0,34.0,85.0,64.0,70.0,69.0
43,,,,,61.2,75.8,67.6,58.2,73.8,77.4,69.0,73.0,68.6,81.4,,,,63.8,63.0,73.0,64.4,50.0,72.0,72.0,68.0,44.4,82.6,60.0,71.2,70.0
44,,,,,,,,,73.8,78.0,,,,81.4,,,,,,,64.4,53.0,72.0,72.0,68.0,46.8,82.0,62.8,71.0,55.0
45,,,,,,,,,,,,,,,,,,,,62.0,65.2,53.6,74.0,72.0,66.0,48.8,81.8,68.0,67.0,56.0
46,,,,,,,,,,,,,,,,,,,,59.8,65.8,52.4,74.0,72.0,63.0,48.8,80.8,70.0,68.0,58.0
47,,,,,,,,,,,,,,,,,,,,64.0,68.4,53.6,68.0,63.8,63.0,55.6,79.8,71.6,72.0,60.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,,,,
