week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
10,,,,,,,,,,,,,,,,,,,,,,,63.4,67.8,65.4,,62.8,65.4,65.4,62.2,66.0
11,,,,,,,,,,,,,,,,,,,,,63.8,,68.2,69.0,63.0,,66.0,67.6,64.4,63.8,66.0
12,,,,,,,,,,,,,,,,,,,,,63.0,73.2,68.4,69.6,64.6,66.8,67.4,68.0,66.0,65.0,66.0
13,,,,,,,,,,,,,,,,,,,,,65.0,74.0,69.4,70.4,66.4,67.6,69.4,69.0,65.2,67.4,67.0
14,,,,,,,,,,,,,,,,,,,,68.0,67.4,75.0,71.0,70.4,65.4,70.2,69.2,68.8,64.6,69.2,69.6
15,,,,,,,,,,,,,,,,,,,,68.4,68.0,75.2,70.6,71.2,66.8,69.4,70.6,67.8,66.0,71.4,71.8
16,,,,,,,,,,,,,,,,,,,,68.8,68.6,75.2,71.4,70.6,69.8,68.8,71.0,71.4,67.6,70.6,
17,,,,,72.6,,,,,,73.6,,,,,70.4,,,,71.2,70.2,75.4,73.8,72.6,70.6,69.4,71.4,71.2,66.8,72.2,
18,74.2,,74.2,75.0,70.8,75.2,72.6,70.0,74.0,68.6,71.6,75.2,70.8,77.6,76.8,,,74.4,72.2,72.6,71.6,75.2,74.0,71.0,69.8,71.2,70.8,72.8,67.6,72.2,
19,73.2,,73.2,75.6,69.0,74.6,71.8,67.4,70.0,70.8,70.4,76.8,63.4,70.0,75.8,67.8,,77.0,64.6,72.6,73.2,75.4,72.0,72.2,68.4,72.0,70.6,72.4,69.6,72.4,
20,,66.8,72.0,,70.8,72.4,68.6,70.0,69.8,73.2,70.0,78.2,69.2,69.4,78.2,70.8,67.8,78.4,71.6,73.6,73.2,75.2,73.6,71.0,71.4,71.6,70.6,71.0,70.0,73.0,
21,,54.6,76.0,65.4,68.4,68.4,69.2,64.4,77.0,76.2,74.6,74.8,59.6,71.0,72.4,73.2,60.8,70.0,72.6,72.8,73.8,72.6,74.2,69.6,70.6,71.8,70.6,73.4,71.2,73.8,
22,,62.8,,66.4,65.4,61.6,69.6,68.4,76.2,73.0,76.0,66.8,54.4,71.2,75.8,76.4,52.0,70.2,70.8,74.4,73.4,72.8,75.4,69.4,71.0,71.2,70.2,72.8,67.2,73.6,
23,,64.0,,70.6,62.4,60.8,72.6,67.2,73.4,77.4,73.8,59.2,50.0,68.0,74.6,70.0,50.2,70.6,80.4,75.8,74.4,72.0,74.2,71.0,68.6,70.0,73.0,72.6,69.0,74.6,
24,,68.6,,69.8,67.4,57.0,74.8,67.0,74.0,78.6,73.0,47.4,45.0,67.4,71.8,72.4,,75.8,77.2,76.0,75.2,72.0,77.2,70.6,69.8,73.0,73.6,69.0,72.6,72.2,
25,75.2,69.4,,68.4,70.6,59.0,76.0,69.8,75.4,75.6,72.8,53.0,47.4,61.0,64.8,,58.4,67.0,76.0,76.8,75.2,71.2,75.6,72.6,71.8,72.8,73.2,64.8,71.2,71.0,
26,,68.4,,59.0,75.0,64.2,76.4,67.0,75.6,77.0,67.4,54.2,43.6,62.6,49.4,69.0,55.0,60.0,75.8,77.4,75.6,70.0,74.2,70.4,72.0,74.0,73.0,64.4,68.2,69.2,
27,73.6,60.0,76.6,59.8,76.8,56.6,74.8,66.8,74.8,75.2,64.6,46.8,59.4,61.6,47.6,65.6,51.6,55.8,79.8,77.6,76.8,69.4,75.6,71.0,72.2,73.6,74.2,64.4,71.0,68.6,
28,73.0,70.4,77.2,53.6,76.4,49.6,75.6,70.8,78.8,75.0,68.0,46.2,72.0,56.8,,64.2,55.2,65.6,81.4,77.0,75.6,69.0,76.2,70.4,71.8,74.2,73.2,63.0,70.0,65.6,
29,68.0,65.4,76.8,63.4,75.6,47.8,77.2,73.2,79.8,76.6,66.8,44.8,73.8,60.0,59.2,67.8,62.4,74.0,70.0,75.6,73.8,69.0,76.8,69.6,73.0,73.6,72.6,64.0,71.2,64.4,
30,65.8,64.4,,,70.6,44.2,78.2,72.6,80.2,73.8,64.0,45.2,72.6,55.8,66.2,68.2,66.6,69.8,75.2,77.0,72.6,70.8,74.6,69.2,74.0,73.4,70.8,63.2,69.4,66.4,
31,71.0,69.4,,67.8,62.8,49.4,76.6,77.6,79.8,75.8,65.0,46.2,72.4,60.8,71.2,63.6,65.4,73.2,73.8,77.0,70.6,70.6,74.0,69.0,72.8,72.8,71.6,64.8,66.6,67.2,
32,72.4,70.6,,62.8,56.4,47.4,80.6,76.0,80.0,72.6,59.6,48.6,67.6,64.8,73.6,66.0,61.6,75.6,75.8,74.8,67.0,71.8,75.0,66.2,72.0,71.4,70.0,66.4,63.4,66.4,
33,71.4,73.2,74.6,68.6,51.2,42.6,80.8,76.6,79.0,71.6,58.8,47.4,62.4,66.6,68.8,72.6,60.2,76.8,76.0,75.0,65.4,73.0,75.4,67.8,70.6,71.0,70.2,67.0,60.6,62.8,
