week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,47.0,,,,,,51.0,,,,,,,,,,,49.4,,,,,56.6,67.0,,
18,61.8,66.6,,,54.0,54.6,45.4,71.2,44.8,68.8,56.0,65.4,52.8,69.2,,,,76.2,62.0,58.0,61.8,53.0,70.6,71.6,56.0,48.0,56.6,77.0,54.2,52.8
19,66.8,,,,58.8,70.8,54.0,71.2,67.4,69.0,71.8,79.8,64.8,74.2,,,,76.8,72.2,65.2,55.2,56.6,76.8,75.0,58.8,35.0,56.6,81.6,67.0,72.6
20,,,,,68.4,78.4,56.6,66.0,68.6,75.8,70.6,80.0,64.4,77.4,,,,83.8,79.8,66.8,67.0,58.8,79.2,78.8,59.0,67.8,55.4,75.6,63.0,59.0
21,,,57.2,,61.2,77.0,56.4,77.2,70.4,82.8,73.4,85.4,75.0,77.2,,69.8,,86.6,81.8,72.2,70.0,66.0,82.0,81.8,62.6,77.4,55.4,72.2,65.6,77.2
22,,,66.6,,75.6,86.4,55.8,80.6,80.4,84.6,75.2,87.6,80.0,77.0,,,,84.8,82.6,73.4,78.2,70.0,81.0,75.6,65.8,79.4,54.6,75.0,68.0,78.4
23,,,,,68.0,86.6,70.0,81.4,77.0,84.0,79.8,85.6,80.6,74.6,,,,79.4,85.8,73.2,76.6,78.0,87.0,64.0,65.4,79.2,72.2,70.8,75.6,80.0
24,,,,,62.0,86.6,70.6,84.6,78.4,82.8,84.0,77.2,82.8,76.4,,,,85.4,84.6,73.2,82.2,75.8,87.0,63.0,80.0,78.4,72.2,86.6,76.6,73.8
25,,,,,68.2,84.8,79.4,85.8,80.6,84.6,81.2,80.2,76.6,84.2,,,,83.8,83.8,71.0,85.2,70.0,85.8,71.0,77.2,56.4,63.2,82.0,69.8,76.4
26,,,71.4,,69.0,85.2,75.2,86.4,77.2,84.8,86.4,80.0,71.2,78.8,,,,84.0,81.0,72.4,89.4,74.8,90.0,76.0,91.0,54.2,60.0,80.0,70.4,77.4
27,,,,,64.4,86.2,76.4,87.2,79.0,89.2,85.2,81.0,75.6,80.0,,,,86.4,82.4,72.2,85.6,88.6,79.4,71.0,84.6,54.6,60.0,71.6,61.2,75.8
28,,,79.0,,53.2,84.6,69.8,87.4,74.8,88.4,84.2,81.0,73.8,77.8,,,,83.2,82.0,72.2,90.4,81.4,80.0,62.4,89.6,53.8,62.8,46.6,55.0,73.0
29,57.6,,,,45.2,87.2,69.0,82.2,69.2,85.2,80.8,86.8,81.0,76.4,,,67.6,72.0,82.8,72.6,87.2,59.8,74.4,62.8,85.8,62.2,68.6,68.4,74.4,76.2
30,,,73.2,,58.4,86.6,71.0,83.2,74.8,86.6,75.0,77.4,73.2,81.0,70.8,,,66.2,82.6,73.8,83.4,64.0,68.0,71.2,77.0,67.8,70.2,67.8,75.0,75.0
31,,,,,49.4,86.6,55.2,81.4,68.2,85.4,79.0,84.2,67.8,69.0,,,,69.8,89.6,77.4,79.0,55.2,70.0,73.6,80.2,70.6,68.6,30.0,69.2,76.4
32,,,,57.8,41.0,82.2,48.4,72.6,76.0,90.2,74.2,85.8,66.2,71.0,,62.0,,69.2,87.8,79.0,79.0,51.6,70.6,79.6,87.0,74.4,65.0,30.0,72.0,75.0
33,,78.0,59.4,66.0,56.2,84.8,34.2,52.4,81.6,84.2,72.8,88.6,68.4,66.6,,61.6,,68.4,86.2,75.0,81.8,45.2,75.0,76.8,84.2,69.6,67.0,71.6,62.6,81.2
34,,,56.2,,54.0,81.2,33.2,45.6,85.4,86.8,70.8,83.8,69.8,76.6,,56.8,,69.6,85.4,78.0,82.4,49.6,62.8,76.8,83.4,61.8,55.0,80.0,65.0,81.4
35,,,60.2,,43.6,83.6,33.8,40.2,76.4,91.6,72.4,88.2,69.6,81.8,,58.8,,69.8,83.8,78.8,81.6,50.0,62.4,76.8,94.0,61.2,64.0,80.0,62.8,81.6
36,,,68.6,,50.8,82.0,31.4,46.6,73.4,82.0,73.8,84.2,65.6,75.2,,61.6,,74.4,85.0,78.6,76.4,47.2,69.8,75.0,73.0,57.4,76.0,78.0,67.4,83.2
37,,,72.6,,62.8,76.2,29.6,42.6,69.8,90.0,72.4,81.8,74.4,80.2,,,,70.8,83.2,78.4,69.2,42.2,61.2,69.4,71.2,49.8,63.0,78.4,61.2,73.0
38,,,70.2,,68.6,76.0,34.2,36.8,72.6,88.8,74.0,82.2,71.4,82.4,,,,71.6,80.0,77.0,65.6,44.6,55.0,67.2,65.6,36.8,77.6,74.4,59.2,76.8
39,,,,,74.8,77.8,44.2,43.8,74.8,,79.0,82.2,69.4,77.4,,71.8,,75.6,84.2,75.2,68.2,44.8,45.8,68.0,52.0,32.8,80.0,75.6,64.2,71.8
40,,,,,71.4,77.8,49.4,50.8,73.6,,78.4,86.0,66.0,77.4,,69.6,,73.0,,71.8,70.6,45.8,46.8,55.4,52.0,31.4,81.2,78.0,65.0,74.4
41,,,,,73.8,75.6,48.6,50.6,76.4,81.0,70.6,83.2,67.4,78.8,,,,73.0,,69.8,74.0,46.2,63.6,60.2,61.8,29.0,71.0,80.0,62.2,74.0
42,,,,,75.0,69.2,54.6,57.8,73.4,73.0,70.4,83.0,66.8,72.4,,,66.2,71.0,77.4,66.6,70.6,30.6,46.4,65.0,70.0,26.4,68.8,80.0,60.0,71.0
43,,,,,65.6,69.0,54.6,58.2,73.8,73.0,68.0,79.4,61.0,71.8,,,67.6,69.6,75.2,64.4,71.4,33.8,64.0,46.8,64.8,25.0,64.2,40.0,62.6,75.2
44,,,,,,,,,75.8,73.0,,,,77.0,,,,,,,71.4,37.0,66.4,30.0,64.0,23.4,62.2,40.0,62.0,69.2
45,,,,,,,,,,,,,,,,,,,,63.8,70.6,42.8,65.8,27.6,62.0,29.4,62.8,40.0,59.8,72.2
46,,,,,,,,,,,,,,,,,,,,60.0,72.4,42.8,39.8,27.0,57.4,28.2,61.4,72.0,58.8,63.6
47,,,,,,,,,,,,,,,,,,,,57.6,67.6,40.6,36.6,26.0,54.0,24.6,58.4,78.0,40.4,67.4
48,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,
