week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,69.8,72.0,,,,82.0,,,,,60.0
15,,,,,,,,,,,,,,,,,,,,72.8,72.2,73.2,,,,82.0,80.0,73.4,,,62.4
16,,,,,,,,,,,,,,,,,,,,75.0,73.2,73.4,,,,82.0,77.8,76.4,73.8,82.0,
17,,,,,78.8,,,,,,77.0,,,,,,78.0,,,77.6,73.8,76.6,80.6,,,82.0,76.4,76.4,73.8,80.8,
18,,,77.8,82.4,74.6,78.6,72.6,73.6,76.2,78.4,76.2,68.6,75.0,71.8,,,80.4,73.0,75.2,78.2,75.6,77.0,78.6,71.4,70.2,78.2,81.0,79.0,72.4,77.0,
19,,,78.6,83.0,73.0,78.6,67.6,74.6,79.2,80.2,73.6,70.0,74.8,75.0,,74.8,80.2,73.4,77.2,80.6,76.6,76.8,77.8,73.8,72.4,81.2,82.0,77.8,73.6,83.6,
20,,,75.8,,65.6,78.0,65.4,74.2,78.0,82.0,76.8,69.2,74.6,76.6,,75.6,80.2,75.0,79.4,81.6,77.8,74.8,78.6,67.6,71.0,78.6,80.4,79.8,74.6,80.4,
21,,,74.8,83.4,65.6,77.8,70.8,74.8,78.8,80.0,77.8,68.0,69.6,80.2,,,79.2,73.4,77.8,81.6,78.2,76.6,80.4,67.8,69.2,74.2,74.4,83.2,69.0,82.0,
22,81.2,,74.6,77.6,57.8,78.6,76.6,73.2,78.8,79.6,77.0,67.0,66.4,82.4,,75.6,74.6,75.0,80.2,82.0,80.0,77.4,80.0,68.8,72.8,74.6,70.2,82.4,63.0,78.4,
23,,,74.6,74.0,55.2,78.6,75.6,70.4,77.0,80.8,78.6,66.8,67.0,84.0,,71.4,68.0,70.6,80.8,82.2,80.4,77.8,77.8,66.6,73.4,73.4,70.8,69.2,58.4,78.0,
24,,,74.4,73.6,57.2,79.2,75.4,72.2,78.0,79.8,78.2,63.2,66.6,82.4,,65.6,67.0,71.6,81.0,82.4,80.6,77.4,71.6,71.8,70.4,72.4,70.0,84.8,61.8,74.8,
25,75.2,,72.0,,59.6,78.8,76.0,69.6,75.6,80.6,72.6,68.2,63.0,81.6,,54.2,66.6,66.4,81.8,82.8,81.4,76.4,71.2,72.0,68.6,72.2,66.2,76.8,60.4,62.8,
