week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,71.8,,,,,,68.8,,,,,71.8,67.2,,,57.2,67.8,74.4,,,,,72.6,66.8,,
18,69.0,55.2,62.4,74.4,68.6,71.4,75.8,71.2,61.0,68.6,69.4,72.0,74.2,72.4,71.4,75.6,68.8,73.8,70.0,60.8,69.4,76.0,74.0,72.4,69.0,68.2,73.4,66.2,70.8,76.2
19,,56.6,64.2,76.6,70.4,75.0,78.6,76.0,73.2,72.6,71.6,74.6,74.2,72.0,73.6,73.8,73.0,75.4,71.0,62.8,72.0,76.0,76.6,75.0,69.4,69.6,70.2,69.2,70.4,80.4
20,,59.4,64.0,74.2,70.2,79.8,81.6,72.2,71.8,74.2,72.4,77.8,76.2,74.2,78.4,75.4,75.8,72.6,73.2,65.4,72.8,76.4,77.2,77.6,72.6,71.0,66.0,75.0,74.8,83.2
21,,68.4,58.6,67.2,70.8,78.2,81.4,71.8,76.4,78.8,72.0,76.6,73.6,72.2,78.0,76.6,78.2,69.4,74.4,68.2,73.6,75.8,77.0,78.2,69.6,71.6,66.8,75.8,66.6,83.6
22,,71.0,63.6,59.0,74.8,80.0,81.0,73.2,74.4,80.6,68.2,78.8,73.4,69.2,,74.2,79.2,70.4,76.8,70.2,74.8,76.0,77.4,80.0,77.8,76.2,64.4,76.6,54.2,86.2
23,,74.0,63.2,59.8,71.4,78.0,81.6,76.4,75.0,78.8,64.4,76.4,76.8,70.6,77.6,78.8,78.6,67.6,73.8,71.0,75.2,75.4,76.2,79.6,75.8,74.6,57.0,75.6,49.4,84.2
24,73.0,71.8,61.8,57.8,72.8,77.0,83.4,78.4,77.4,76.8,68.6,73.8,66.0,76.8,77.8,,79.0,61.2,77.4,73.6,76.4,72.2,71.6,78.2,72.8,74.0,61.0,72.8,47.4,79.8
25,63.2,77.2,62.4,59.0,69.2,77.6,82.6,77.6,71.0,78.6,62.8,71.6,62.0,75.4,77.2,,81.0,62.2,77.0,74.8,77.0,69.8,72.4,77.8,73.8,72.6,63.2,72.0,43.8,80.2
26,66.2,78.2,64.2,55.4,74.8,78.4,76.4,73.0,67.8,78.2,61.0,70.8,59.0,75.0,76.0,,78.8,54.0,78.0,74.8,75.8,64.0,72.2,74.4,73.4,71.2,66.6,71.6,50.6,79.8
27,69.0,71.2,65.6,63.2,75.2,78.0,72.2,62.8,66.6,74.4,54.6,64.8,52.4,76.6,73.4,,74.6,50.8,74.0,75.0,75.4,64.6,74.0,68.4,74.8,61.4,72.4,68.0,50.0,82.0
28,66.6,69.6,60.6,58.2,75.2,71.0,63.0,63.2,67.0,75.2,51.2,61.4,49.2,75.2,72.8,,68.0,42.0,75.4,75.6,74.6,65.0,74.4,59.8,70.8,60.2,68.6,65.8,53.4,80.2
29,68.0,67.2,58.8,,74.8,67.0,51.6,55.6,67.0,73.8,53.0,64.4,50.4,75.4,66.0,75.0,64.6,42.2,70.4,74.2,76.2,63.0,70.4,57.4,69.0,58.2,66.6,62.0,54.8,83.0
30,71.4,57.8,57.2,48.2,75.0,65.4,50.2,54.0,66.4,73.2,63.4,66.4,42.2,73.4,65.0,75.6,66.0,41.2,70.2,72.6,74.6,61.8,68.4,59.0,67.4,64.2,71.2,59.2,63.2,80.6
31,68.4,62.0,56.6,39.4,66.6,66.2,45.0,55.8,64.2,67.8,58.6,70.8,37.0,65.6,63.8,73.6,69.2,44.4,72.0,71.2,72.6,60.4,66.2,58.8,65.8,62.4,72.6,59.8,60.6,72.4
32,70.6,62.0,54.6,40.8,69.2,68.4,39.0,54.4,69.4,69.4,59.0,69.8,37.6,66.2,61.0,75.0,69.2,51.0,70.4,69.0,71.0,59.0,62.4,60.2,63.8,62.0,73.0,63.4,63.6,75.6
33,76.8,54.2,53.2,44.4,67.8,69.6,42.6,57.6,63.8,67.4,61.8,63.4,44.2,59.0,64.4,69.4,67.4,51.0,69.2,67.6,69.8,62.4,63.0,56.2,60.8,60.8,69.8,59.8,66.8,79.0
34,77.4,56.6,59.6,44.2,70.4,67.8,46.2,63.6,57.4,63.4,56.6,60.8,51.8,53.0,68.4,67.0,69.4,54.6,62.6,68.4,69.0,64.0,63.4,58.6,58.0,57.0,65.6,63.4,63.6,80.0
35,73.8,53.0,62.8,46.0,63.2,70.0,53.2,63.2,57.6,64.2,57.4,68.0,55.0,44.8,72.2,69.4,63.0,50.4,66.6,68.0,69.4,65.0,60.2,63.0,61.0,59.8,63.4,63.6,66.0,72.8
36,73.8,48.6,59.4,55.0,57.0,64.2,57.4,56.8,55.0,62.8,53.0,68.6,52.8,50.6,69.0,66.6,64.2,55.0,66.6,68.8,70.2,67.2,59.4,64.0,61.4,60.6,63.4,64.6,65.8,66.8
37,66.8,50.4,65.4,49.8,60.6,69.0,61.8,52.0,53.4,61.2,50.8,69.2,60.2,55.6,68.8,68.8,62.6,51.4,64.8,69.8,70.6,68.0,59.6,65.0,62.2,61.6,64.6,65.4,64.8,63.8
38,68.4,55.6,65.0,49.0,52.4,69.0,67.2,53.4,51.6,61.8,52.4,69.0,58.0,59.8,62.4,68.6,65.0,55.8,66.2,69.4,71.6,70.8,58.6,68.6,64.4,62.4,67.6,64.2,67.2,58.6
39,69.2,60.2,63.8,48.4,61.4,69.2,66.0,53.2,53.2,57.0,57.4,70.8,58.2,58.8,62.6,70.4,66.4,53.0,66.8,69.6,71.2,71.2,57.0,68.2,64.4,59.8,68.6,62.6,65.2,60.6
40,71.4,62.6,66.2,51.6,61.2,69.4,69.2,53.8,54.4,55.8,58.4,72.6,58.4,60.2,65.6,66.8,66.4,55.0,,70.2,70.2,71.6,58.4,68.6,64.8,61.4,68.4,65.8,66.2,57.0
41,73.0,62.0,64.6,52.4,59.8,67.6,67.0,60.2,56.4,57.0,58.0,69.6,58.0,59.8,67.6,63.6,64.0,55.4,,70.2,69.8,72.0,59.8,69.2,64.2,63.4,69.8,65.2,64.6,57.8
42,69.6,60.0,60.6,58.0,59.6,70.4,69.4,57.4,54.6,57.8,57.2,69.0,61.6,59.8,66.4,66.0,68.4,57.2,67.0,70.4,69.4,71.8,61.6,69.0,65.4,63.0,68.8,65.4,62.2,54.8
43,68.0,56.2,60.8,54.6,60.0,68.6,67.0,57.6,53.8,60.4,49.0,69.2,63.8,63.2,65.4,67.4,65.6,56.8,65.6,70.2,68.6,71.8,62.6,67.4,61.8,61.6,69.2,64.2,62.8,56.0
44,69.6,,62.4,62.8,,,,,56.2,57.8,,,,57.6,,,,,,,,72.2,64.4,66.6,62.8,,68.8,,,
45,,,,,,,,,,,,,,,,,,,,,,72.2,63.4,68.8,57.0,,,,,
46,,,,,,,,,,,,,,,,,,,,,,71.4,,67.4,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,
