week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,62.4,59.2,62.6,63.0,,,,64.6,,,
15,,,,,,,,,,,,,,,,,,,,63.6,60.4,62.6,65.6,,,,65.2,,,
16,,,,,,,,,,,,,,,,,,,,62.6,61.6,67.6,67.8,,,,66.0,,54.6,
17,,,,,70.6,,,,,,69.6,,,,,71.2,70.8,,,65.6,63.2,70.2,70.6,62.8,,,66.2,54.2,55.8,
18,64.8,59.8,59.8,70.2,73.2,62.4,74.8,67.2,68.8,63.2,69.0,77.4,71.8,63.2,68.6,72.0,73.2,73.0,53.0,65.8,63.4,72.4,72.0,65.2,71.0,73.2,67.2,56.2,61.0,72.4
19,64.6,60.2,59.0,69.4,77.6,68.0,77.6,69.2,70.0,59.6,71.4,81.0,73.2,68.2,69.6,74.4,75.4,76.0,55.2,66.8,68.4,73.4,75.2,71.4,71.0,71.8,65.4,62.0,67.4,74.4
20,68.8,62.2,58.6,74.2,78.8,71.8,79.8,69.6,73.6,60.2,71.6,80.0,70.0,71.4,70.2,,,75.6,60.0,67.6,71.8,74.6,76.8,70.6,72.0,71.8,66.6,65.8,72.4,74.2
21,69.4,63.8,57.4,73.6,79.4,70.8,79.0,67.6,75.8,64.4,74.0,80.2,71.8,70.2,69.6,,,75.4,66.2,71.8,73.2,76.6,76.4,74.2,70.8,72.4,66.2,69.4,74.4,75.2
22,72.4,65.6,60.4,73.8,78.6,74.4,80.4,68.0,74.0,69.2,72.2,77.4,74.4,72.2,65.8,,,78.2,71.6,76.4,74.2,77.6,77.6,76.0,72.2,73.4,65.0,71.4,72.0,77.0
23,,69.0,60.0,74.0,78.0,75.2,79.6,67.6,73.8,70.4,75.6,75.6,75.2,74.6,64.0,,,76.0,73.0,77.8,75.8,78.8,76.6,76.0,72.4,75.4,61.2,72.8,67.6,76.8
24,,67.2,55.4,71.8,76.8,75.4,76.2,69.0,77.4,71.6,76.2,72.8,72.8,76.6,64.8,,,77.4,76.2,78.2,77.0,79.2,78.4,78.0,73.8,74.2,54.4,75.8,66.2,81.0
25,66.8,,54.6,74.2,76.6,75.0,79.4,68.8,74.2,72.2,79.2,73.2,72.4,76.8,68.2,,,77.8,78.2,78.0,77.6,78.4,78.0,79.4,75.0,72.6,51.2,75.8,63.0,80.6
26,69.8,,56.2,75.0,75.8,76.4,75.8,68.8,78.2,74.2,76.6,70.0,65.8,76.4,68.6,,81.4,75.6,78.2,78.4,78.2,77.0,76.2,78.6,76.0,72.4,50.2,75.6,66.2,78.8
27,73.2,69.0,63.2,73.6,78.4,77.6,72.8,65.2,75.6,71.0,75.0,57.6,61.8,72.2,69.0,,,70.0,77.8,79.0,78.8,75.8,75.8,78.6,77.2,72.0,48.2,75.2,65.0,79.0
28,69.8,,65.4,72.8,73.6,78.0,62.4,66.8,77.6,74.6,70.6,48.0,52.2,70.4,67.8,,81.6,62.8,76.4,79.6,77.6,77.4,75.8,76.2,77.4,72.0,44.2,74.8,63.8,79.2
29,72.4,66.4,67.4,74.0,71.6,76.6,58.0,63.0,75.4,73.2,68.8,47.0,48.0,70.0,64.8,,80.8,58.8,76.2,77.8,78.0,77.6,74.6,75.0,76.4,70.8,44.0,74.2,58.8,78.0
30,72.8,62.6,70.2,73.8,72.4,74.8,62.4,65.4,72.6,68.6,68.2,41.8,43.2,68.8,63.0,,81.0,57.8,73.4,76.0,77.8,78.0,72.4,75.8,76.6,74.8,38.8,72.8,52.6,77.6
31,72.8,61.0,70.4,68.4,68.0,71.4,61.0,64.8,67.0,70.8,65.2,46.6,36.2,68.6,62.8,79.8,80.0,56.8,70.0,75.4,78.0,77.2,70.2,74.2,74.8,73.6,40.2,71.8,50.0,78.8
32,73.4,64.4,69.8,65.6,70.8,65.0,57.8,67.8,62.2,70.6,61.4,44.4,38.6,64.2,63.6,,79.0,56.6,69.8,72.6,77.2,77.0,68.6,72.2,73.8,72.6,38.4,71.6,50.4,78.8
33,74.8,61.4,70.2,62.4,68.8,69.2,56.8,67.8,52.0,69.8,64.6,49.8,41.4,62.4,63.0,,76.4,56.2,65.8,71.0,74.4,76.6,68.8,68.4,74.4,72.8,34.6,73.8,51.0,76.4
34,75.4,61.0,69.8,62.2,69.4,67.6,56.0,70.6,47.6,67.6,67.0,54.0,51.4,58.4,65.4,,73.0,55.6,57.8,72.2,75.0,77.2,68.8,68.0,73.4,70.6,38.2,72.6,50.6,77.0
35,,58.2,67.6,67.4,69.4,66.0,56.2,70.2,43.4,67.4,65.8,55.8,55.0,57.0,66.4,,71.6,54.0,52.4,73.4,75.2,77.0,69.2,67.2,73.0,69.8,41.2,71.2,44.8,77.0
36,76.0,54.0,67.8,62.4,69.2,63.0,56.0,69.4,38.8,67.2,67.0,58.0,56.0,59.0,64.8,,68.6,51.8,50.4,73.8,75.2,76.8,69.2,67.2,71.4,70.4,43.4,71.2,44.2,75.6
37,74.2,54.6,66.2,59.8,75.6,62.2,57.6,69.4,40.8,66.8,68.8,56.8,55.6,57.0,62.2,,64.8,49.0,48.8,74.8,75.4,77.2,67.6,66.4,72.0,70.8,46.2,71.2,43.0,73.2
38,73.2,52.6,68.6,56.0,67.8,62.0,61.8,68.8,46.0,68.6,69.8,59.8,59.8,58.0,59.2,,64.2,47.2,52.8,74.8,74.4,76.8,66.2,68.2,70.6,69.4,46.8,69.6,41.8,72.0
39,,56.0,65.6,57.6,67.2,61.8,63.6,69.0,47.2,71.2,70.0,61.8,61.6,61.6,58.8,,61.0,45.2,52.4,73.8,73.4,76.6,68.0,67.0,70.2,69.8,47.8,68.2,43.0,70.4
40,75.6,56.6,65.8,56.4,70.4,61.4,62.6,70.2,48.6,71.4,71.0,62.0,64.2,62.0,61.0,77.4,60.4,43.4,,74.0,73.2,76.2,67.6,67.8,69.0,68.6,52.2,67.8,43.8,64.2
41,,55.6,64.6,63.2,65.4,52.4,63.4,71.2,47.2,70.2,69.6,64.4,67.2,62.0,62.8,76.4,60.2,43.2,,72.4,71.6,75.6,67.4,67.8,67.4,69.0,55.6,66.2,44.4,60.4
42,,56.8,65.8,62.4,64.8,52.0,63.8,69.0,48.2,69.4,71.8,61.0,67.6,65.4,64.0,75.0,59.6,42.4,60.8,71.4,69.6,75.2,67.6,66.8,67.4,65.2,53.6,64.6,48.0,60.4
