week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,59.8,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,55.4,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,64.6,,72.8,,,,71.0,68.2,,63.0,
14,,,,,,,,,,,,,,,,,,,,58.4,65.4,66.4,73.4,58.8,62.2,68.2,74.4,68.8,,66.0,71.2
15,,,,,,,,,,,,,,,,,,,,60.4,69.4,66.2,73.8,58.8,66.0,73.0,74.0,70.6,71.6,66.8,72.6
16,,,,,,,,,,,,,,,,,,,,61.0,72.6,67.2,75.4,59.0,67.2,71.8,74.6,70.2,69.0,67.8,
17,,,,,79.0,,,,,,73.2,,,,,70.4,,,,63.2,73.8,68.2,75.0,58.6,68.0,72.8,75.6,72.4,64.4,70.4,
18,70.4,54.8,,,78.8,46.0,64.8,73.6,69.6,75.2,70.8,60.8,60.6,69.4,,69.8,,74.6,62.8,64.0,72.8,69.0,76.0,59.4,70.6,73.6,75.6,72.2,64.6,73.8,
19,71.8,62.2,69.0,,78.8,47.0,64.6,75.8,70.4,75.2,69.6,62.8,63.4,70.0,,73.0,,72.2,64.4,64.2,73.8,69.2,76.2,57.6,70.4,74.2,75.4,75.6,62.4,75.0,
20,,66.0,67.0,,78.8,43.2,66.2,78.4,74.0,76.8,66.6,63.6,64.0,70.2,,73.0,,66.4,69.0,64.6,75.0,69.8,77.4,62.6,72.8,73.0,74.4,75.6,60.0,74.4,
21,,63.8,66.0,,79.6,44.8,65.0,79.0,74.4,77.6,60.6,60.8,63.6,70.8,,74.4,,59.8,72.2,64.8,76.0,70.6,76.6,63.2,73.6,74.4,75.2,75.2,56.8,74.8,
22,74.8,67.0,68.4,,77.4,44.8,68.8,78.8,73.6,77.4,56.0,61.8,66.6,73.4,,,,56.2,75.0,65.2,77.0,72.6,77.0,62.6,73.6,74.4,75.6,76.4,52.4,77.8,
23,74.2,67.0,69.0,,76.4,44.6,67.2,78.8,74.0,76.6,58.8,59.2,65.8,74.4,,,,52.2,75.0,66.6,76.8,71.8,75.6,59.8,75.4,74.2,76.0,78.6,52.8,77.8,
24,75.2,68.2,70.8,,74.0,50.0,66.4,80.6,76.2,77.8,57.4,57.4,65.6,74.8,,,,50.6,77.6,69.0,77.0,68.8,75.0,57.0,76.4,74.8,74.6,74.6,54.8,77.2,
