week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,38.4
3,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,28.0,,,
4,,,,,,,,,,,,,,,,,,,,,,,,50.8,,,,,52.6,46.8,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,33.4,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,,53.0,43.8,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2
12,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,44.6,26.8,51.2,47.4,
13,,,,,,,,,,,,,,,,,,,,,,55.4,72.0,46.0,64.8,,39.6,29.4,52.6,49.4,42.8
14,,,,,,,,,,,,,,,,,,,,61.2,60.4,56.0,72.2,49.0,67.2,70.8,42.0,26.8,49.6,48.0,40.6
15,,,,,,,,,,,,,,,,,,,,60.4,62.6,56.4,72.2,49.4,67.4,70.8,46.8,28.4,56.6,48.2,42.6
16,,,,,,,,,,,,,,,,,,,,61.4,62.8,58.0,72.0,54.6,72.0,71.4,45.0,26.0,56.6,50.2,
17,,,,,69.4,,,,,,51.4,,,,,65.0,68.2,,,63.2,62.8,60.4,70.4,58.8,71.4,72.6,44.2,28.8,55.0,50.6,
18,64.4,,66.0,69.4,70.2,57.2,52.8,46.4,62.4,50.0,58.0,73.8,74.2,53.8,65.0,66.0,70.4,65.8,47.2,64.2,62.4,61.8,76.8,63.6,71.2,71.4,46.6,31.4,55.6,53.2,
19,,,68.8,64.6,75.6,61.4,46.6,49.2,68.6,48.0,57.2,74.0,72.4,53.8,69.2,67.2,75.2,67.6,48.6,65.6,62.4,63.6,76.0,64.8,70.2,72.2,44.6,36.8,57.0,57.2,
20,,70.4,65.0,55.8,74.2,57.8,43.0,48.0,68.6,47.6,63.4,71.8,75.2,58.8,,70.8,77.6,61.4,51.0,67.0,62.4,65.6,75.0,69.2,73.2,70.2,48.2,42.0,60.2,60.8,
21,,,63.4,56.4,76.6,52.2,42.6,49.6,71.8,45.0,64.2,74.8,77.4,58.6,71.6,73.2,82.4,68.0,56.8,67.2,63.2,66.8,68.4,72.6,75.8,75.0,46.8,46.2,62.2,64.6,
22,,,69.8,53.6,76.2,56.8,37.8,51.8,75.2,50.6,65.6,71.6,78.8,65.6,70.6,78.6,,63.6,63.0,69.0,63.0,67.6,65.2,76.6,74.4,76.4,48.4,46.8,65.8,65.4,
23,,,69.2,59.0,77.4,54.0,47.8,52.6,74.2,51.2,72.0,75.0,79.0,66.8,72.4,78.6,,61.4,66.0,68.4,64.2,67.0,67.6,81.2,76.0,76.0,50.6,50.0,63.8,70.2,
24,,,69.2,51.8,81.0,58.4,50.6,57.8,73.4,55.2,71.4,71.4,80.8,68.8,73.2,79.6,,63.0,68.8,68.8,64.4,66.2,65.6,80.0,76.2,70.4,47.2,54.0,69.0,70.0,
25,,,71.6,57.0,79.6,55.2,52.4,55.8,71.4,54.8,71.2,71.0,76.8,70.2,71.8,79.6,,60.0,74.0,70.2,64.4,66.2,65.0,79.0,75.0,70.0,40.2,56.2,73.6,68.4,
26,,,70.8,64.6,77.6,53.2,49.2,59.2,68.2,57.0,74.8,64.6,77.8,72.4,72.6,,,55.6,71.6,70.6,63.6,64.4,55.2,80.6,74.8,73.4,37.2,61.4,74.6,70.6,
27,,76.6,,61.4,74.0,54.0,49.4,53.8,64.0,52.8,73.0,65.8,71.6,70.2,68.6,81.8,,48.8,70.0,70.4,61.6,61.8,50.0,79.2,75.6,71.8,36.0,61.4,71.8,68.0,
