week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,52.8,,,,,,67.6,,,,,,65.4,,,,,65.6,,,,,57.2,75.6,,
18,,,,,76.4,70.0,73.0,76.8,72.6,70.2,72.4,75.0,65.2,73.4,53.8,,,73.8,67.2,58.0,65.8,66.8,74.2,71.2,67.0,76.6,56.8,77.0,88.2,100.0
19,,56.8,55.8,,68.0,72.4,67.8,78.2,74.2,75.4,74.8,76.4,75.0,78.2,67.8,,,77.2,76.6,74.2,62.4,68.4,68.6,74.4,65.8,67.6,56.8,99.0,90.8,70.0
20,,,58.0,,74.4,85.8,68.0,79.6,79.2,82.6,80.2,73.0,79.8,79.4,65.2,,,84.2,77.8,75.0,62.4,70.0,83.4,76.0,71.2,64.4,69.6,93.8,90.0,75.8
21,,,,,73.0,84.4,58.8,80.0,84.8,85.2,80.0,82.6,85.0,80.8,74.2,83.2,,88.6,79.0,76.2,63.6,73.8,82.6,72.6,65.2,75.0,71.0,96.0,94.0,76.0
22,,,,,66.8,84.8,77.6,81.6,86.6,86.4,84.8,82.6,88.0,75.6,81.0,77.2,,92.4,77.4,76.8,63.0,74.0,81.2,71.8,71.2,72.6,70.6,72.6,89.6,80.0
23,,,,,69.8,90.0,78.4,83.6,85.4,84.0,80.4,80.2,86.4,75.4,,75.0,,87.8,79.4,76.6,70.2,76.4,83.6,73.8,71.2,71.0,71.2,74.8,88.4,79.0
24,,,,,61.6,88.8,78.0,83.2,87.4,88.0,82.2,85.4,88.0,72.0,,75.4,,87.2,78.8,76.4,73.2,69.2,86.8,68.2,74.4,69.0,61.4,72.0,88.4,79.0
25,,,,,58.0,83.2,77.0,84.8,87.4,83.0,80.0,81.2,87.0,73.8,,74.8,,86.6,78.6,75.6,74.8,64.0,78.0,64.2,80.6,60.2,56.2,73.8,80.8,80.0
26,,,,,60.0,95.4,76.0,82.2,84.0,82.8,79.0,83.6,77.8,80.4,,71.4,,87.2,78.2,74.0,75.4,61.2,71.0,59.0,82.2,58.4,54.0,67.0,70.0,80.0
27,,,,,66.8,88.0,77.2,80.6,76.8,78.6,80.8,80.4,75.0,74.8,,,,83.0,77.8,74.6,74.8,59.0,75.4,51.2,79.8,50.4,54.0,66.4,72.4,77.8
28,,,,,62.6,75.0,74.0,78.0,73.8,81.4,83.2,77.2,76.2,77.6,,,76.4,69.0,76.4,74.6,73.8,58.0,81.8,55.2,76.4,51.8,68.8,62.0,68.6,73.4
29,,,,,58.2,78.8,67.8,72.2,71.0,79.0,84.8,76.8,81.8,77.8,,,70.2,62.6,75.0,74.8,71.4,48.8,75.6,57.0,60.8,53.6,75.8,60.6,65.0,75.8
30,,,,,52.6,78.8,75.4,70.8,73.4,78.2,82.0,75.4,82.0,76.4,,,71.4,72.2,76.6,76.0,63.0,46.4,75.0,57.0,66.6,52.6,78.4,62.0,68.8,77.0
31,,,,,44.4,78.8,64.2,68.2,73.4,78.2,78.0,75.4,77.4,77.2,,,,64.6,76.0,71.0,63.2,44.4,75.4,57.6,64.8,54.4,82.0,66.6,67.6,76.6
32,,,,,50.8,78.4,54.0,62.8,77.0,80.0,72.6,81.4,81.6,72.0,,,65.4,71.6,76.8,71.6,66.0,41.6,68.6,60.8,59.2,53.2,82.0,52.2,79.0,76.6
33,,,,,59.2,80.4,51.4,60.4,79.0,80.6,73.6,75.8,79.8,73.6,,,,76.8,78.4,73.8,67.8,43.6,65.4,61.2,68.2,50.2,83.0,52.6,77.8,80.0
34,,,,,52.4,81.0,46.6,54.8,78.8,79.4,76.6,75.6,75.0,78.4,,67.2,,76.0,76.8,72.8,65.6,45.4,71.8,50.4,69.6,50.8,80.0,74.2,80.0,78.6
35,,,,,50.2,69.2,40.2,56.0,79.8,79.6,73.6,76.4,69.8,77.6,75.0,,73.2,72.2,75.6,70.6,66.4,42.2,70.2,70.2,65.6,48.8,82.0,74.2,75.4,79.6
36,,,,,42.2,79.6,45.8,55.8,80.4,81.6,76.8,77.0,66.8,77.2,76.2,,73.6,74.2,76.6,73.4,68.6,40.4,74.2,68.2,65.6,42.2,82.0,66.8,71.8,80.0
37,,,,,61.8,72.8,46.8,55.2,82.2,83.8,70.8,75.2,69.4,76.2,75.6,,74.0,73.0,75.0,73.2,68.6,39.2,70.2,67.0,65.2,39.4,80.0,75.0,80.0,78.2
38,,,,,67.6,66.2,49.6,56.2,78.4,78.0,73.6,76.0,69.6,72.6,74.8,,75.4,75.4,74.0,72.0,66.2,37.6,64.2,68.4,68.4,32.2,79.0,70.0,76.4,74.6
39,,,,,70.4,74.0,52.6,64.4,78.0,,70.6,74.4,72.4,71.6,,,73.6,73.6,74.0,65.0,65.0,41.4,63.8,67.0,64.8,32.2,79.0,72.4,74.8,80.0
40,,,,,73.2,73.8,57.0,62.8,75.0,,71.6,77.4,72.4,67.8,68.8,,72.2,69.0,,66.6,63.8,45.0,63.4,69.8,60.2,31.4,77.0,72.8,75.8,79.2
41,,,,,66.0,73.6,50.0,62.0,85.0,79.4,65.4,75.4,72.4,68.4,,,73.4,69.4,,64.4,61.4,47.0,64.6,64.6,64.8,37.4,58.4,68.0,78.0,80.0
42,,,,,66.8,70.2,62.4,65.4,81.2,77.2,67.4,74.4,72.0,69.0,,,70.0,73.0,68.6,62.6,59.8,48.6,64.0,66.2,61.2,39.4,75.6,73.4,76.4,76.6
43,,,,,62.8,70.2,62.4,58.2,81.0,78.4,65.0,75.0,67.2,61.0,,,68.0,74.4,65.0,58.8,60.8,47.6,65.2,52.2,57.6,43.6,70.0,72.0,78.0,64.0
44,,,,,,,,,81.0,78.4,,,,64.0,,,,,,,61.4,45.8,57.2,50.8,61.2,45.6,67.8,74.0,72.0,60.0
45,,,,,,,,,,,,,,,,,,,,70.6,57.4,44.0,63.8,42.6,60.8,38.0,70.0,72.0,70.0,60.0
46,,,,,,,,,,,,,,,,,,,,62.0,52.2,44.0,53.6,37.6,55.0,34.4,67.6,72.0,70.0,74.0
47,,,,,,,,,,,,,,,,,,,,61.0,52.8,46.8,52.0,35.6,53.0,30.4,67.0,72.0,65.0,60.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,
