week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,78.2,,,,,,71.0,,,,,,,,,,,75.8,,,,,63.4,37.2,,
18,,56.2,,,78.2,56.4,66.2,61.2,56.4,58.2,67.4,71.4,69.6,71.8,,,,71.8,41.8,57.2,64.4,77.0,77.4,67.2,76.4,73.8,66.6,43.2,41.8,74.0
19,,60.6,71.8,72.8,80.2,53.0,69.2,61.2,59.0,55.6,69.6,68.6,72.6,72.8,,,,74.0,41.4,59.6,66.0,78.4,74.8,67.6,76.4,75.4,66.0,51.0,45.8,72.0
20,,68.6,67.2,74.6,82.4,53.8,70.2,60.4,58.4,54.2,69.8,64.4,71.0,73.2,,,,69.4,43.2,59.0,68.8,79.6,76.6,69.4,76.8,76.2,65.4,54.6,46.8,71.0
21,,68.2,65.4,,81.4,53.2,69.8,56.2,63.0,54.4,66.6,60.8,72.6,75.4,,,,67.6,44.0,59.0,69.8,81.0,78.2,69.6,77.2,77.2,70.6,53.8,53.2,73.8
22,,70.4,71.6,,82.2,56.6,73.0,54.8,62.8,55.2,73.6,57.4,74.0,75.6,,,,66.2,46.2,59.6,71.2,81.0,77.6,70.2,78.6,75.8,68.8,58.2,60.0,75.0
23,,,71.8,74.0,82.6,49.2,75.2,54.8,67.8,52.6,73.4,51.0,77.8,76.2,,,,63.0,51.8,61.4,72.6,80.0,77.2,72.2,80.4,75.4,64.2,62.8,57.0,73.4
24,,73.2,,,84.0,44.6,74.6,55.4,66.6,54.0,75.0,55.4,76.8,76.6,,,,58.8,53.6,62.8,75.4,79.0,75.4,71.6,80.0,71.8,63.4,60.0,57.2,72.0
25,,,70.2,75.2,82.6,44.8,72.4,50.0,69.8,57.8,75.6,52.0,75.8,76.4,,,,52.8,56.2,64.4,76.6,78.2,70.6,74.0,82.4,72.8,64.0,55.0,59.2,76.0
26,,,70.4,77.8,81.4,43.2,70.0,41.6,69.8,58.2,74.6,49.8,75.0,77.4,,,,48.6,55.8,66.6,77.0,78.0,68.6,76.2,80.4,70.8,63.0,46.8,62.6,75.0
27,,73.2,69.6,74.6,81.0,45.6,66.8,42.0,68.8,60.2,74.0,48.6,72.0,77.6,80.2,,,45.6,55.2,66.8,76.4,76.8,64.2,75.6,79.8,69.6,62.8,49.4,68.6,75.8
28,,,67.0,75.8,78.2,41.4,67.8,36.6,67.4,61.2,70.6,45.0,71.4,76.2,79.6,,,39.4,54.8,68.6,76.0,76.8,61.0,75.4,79.2,65.6,62.6,49.2,70.6,76.0
29,75.8,,65.0,76.8,77.0,39.4,64.8,33.8,63.4,63.8,67.6,41.2,69.0,76.8,78.2,,78.0,39.6,53.8,68.2,75.0,75.6,56.4,76.6,79.0,63.2,61.4,49.6,72.0,72.2
30,69.4,,56.8,75.6,72.6,41.2,65.6,30.8,57.8,62.4,64.6,40.4,67.4,74.0,76.8,,76.4,33.8,52.0,68.0,74.4,75.2,57.2,74.6,78.0,69.0,58.4,43.8,69.8,67.6
31,66.4,73.8,55.8,76.2,72.2,41.2,62.4,29.0,53.8,64.0,59.0,39.4,68.4,74.0,77.0,,75.4,31.8,55.0,66.6,74.0,75.0,56.2,76.8,78.6,70.4,57.4,43.0,70.8,64.4
32,63.4,,51.8,76.6,73.0,37.8,59.8,29.0,51.4,62.4,60.8,39.6,70.2,72.0,76.0,80.0,76.4,30.0,56.8,67.0,73.4,74.0,60.6,76.4,78.2,67.4,59.0,38.0,73.0,64.0
33,65.4,,57.4,75.2,75.2,34.8,59.8,29.0,47.0,58.6,61.6,42.0,68.4,73.4,75.4,79.2,75.2,29.2,57.0,66.0,73.4,73.0,60.0,76.4,79.2,67.2,57.8,34.0,72.4,65.2
34,64.0,,57.8,74.2,69.4,34.0,60.0,30.6,41.6,57.6,62.8,41.4,70.2,69.8,76.0,78.6,74.4,27.6,56.6,67.0,73.4,72.0,60.0,75.4,78.8,60.2,56.4,35.6,65.8,62.4
35,66.0,,58.8,78.4,68.4,30.2,59.4,31.4,41.8,55.0,59.8,42.4,70.2,68.2,75.4,78.2,74.6,26.4,55.2,67.8,73.0,71.6,61.0,76.4,80.0,52.4,57.4,36.0,63.2,61.2
36,64.4,75.0,59.0,73.0,68.4,29.8,59.6,32.0,41.8,53.8,61.2,44.2,71.0,68.8,76.6,76.4,74.2,26.0,54.8,68.2,72.8,71.2,61.0,77.6,78.6,51.2,55.8,36.4,60.6,63.0
37,63.0,,59.6,70.4,66.8,30.8,59.6,32.0,40.4,50.4,61.2,47.8,69.4,69.8,76.2,,73.8,27.4,54.6,68.8,71.8,71.6,60.6,77.6,78.2,59.4,56.8,36.0,59.4,55.6
38,62.6,,58.0,66.8,64.8,31.8,62.2,32.8,43.2,49.8,59.8,50.8,72.2,69.6,75.4,77.6,74.6,26.4,53.2,68.8,71.4,71.6,61.8,76.4,77.2,59.6,56.0,38.8,64.0,60.4
39,65.4,78.8,60.4,66.0,66.4,31.4,62.6,33.2,44.0,48.2,59.0,51.6,70.0,69.4,75.6,75.8,72.2,25.0,52.8,68.8,71.0,71.0,63.8,75.2,79.4,59.2,55.0,34.8,68.6,55.4
40,68.0,,63.8,66.4,66.0,32.0,61.6,34.4,43.0,53.0,57.8,48.8,70.0,69.8,75.2,75.2,71.4,25.2,,69.6,70.6,70.8,65.0,74.6,78.8,58.0,56.0,35.2,67.2,52.2
41,65.4,,63.2,66.4,62.8,33.4,63.0,34.8,42.2,53.2,59.0,52.2,71.0,69.4,75.2,73.8,71.6,26.0,,69.6,70.2,69.8,64.8,76.0,80.0,56.4,54.6,33.6,67.4,52.4
42,69.2,,64.8,68.4,62.4,32.2,63.6,35.0,41.2,52.8,58.0,51.6,73.0,69.4,76.6,73.6,72.8,25.8,55.6,69.4,70.2,69.4,66.8,76.6,77.8,44.8,54.8,33.8,65.6,44.4
43,68.2,,64.6,68.6,57.0,35.0,62.0,36.8,42.2,55.2,60.6,51.4,70.8,71.8,74.6,72.0,73.2,25.2,53.6,69.4,70.2,68.2,66.2,78.0,77.2,55.2,54.0,35.2,67.8,42.8
44,69.0,,66.8,69.8,,,,,43.8,54.2,,,,72.0,,,,,,,70.2,66.0,66.2,77.2,78.4,55.4,54.8,36.4,70.0,44.2
45,,,,,,,,,,,,,,,,,,,,69.4,70.0,66.4,67.0,76.0,74.8,56.0,55.2,36.8,61.6,49.0
46,,,,,,,,,,,,,,,,,,,,70.2,70.4,66.6,65.6,76.2,76.0,50.6,55.6,37.0,59.6,44.8
47,,,,,,,,,,,,,,,,,,,,70.0,70.2,67.4,64.8,74.6,77.6,55.6,53.8,33.8,61.6,43.8
48,,,,,,,,,,,,,,,,,,,,,70.0,,,,75.2,52.2,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,76.4,,,,,
