week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,43.0,,,
4,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,45.0,88.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,35.4,,,
8,,,,,,,,,,,,,,,,,,,,,,,,49.0,87.0,,,,67.0,90.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
12,,,,,,,,,,,,,,,,,,,,,,,,59.0,73.0,,55.0,66.0,51.0,82.0,
13,,,,,,,,,,,,,,,,,,,,,,71.0,,59.0,73.0,64.0,57.0,63.0,66.0,85.0,45.0
14,,,,,,,,,,,,,,,,,,,,,,71.0,,61.0,74.6,65.0,52.0,59.0,69.0,86.0,45.0
15,,,,,,,,,,,,,,,,,,,,,,71.0,,69.0,74.0,66.0,54.0,42.0,69.0,85.0,44.0
16,,,,,,,,,,,,,,,,,,,,42.0,,78.0,,81.0,75.0,66.0,55.0,46.0,69.0,82.0,
17,,,,,76.4,,,,,,83.4,,,,,63.6,,,,47.0,,78.0,,77.0,73.0,66.0,55.0,48.0,69.0,81.0,
18,,,,,76.8,75.4,64.2,60.6,67.0,69.4,80.8,87.4,66.6,69.0,66.8,,,52.8,51.2,47.0,43.0,78.0,95.0,66.0,71.0,65.0,55.0,50.0,67.0,83.0,
19,,72.8,,,77.2,71.6,67.2,63.2,70.8,69.8,83.8,86.4,62.0,68.4,68.4,,,48.8,52.2,48.0,44.0,80.0,95.0,70.0,73.0,66.0,55.0,54.0,66.0,84.0,
20,,,,,75.0,70.6,71.4,62.4,82.4,68.8,85.0,84.4,57.4,66.4,71.4,,,51.6,46.0,50.0,44.0,80.0,95.0,64.0,74.0,66.0,53.0,51.0,70.0,82.0,
21,,,,,75.6,71.2,71.2,60.0,80.0,67.4,90.8,81.8,54.6,59.4,70.4,,,51.2,44.4,52.0,47.0,79.0,95.0,61.0,75.0,66.0,47.0,59.0,71.0,80.0,
