week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,,,,,,,,,,,,,,,,,,,,,,,,61.2,65.0,,75.2,,,
14,,,,,,,,,,,,,,,,,,,,56.6,,,78.2,74.6,66.8,67.0,80.0,,,
15,,,,,,,,,,,,,,,,,,,,60.4,,,,67.4,70.0,75.6,71.8,,,
16,,,,,,,,,,,,,,,,,,,,60.4,,,,73.6,72.0,79.8,82.0,,,
17,,,,,70.0,,,,,,70.6,,,,,,,,,60.4,,69.4,,73.8,68.4,79.0,74.8,77.0,76.6,
18,,,,,70.0,80.0,69.8,81.6,80.0,78.6,64.4,52.0,72.0,69.6,,,,77.0,75.0,62.0,93.0,73.0,84.2,68.6,70.4,80.0,74.4,77.6,84.0,72.8
19,,,,,50.0,85.8,55.0,79.2,81.4,76.0,66.2,60.0,75.0,72.0,,,,81.0,79.0,59.0,83.6,74.2,78.2,74.0,71.2,81.2,82.8,77.8,80.0,71.8
20,,,,,53.0,79.2,51.6,85.4,82.2,79.2,64.6,76.0,77.0,77.0,,,,81.0,86.0,66.2,80.2,73.6,77.2,74.4,78.4,83.0,72.2,79.8,83.0,89.0
21,,,,,68.0,84.8,67.6,73.2,80.0,83.0,65.6,72.0,72.0,75.0,,,,81.0,82.0,77.6,77.2,73.2,77.6,79.4,80.6,83.6,64.8,80.0,55.4,81.2
22,,,,,68.0,76.2,78.0,82.0,81.2,79.2,69.6,75.0,70.0,75.0,,,,83.0,82.0,76.2,72.8,72.8,76.0,77.0,76.4,80.2,74.4,81.0,75.2,73.4
23,,,,,66.0,78.2,78.2,78.6,80.0,81.0,71.4,78.0,67.0,77.0,,,,84.0,82.0,78.2,74.4,72.8,74.0,78.0,81.4,80.0,79.0,80.8,64.4,77.8
24,,,,,60.0,87.0,74.6,80.0,82.6,80.4,74.8,82.0,74.0,72.0,,,,81.0,80.0,75.2,77.0,75.6,75.6,75.2,79.8,80.0,79.2,79.6,68.4,70.6
25,,,,,60.0,85.8,82.6,80.2,78.0,77.0,59.8,83.0,70.0,70.0,,,,78.0,84.0,71.6,76.0,75.2,76.8,75.4,79.4,76.2,84.6,74.8,69.4,60.8
