week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,66.8,,,,,,,,,,54.8
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,
5,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,,55.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,
9,,,,,,,,,,,,,,,,,,,,,66.8,,,,,,,,,,54.4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,
13,,,,,,,,,,,,,,,,,,,,,67.8,64.0,58.8,56.8,68.4,,43.2,54.6,65.4,47.0,51.4
14,,,,,,,,,,,,,,,,,,,,40.8,66.6,63.2,58.6,52.6,64.8,56.8,42.6,58.0,62.0,46.0,52.4
15,,,,,,,,,,,,,,,,,,,,40.6,65.2,63.0,58.6,49.8,61.4,56.2,45.8,58.6,61.8,47.4,48.4
16,,,,,,,,,,,,,,,,,,,,40.4,65.4,62.8,57.8,45.6,60.4,56.4,44.6,53.8,64.6,40.2,
17,,,,,52.6,,,,,,69.4,,,,,59.2,,,,40.6,65.2,62.6,61.6,48.4,61.0,54.8,42.0,46.8,60.2,45.0,
18,,,71.6,68.6,52.6,50.0,57.0,38.2,40.6,50.0,66.4,43.2,70.0,41.8,,57.8,,31.6,28.6,40.2,65.2,63.0,59.6,46.6,57.6,52.4,42.6,47.4,54.0,40.6,
19,,,73.8,68.8,52.4,46.2,57.8,36.2,39.4,53.0,70.6,46.2,69.6,41.4,,63.2,,37.0,27.8,41.0,65.2,63.0,60.6,43.6,56.4,55.6,44.0,49.2,56.2,39.0,
20,,,70.8,68.6,54.2,46.2,62.2,34.4,42.6,49.2,70.4,38.4,69.6,39.0,,57.6,,34.0,24.2,41.0,65.6,63.2,62.4,44.2,59.4,56.2,46.2,48.6,54.2,45.6,
21,,,,64.2,61.8,40.4,60.2,34.0,40.0,50.2,65.6,43.4,76.8,44.6,,61.0,,31.8,28.6,41.0,67.0,63.2,60.6,44.2,61.4,54.4,48.4,47.8,58.2,41.6,
22,,,73.2,,58.8,44.2,59.2,31.4,37.8,54.0,71.2,36.6,72.0,41.0,,59.8,,34.0,28.6,42.8,67.4,63.4,60.2,42.6,58.4,54.0,49.2,49.0,62.0,42.2,
23,,,,,60.2,45.0,56.8,32.0,43.0,48.6,63.4,35.4,69.6,42.8,,58.6,,28.2,27.6,44.0,67.0,63.2,57.6,43.8,58.6,54.0,47.0,44.8,63.4,41.0,
24,48.8,,74.4,57.2,63.2,44.2,54.8,29.0,41.8,46.6,64.4,37.8,71.2,43.0,,60.8,,33.8,28.0,43.2,67.8,62.4,58.8,44.4,56.0,49.6,45.6,42.4,61.2,44.4,
25,,,73.6,,64.0,43.6,55.4,29.6,45.8,44.4,61.0,35.8,70.8,42.2,,54.4,,33.0,29.0,43.2,68.4,62.6,58.2,43.6,53.2,44.4,40.2,44.0,62.2,40.6,
26,51.0,37.2,72.0,,66.4,49.8,55.0,30.4,45.2,44.4,58.8,38.8,69.4,44.8,,58.2,,31.4,26.8,43.0,67.6,62.6,58.6,44.6,55.2,41.0,43.4,46.2,58.0,46.4,
27,54.2,,71.0,50.6,69.2,52.0,50.6,34.6,41.0,47.2,57.6,40.4,67.6,45.6,,61.4,,33.4,31.4,42.6,68.6,62.0,56.8,46.0,54.2,43.8,51.4,48.6,65.2,47.0,
28,54.2,,,53.0,70.4,54.8,48.6,32.6,45.4,52.0,56.6,40.6,69.4,47.6,,64.8,,33.8,30.4,43.8,70.8,60.8,54.8,44.4,55.8,46.0,55.6,50.2,67.2,44.0,
29,52.8,52.4,68.8,51.2,67.4,51.0,49.0,35.6,43.6,46.0,57.8,41.4,68.0,56.6,,63.2,,36.6,36.4,44.0,70.8,59.8,54.6,42.2,56.2,48.2,58.2,50.4,65.0,49.6,
30,54.2,55.4,66.6,50.8,70.2,54.0,53.4,35.6,37.4,51.2,52.0,47.6,69.0,58.4,55.6,65.6,,36.4,33.8,44.0,70.8,60.0,60.2,42.4,55.2,51.0,58.2,56.0,57.0,48.0,
31,53.0,55.0,70.8,53.4,73.8,50.0,53.6,41.6,37.2,51.8,55.2,53.4,69.4,62.6,55.4,,,33.2,41.2,47.2,71.2,60.2,62.6,44.6,48.4,51.0,56.8,55.8,52.2,48.0,
32,,53.6,71.0,53.4,76.6,51.4,50.8,39.8,40.0,56.6,59.0,56.8,67.4,64.6,56.0,68.0,,33.2,40.2,50.8,71.4,60.2,62.6,44.0,53.0,55.0,57.0,57.0,55.0,49.4,
33,53.8,54.6,72.2,55.6,72.6,51.0,52.0,36.8,34.4,56.6,60.0,61.4,65.0,71.8,52.2,73.4,34.2,33.8,43.0,49.6,70.8,60.4,63.6,46.0,54.4,54.2,54.6,59.6,55.8,57.4,
34,53.8,58.0,75.2,58.6,75.4,49.2,52.4,34.8,32.2,61.8,65.0,68.2,63.6,67.6,53.6,69.0,31.6,35.4,45.2,50.4,70.8,60.4,66.2,49.4,55.6,54.0,56.6,63.2,64.2,56.2,
35,52.2,62.0,76.8,60.6,72.2,50.4,52.0,41.2,36.2,60.0,65.8,71.8,66.4,69.2,54.2,67.0,34.0,36.6,46.2,51.4,71.0,61.6,64.4,52.0,54.8,48.6,58.2,64.4,72.2,54.8,
36,,59.4,,60.4,74.6,46.6,50.8,37.0,33.4,62.8,67.4,71.6,64.6,68.4,49.2,67.2,35.6,31.6,41.2,51.4,71.8,61.6,63.8,51.4,53.2,48.0,55.0,63.4,67.0,62.0,
37,52.2,64.0,,58.0,74.0,45.6,49.6,43.4,35.8,66.4,64.6,73.4,66.6,73.6,,67.2,,38.4,49.8,53.0,71.0,62.6,64.0,49.8,57.2,47.8,55.6,60.4,72.8,56.4,
38,55.8,67.4,71.4,59.6,73.0,42.6,48.6,40.6,37.2,58.2,66.8,72.4,65.2,70.2,,67.0,34.4,34.4,52.8,58.0,70.8,63.0,65.4,49.8,59.8,50.4,53.4,56.2,72.0,50.8,
39,57.0,71.4,73.0,56.8,71.2,41.0,50.6,40.4,34.8,64.4,61.2,69.8,65.0,71.4,50.2,68.6,34.4,34.2,54.0,58.2,70.0,63.0,71.2,49.2,59.0,50.2,56.4,56.8,64.0,59.0,
40,54.6,68.4,72.6,56.4,73.4,39.2,53.4,42.0,35.4,65.0,65.0,76.4,64.4,69.6,,65.2,,32.0,,57.6,70.2,62.8,68.6,50.4,53.4,51.8,60.4,61.0,59.4,62.0,
41,58.6,67.8,,56.0,67.8,36.4,51.6,43.0,34.8,69.0,67.0,67.8,63.2,64.8,52.6,65.8,,28.4,,60.6,70.0,62.4,66.4,50.6,55.0,54.6,59.2,63.0,61.6,53.6,
42,54.8,65.8,,55.4,68.2,37.8,44.4,39.2,35.0,66.2,66.6,69.8,63.4,69.0,,66.6,,32.6,48.4,60.4,69.8,62.4,64.8,48.8,52.4,52.4,54.8,64.8,58.0,62.4,
43,,67.0,74.6,55.8,66.6,42.4,45.4,43.8,34.4,70.2,59.2,70.0,62.4,68.2,,65.6,31.8,32.8,48.6,57.8,70.2,62.0,67.4,50.0,51.4,53.4,56.4,64.4,50.6,51.6,
44,,,,58.6,,,,,33.8,63.8,,,,65.8,,,,,,56.8,70.0,62.0,64.6,54.8,54.8,55.2,54.8,67.4,52.2,49.2,
45,,,,,,,,,,,,,,,,,,,,56.8,70.0,62.2,63.4,55.4,55.8,52.8,54.0,68.2,57.8,62.4,
46,,,,,,,,,,,,,,,,,,,,56.8,70.0,61.6,65.2,53.6,55.6,47.0,53.4,69.2,51.6,65.2,
47,,,,,,,,,,,,,,,,,,,,56.4,70.0,61.6,63.8,52.6,53.2,46.0,51.8,65.8,50.8,61.4,
48,,,,,,,,,,,,,,,,,,,,,69.6,,,,,44.8,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,
