week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,53.2,,,,,,,,,,
17,,,,,60.2,,,,,,71.2,,,,,,60.6,,,54.8,,72.8,78.4,,,,71.4,71.8,,
18,,,,,65.2,82.4,70.2,78.0,56.0,78.6,78.2,68.0,72.4,76.6,69.8,,67.8,71.0,67.6,56.4,68.2,73.2,81.4,72.2,73.2,72.2,71.4,78.6,75.8,73.0
19,,,,,62.8,84.0,64.0,80.0,81.0,79.0,74.0,72.6,78.0,79.2,,79.0,72.8,76.0,71.8,61.8,71.0,73.8,81.4,79.2,69.8,74.8,77.6,75.6,76.0,77.8
20,,,,,62.4,86.6,54.0,78.0,82.4,85.4,74.2,81.2,80.0,78.2,,81.2,74.2,77.8,73.0,65.2,74.8,74.0,80.0,77.4,72.0,74.4,73.2,82.0,76.2,79.4
21,,,,,70.4,89.8,69.2,80.4,85.0,83.6,73.6,81.0,78.0,77.6,,,,77.6,77.4,67.4,75.0,73.0,79.4,80.8,71.6,79.0,77.4,75.4,70.8,81.2
22,,,,,64.0,86.6,78.2,84.6,80.6,81.0,67.4,82.8,76.2,75.2,,,78.0,80.4,79.2,68.8,73.4,73.2,79.6,79.0,73.6,82.8,77.8,74.4,64.6,80.0
23,,,,,58.6,87.4,77.6,80.8,81.0,81.6,62.2,79.4,79.0,73.0,77.0,77.4,78.6,80.4,79.2,69.8,72.4,72.4,79.8,81.4,73.0,83.4,76.8,80.8,65.4,80.0
24,,,,,53.2,87.6,73.2,81.4,83.0,82.8,68.0,79.0,76.6,75.2,,78.8,77.6,79.8,79.0,70.8,72.2,72.0,77.2,78.2,73.2,81.6,76.0,74.2,65.4,81.0
25,,,,,37.8,80.8,78.4,78.2,79.4,85.6,67.4,77.4,70.6,77.0,80.2,78.4,78.0,74.0,76.4,72.2,72.4,69.4,80.8,79.0,74.8,77.0,76.6,71.8,67.6,81.4
26,,,,,48.4,87.2,78.0,76.8,79.8,80.8,63.4,78.0,62.6,77.4,,76.6,76.8,67.6,77.8,72.0,74.0,68.2,79.6,74.4,73.2,77.8,81.6,73.0,65.4,82.2
27,,,,,54.4,83.4,78.2,74.4,74.8,76.0,66.0,76.8,59.6,76.4,,70.4,74.6,56.4,70.6,72.0,73.6,67.4,77.4,72.6,74.0,73.8,82.4,69.6,72.8,80.6
28,,,63.8,,47.0,80.6,70.2,68.6,75.8,75.8,68.4,76.4,67.0,76.6,,73.8,66.4,48.6,72.6,72.0,74.6,66.8,77.4,66.4,71.2,68.4,80.8,62.8,69.8,82.2
29,,,,,51.4,80.2,61.8,58.2,76.8,75.4,66.8,77.2,64.6,72.4,,74.2,59.6,46.8,73.6,72.4,75.0,65.6,78.2,62.4,71.6,62.4,78.6,57.2,67.2,80.6
30,,,,,39.4,79.8,55.4,59.0,78.4,78.8,61.0,77.0,65.4,75.0,,72.8,55.8,45.0,74.4,72.2,74.6,65.2,78.8,64.0,74.4,57.4,78.0,58.4,77.6,79.4
31,,,,,41.4,79.8,47.8,59.4,79.0,75.0,58.0,75.2,60.8,76.2,79.0,71.2,56.4,47.6,72.8,70.0,74.2,64.0,79.6,67.2,72.6,61.8,78.8,56.4,75.8,75.2
32,,,,,39.8,84.0,40.6,52.8,77.4,77.6,48.4,73.0,65.0,78.4,78.8,70.4,60.0,54.6,72.6,69.6,73.4,63.8,81.2,66.6,73.4,59.4,75.2,59.2,75.8,77.4
33,,,,,50.0,81.8,35.2,44.6,77.2,76.6,50.0,73.8,62.4,77.4,75.8,70.4,62.2,55.4,71.8,69.6,73.4,64.4,80.8,69.2,71.4,61.0,75.6,59.0,75.8,78.4
34,,,,,41.6,85.8,39.4,48.0,76.4,78.6,47.4,74.4,64.4,79.8,78.2,72.8,66.8,54.2,71.2,69.4,73.4,64.6,78.8,70.6,71.0,58.8,75.6,45.4,75.0,76.6
35,,,,,36.6,82.0,43.6,50.4,79.2,77.2,48.0,76.2,60.8,78.6,76.0,71.2,67.8,53.6,72.8,69.6,72.6,65.4,77.8,64.0,71.4,63.6,80.4,60.4,73.4,73.0
36,,,,,37.6,81.4,50.2,48.8,79.8,76.0,49.0,75.0,56.4,75.6,77.2,71.2,66.0,55.0,70.0,68.8,71.8,65.8,80.0,69.2,71.6,64.4,75.6,62.2,74.2,76.6
37,,,,,58.2,84.0,52.4,46.0,77.2,79.6,56.0,72.8,57.6,76.0,75.0,70.2,66.0,56.2,70.8,68.4,72.0,65.8,73.6,72.0,70.6,62.4,79.8,65.4,75.6,75.2
38,,,,,63.4,85.6,49.6,50.2,76.8,76.0,56.2,72.2,61.2,76.6,73.8,68.2,67.4,57.4,70.2,68.0,71.8,65.8,72.8,67.0,71.4,58.6,78.6,65.8,75.0,70.0
39,,,,,69.6,85.8,59.0,50.8,75.8,,60.0,72.4,54.8,77.0,71.6,67.0,66.0,60.8,71.6,66.0,71.0,65.6,73.2,71.6,69.4,56.8,77.8,71.8,74.2,71.2
40,,,,,72.0,83.0,60.4,59.6,74.4,77.8,59.4,66.2,55.0,76.6,68.2,66.2,68.0,61.0,,65.2,71.0,65.6,74.2,71.4,69.2,59.6,79.6,67.4,73.8,70.4
41,,,,,72.0,82.0,65.8,59.4,77.4,75.2,61.6,71.6,59.6,73.8,69.0,65.8,67.0,59.0,,65.0,70.4,65.0,75.2,71.4,66.2,54.4,79.6,70.2,71.8,69.2
42,,,,,72.0,80.0,63.0,67.0,73.4,72.6,59.6,66.2,57.0,72.4,66.0,65.2,66.0,61.0,68.2,64.8,69.6,64.8,76.2,68.4,69.2,61.0,76.6,71.0,69.8,66.6
43,,,,,72.0,85.0,59.6,67.2,71.6,71.6,55.4,63.8,61.2,69.8,62.0,62.4,62.2,56.8,65.6,64.8,69.6,64.8,75.4,68.6,67.4,58.2,75.2,71.2,73.0,71.2
44,,,,,,,,,72.6,68.6,,,,70.2,,,,,,63.4,69.0,,68.4,64.0,67.2,59.4,73.6,71.4,74.0,62.8
