week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,64.6,,,,,,,,,,64.2
3,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,61.6,,,
4,,,,,,,,,,,,,,,,,,,,,,59.6,58.6,61.0,,,,,57.8,66.8,
5,,,,,,,,,,,,,,,,,,,,,56.6,,,,,,,,,,66.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,67.8,,,
8,,,,,,,,,,,,,,,,,,,,,,57.4,62.4,63.4,62.4,,,,64.8,64.8,
9,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,,,,,62.4
12,,,,,,,,,,,,,,,,,,,,,,,64.0,68.4,63.2,,69.6,65.8,69.8,64.0,
13,,,,,,,,,,,,,,,,,,,,,57.8,70.2,65.6,69.4,66.0,70.6,68.2,63.2,67.4,70.4,63.6
14,,,,,,,,,,,,,,,,,,,,64.0,59.2,70.0,66.2,70.8,67.2,73.2,72.8,65.8,70.8,74.0,66.4
15,,,,,,,,,,,,,,,,,,,,65.2,62.4,67.4,67.8,71.2,67.8,75.0,72.8,64.4,73.4,75.6,68.4
16,,,,,,,,,,,,,,,,,,,,68.6,65.0,66.4,67.6,72.4,70.2,75.0,73.2,65.0,72.8,76.0,
17,,,,,74.4,,,,,,75.0,,,,,72.2,72.8,,,69.4,67.8,65.6,72.8,72.8,70.4,75.4,71.4,66.6,73.2,76.2,
18,61.6,,73.6,,75.6,77.2,66.6,67.0,79.6,72.8,77.4,68.2,69.4,70.2,71.0,71.0,,73.6,72.2,70.4,70.0,66.2,72.8,73.8,72.4,74.6,69.6,66.0,75.2,76.6,
19,62.6,75.8,,,74.6,78.2,60.8,69.4,78.2,73.4,74.6,70.8,67.8,72.8,75.0,65.6,,75.0,75.4,71.2,70.6,66.6,74.0,73.0,74.4,75.4,68.2,66.6,75.8,76.6,
20,,,,,74.6,71.0,59.0,69.4,80.2,76.0,76.6,71.6,65.6,73.2,76.6,69.8,,74.8,73.8,72.6,69.6,67.8,74.8,72.8,72.8,75.8,65.6,65.6,76.8,77.2,
21,66.0,,73.6,,75.0,76.0,64.8,66.2,80.2,74.2,76.6,72.0,59.6,70.8,,70.4,,73.8,75.4,72.2,66.0,67.8,75.4,74.6,68.0,74.4,62.4,62.6,74.8,77.6,
22,,,,,68.8,75.6,65.4,58.4,80.6,73.0,77.0,72.2,54.8,74.0,77.8,75.8,,74.4,75.0,73.2,64.4,69.4,74.8,73.8,66.6,74.6,62.4,62.8,71.4,77.8,
23,,,,,57.2,74.2,68.0,58.4,79.6,72.8,78.4,69.8,53.2,66.8,,73.8,66.8,74.0,76.2,71.2,63.4,69.0,74.4,72.8,65.8,74.2,64.0,64.2,73.8,76.8,
24,,75.6,,,62.4,70.0,68.2,51.0,80.8,71.8,77.2,68.2,53.4,65.4,,73.2,66.4,74.2,77.6,70.8,62.4,68.4,75.6,71.4,71.6,74.2,64.2,61.0,73.0,72.4,
25,,,,,69.4,65.0,68.0,42.0,81.0,72.2,75.2,68.0,55.8,60.0,,68.8,64.2,72.6,77.0,69.8,61.0,65.8,78.0,69.8,73.2,74.4,61.6,51.2,75.2,60.4,
26,,,,,70.0,68.2,70.4,43.6,78.0,76.2,75.2,68.6,52.4,56.6,,59.6,59.4,66.8,76.8,69.4,58.4,66.0,77.0,68.2,70.2,74.2,59.8,47.6,74.6,52.8,
27,,69.2,70.4,64.2,68.4,68.0,73.6,43.4,79.4,78.4,76.6,72.2,49.8,52.0,70.4,53.8,65.2,61.0,77.4,67.0,57.6,65.8,76.2,68.8,69.2,74.0,58.8,56.4,75.8,48.8,
28,,61.0,68.0,60.2,74.8,68.2,69.4,42.4,79.4,76.0,75.2,71.0,47.6,58.8,68.8,53.8,62.0,61.8,75.6,66.4,57.2,67.2,75.6,65.4,72.0,76.4,59.6,60.2,75.4,49.2,
29,,63.4,60.6,55.2,72.2,66.0,71.0,40.6,80.8,77.8,73.6,68.6,51.6,53.8,64.0,53.2,60.2,63.0,76.4,65.4,57.0,66.6,72.4,64.8,69.6,71.6,54.8,64.0,69.0,57.6,
30,72.8,61.8,64.2,51.8,67.6,68.2,70.0,46.8,79.8,74.2,75.2,68.0,48.8,57.2,64.4,57.0,60.2,63.2,75.4,65.8,56.4,66.2,69.6,63.8,71.4,70.0,58.4,60.6,73.0,58.8,
31,,63.0,68.2,51.8,62.8,69.6,72.6,48.2,80.4,73.8,75.2,67.0,45.8,53.2,66.2,60.6,59.2,64.2,76.6,67.0,54.8,66.8,69.0,64.2,68.6,69.0,59.8,64.4,73.6,60.4,
32,,72.0,66.4,50.4,55.0,69.6,72.2,40.8,80.0,75.2,73.6,68.2,42.4,52.0,67.6,57.8,59.4,66.4,76.2,67.8,53.8,67.2,72.6,65.8,67.0,70.4,57.4,64.2,72.2,68.8,
33,62.8,,69.2,58.4,50.2,69.8,71.6,39.0,81.4,75.8,74.6,66.2,36.0,54.6,68.8,61.4,59.2,69.6,76.6,67.8,53.4,67.0,70.4,66.2,65.2,71.4,62.2,68.8,70.0,75.0,
34,61.4,74.6,63.6,56.2,58.0,70.0,72.4,41.2,80.0,77.0,74.4,66.6,33.0,50.8,68.4,62.8,60.4,70.0,77.0,69.8,54.0,66.8,68.0,68.8,66.8,72.4,61.8,69.8,71.6,76.0,
35,68.8,,59.2,51.8,59.0,71.4,68.2,44.4,78.8,75.6,71.0,69.4,30.8,55.4,,60.0,59.2,69.8,77.0,68.6,53.8,66.6,71.6,67.6,64.6,72.6,60.4,72.2,69.6,72.6,
36,,70.4,,53.8,62.8,73.8,75.0,48.0,79.6,75.8,68.6,69.6,29.8,58.6,70.6,57.2,61.2,71.8,76.0,68.6,53.0,63.4,71.2,67.6,61.2,71.8,64.4,72.8,69.4,67.0,
37,,,54.8,52.6,57.0,72.6,72.2,47.0,78.8,77.6,59.2,72.4,30.0,62.0,70.0,51.4,61.4,70.8,75.4,69.0,53.8,60.2,72.4,64.6,59.8,71.4,62.2,73.0,69.2,66.6,
38,,,59.4,50.2,59.8,72.6,72.2,49.0,76.4,79.4,54.2,73.0,31.8,62.6,,50.0,62.4,72.4,73.4,69.8,52.4,58.4,72.2,67.6,51.8,71.0,64.4,73.2,72.4,69.0,
39,,74.0,60.6,50.4,61.4,74.2,72.4,56.0,77.0,,55.2,73.2,30.2,62.8,,56.2,64.0,71.6,74.2,70.6,52.6,60.6,65.4,68.2,54.2,69.4,64.0,73.2,72.8,70.8,
40,,,67.0,48.4,61.4,72.8,68.6,57.0,75.0,,61.0,74.8,30.4,65.0,,55.4,62.4,73.0,,70.8,56.4,60.6,66.2,68.2,50.4,70.2,67.0,74.4,66.4,71.6,
41,,73.2,64.8,53.6,66.2,69.6,61.8,56.4,75.4,81.4,67.0,74.6,27.6,68.2,,56.6,63.0,73.6,,70.2,58.8,60.4,69.2,69.4,46.4,73.4,68.8,72.6,68.2,72.4,
42,,73.0,63.6,57.6,66.4,62.4,67.4,61.8,74.8,80.2,66.4,74.0,26.4,64.6,,55.8,64.2,74.0,73.2,70.6,59.6,59.6,69.8,69.8,42.2,76.2,64.2,69.0,66.2,73.6,
43,75.2,73.4,69.2,49.8,67.4,58.6,63.4,59.6,75.6,77.8,65.0,72.8,30.2,66.6,73.6,58.0,63.6,73.4,72.4,70.2,59.6,58.8,71.4,70.0,52.0,78.2,64.0,68.0,65.2,70.6,
44,,,68.8,50.0,,,,,74.2,78.2,,,,64.4,,,,,,69.4,61.2,57.8,72.2,70.4,54.0,76.6,63.2,66.6,60.4,65.8,
45,,,,,,,,,,,,,,,,,,,,68.4,62.2,56.0,71.2,67.6,52.8,77.2,61.0,69.0,56.0,64.2,
46,,,,,,,,,,,,,,,,,,,,67.2,63.0,55.2,70.4,65.4,52.0,77.6,59.8,69.6,54.2,65.4,
47,,,,,,,,,,,,,,,,,,,,66.2,63.0,54.4,70.4,64.4,54.4,77.2,60.2,69.8,58.0,67.4,
48,,,,,,,,,,,,,,,,,,,,66.4,62.6,,,,57.8,77.6,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,62.4,62.8,,
