week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,69.6,,,,,,57.0,,,,,71.2,68.6,,,,,74.6,71.6,,,,37.8,51.0,,
18,70.6,67.6,64.4,66.4,73.6,68.2,70.8,62.8,53.8,56.2,60.6,72.0,64.8,52.0,64.0,70.0,70.8,74.8,61.8,68.6,69.4,75.0,71.8,58.6,68.2,74.4,37.4,53.0,64.0,71.4
19,73.2,67.4,66.8,67.0,77.2,71.6,70.4,62.4,60.4,54.2,64.8,73.0,67.4,52.6,65.4,,73.8,74.2,60.4,70.2,70.0,74.6,69.6,57.6,68.8,74.2,37.0,62.0,68.4,73.2
20,75.0,70.0,65.8,65.4,76.0,71.6,71.0,62.2,65.8,54.2,67.2,68.6,70.4,49.4,67.4,,76.6,76.0,64.4,70.0,73.0,72.8,69.2,59.2,70.2,75.4,39.2,64.6,72.2,74.6
21,77.8,74.0,63.4,62.4,77.4,73.0,67.6,59.8,69.6,55.4,70.8,70.0,75.0,49.6,67.8,77.6,78.4,77.2,71.0,74.2,74.6,74.2,63.8,58.6,72.0,74.8,41.2,69.8,74.2,73.8
22,78.0,,61.4,59.4,79.0,73.6,68.0,56.4,71.0,57.6,71.0,65.8,74.6,48.8,69.8,,78.8,75.2,77.0,76.8,76.2,74.0,57.6,61.4,73.0,74.8,39.4,73.4,74.8,76.4
23,81.4,,54.6,57.4,80.0,73.0,74.2,55.0,72.2,57.8,74.2,65.2,78.6,52.8,70.2,,,74.6,80.2,78.6,76.6,74.0,48.8,63.6,72.2,72.6,44.6,75.8,73.8,74.8
24,,75.4,49.8,58.0,82.2,73.8,75.6,55.8,73.6,57.4,76.8,60.6,79.6,57.8,73.0,,,73.4,82.4,79.8,77.4,73.0,48.2,66.0,72.2,70.8,42.4,79.0,70.0,72.2
25,77.8,76.4,48.0,65.8,82.0,74.8,75.6,56.0,75.2,60.0,78.4,58.0,80.0,61.2,72.6,,82.0,71.6,81.6,80.6,78.0,69.4,44.8,67.8,72.4,67.4,42.0,76.2,70.6,73.4
26,79.8,75.8,49.2,66.8,80.4,71.8,76.0,50.2,76.4,59.4,80.8,58.6,79.4,61.6,75.2,,,68.2,84.8,81.8,78.2,68.4,43.8,69.6,74.0,65.8,35.0,77.8,70.6,76.4
27,78.6,75.0,55.2,67.0,79.8,74.6,74.4,45.8,73.6,58.0,79.0,50.6,77.2,59.6,75.0,,81.8,65.8,85.2,81.8,78.4,68.6,40.4,73.2,72.6,68.8,38.8,78.0,72.6,78.0
28,81.0,74.4,57.2,69.6,79.4,72.4,73.6,44.4,73.0,62.2,78.2,43.6,77.0,56.8,76.4,,,61.2,83.6,82.2,79.0,69.6,38.4,74.4,73.6,68.4,37.6,80.8,71.4,78.0
29,80.8,74.6,58.2,66.8,80.0,73.8,72.8,46.8,72.4,58.6,76.2,43.8,74.0,56.0,,,82.2,57.0,82.4,81.2,79.0,68.8,37.2,76.2,75.8,68.8,32.4,79.8,71.6,75.2
30,79.4,73.0,59.8,63.6,77.6,73.0,74.0,46.6,66.0,60.8,75.4,39.4,71.8,52.0,,,,55.8,81.6,81.4,77.2,68.4,36.2,73.4,76.4,69.0,35.4,77.4,66.2,72.6
31,79.2,71.6,58.2,61.2,73.6,71.0,72.6,45.8,61.4,56.8,73.0,38.6,69.2,51.8,,,81.6,53.2,78.6,81.2,74.8,68.4,36.2,69.0,72.6,68.4,35.6,76.0,65.2,72.4
32,78.0,70.6,59.2,60.6,73.2,67.4,71.4,45.2,61.8,58.2,71.4,41.6,68.8,50.4,74.0,,81.4,53.6,77.4,80.0,73.6,68.0,39.6,64.6,74.8,66.2,30.8,74.2,64.0,72.8
33,,67.0,57.8,59.8,74.0,68.0,69.6,46.6,54.6,57.2,72.0,40.4,68.4,51.4,74.0,,78.6,54.0,77.2,80.0,72.0,68.0,42.2,63.0,74.0,64.8,32.6,71.4,64.8,73.2
34,76.4,67.8,54.2,59.4,75.0,64.2,68.4,45.2,52.4,53.4,72.4,43.6,69.4,50.8,74.6,,79.2,49.8,71.4,80.4,71.4,67.2,44.2,59.0,71.0,61.8,31.2,72.0,65.6,70.4
35,76.2,61.6,,60.2,75.0,63.6,62.4,46.2,49.8,54.2,72.0,44.4,68.0,49.2,72.0,,77.8,50.8,70.8,80.6,70.4,66.6,44.0,60.2,73.8,61.4,35.6,69.4,65.8,69.0
