week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,66.26666666666667,60.0,60.8,59.5,,75.2,,,,
14,,,,,,,,,,,,,,,,,,,,52.46666666666667,67.5,70.2,72.5,71.8,64.8,77.33333333333333,77.9,,,,64.2
15,,,,,,,,,,,,,,,,,,,,59.08,68.7,69.86666666666666,67.4,67.2,71.8,80.2,75.93333333333334,76.7,,,61.7
16,,,,,,,,,,,,,,,,,,,,62.04,67.9,69.93333333333334,67.2,70.6,74.6,80.60000000000001,78.86666666666666,76.9,74.4,76.4,
17,,,,,65.0,,,,,,69.64444444444445,,,,,70.4,69.28,,,66.24,69.0,66.73333333333333,76.75,69.5,73.30000000000001,78.35,71.33333333333333,73.51111111111112,70.53333333333333,73.9,
18,65.4,69.19999999999999,64.66666666666667,80.0,68.64444444444445,72.42222222222222,67.02222222222223,74.71111111111111,67.91111111111111,73.48888888888888,70.57777777777778,65.91111111111111,68.46666666666667,72.91111111111111,68.0,68.8,73.6,74.15555555555555,70.02222222222223,63.48888888888889,68.6,68.46666666666667,76.93333333333334,73.46666666666667,70.4,71.13333333333334,71.4,76.08888888888889,75.93333333333334,71.28888888888889,
19,66.8,62.3,65.95,81.8,66.11111111111111,76.51111111111112,63.91111111111112,76.0,75.51111111111112,76.19999999999999,72.35555555555555,72.35555555555555,73.26666666666667,75.35555555555555,73.26666666666667,74.1,75.84,76.11111111111111,74.57777777777778,70.04444444444444,69.13333333333334,69.66666666666667,76.88888888888889,78.42222222222222,69.4,68.62222222222222,72.75555555555555,79.55555555555556,79.42222222222222,73.86666666666666,
20,73.6,,66.9,,68.66666666666667,80.66666666666667,59.46666666666667,77.13333333333334,78.80000000000001,81.04444444444444,73.46666666666667,75.66666666666667,76.86666666666666,75.84444444444445,73.39999999999999,74.96000000000001,75.9,78.19999999999999,77.24444444444445,72.95555555555556,71.33333333333333,70.33333333333333,78.26666666666667,78.11111111111111,71.6,73.33333333333333,71.66666666666667,80.3111111111111,79.15555555555555,77.26666666666667,
21,,,64.60000000000001,83.4,69.91111111111111,81.82222222222222,64.75555555555555,76.82222222222222,80.51111111111112,81.84444444444445,75.22222222222223,77.08888888888889,76.33333333333333,76.3111111111111,76.26666666666667,74.85,77.26666666666667,77.6,78.15555555555555,76.44444444444444,71.75555555555556,71.88888888888889,78.75555555555555,79.08888888888889,71.88888888888889,77.04444444444444,70.26666666666667,79.6888888888889,73.3111111111111,79.6888888888889,
22,81.2,,69.86666666666666,77.6,67.48888888888888,81.66666666666667,71.77777777777777,79.06666666666666,80.64444444444445,80.51111111111112,75.66666666666667,77.08888888888889,76.48888888888888,76.04444444444444,80.9,72.64,76.1,78.71111111111111,78.19999999999999,76.4,72.06666666666666,73.24444444444445,77.4,77.84444444444445,73.91111111111111,77.51111111111112,72.19999999999999,78.42222222222222,73.02222222222223,79.06666666666666,
