week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,68.7,,,,,,,,,,49.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,38.7,,,
4,,,,,,,,,,,,,,,,,,,,,,68.2,58.6,56.8,,,,,58.2,57.199999999999996,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,39.9,,,
8,,,,,,,,,,,,,,,,,,,,,,69.2,55.2,59.8,64.69999999999999,,,,55.8,54.1,
9,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,51.3
12,,,,,,,,,,,,,,,,,,,,,,,58.6,60.4,64.2,,44.5,40.2,58.6,56.8,
13,,,,,,,,,,,,,,,,,,,,,63.8,62.900000000000006,65.4,53.7,63.0,64.4,43.900000000000006,38.0,56.900000000000006,59.3,45.599999999999994
14,,,,,,,,,,,,,,,,,,,,63.4,63.8,65.26666666666667,66.1,55.4,63.7,71.0,43.5,35.0,55.1,60.5,45.0
15,,,,,,,,,,,,,,,,,,,,63.5,65.0,63.3,67.2,56.900000000000006,64.7,70.5,46.099999999999994,38.8,59.1,60.4,43.2
16,,,,,,,,,,,,,,,,,,,,64.8,65.19999999999999,64.3,67.5,60.0,69.1,72.1,46.8,35.0,58.400000000000006,61.9,
17,,,,,73.5,,,,,,54.0,,,,,70.1,70.25,,,66.5,65.69999999999999,71.3,68.73333333333333,63.699999999999996,70.2,73.0,46.1,42.15,58.2,59.3,
18,67.5,67.69999999999999,68.75,71.60000000000001,75.3,68.15,63.35,56.75,56.1,53.2,57.15,71.25,67.7,59.7,64.5,68.0,71.46666666666667,71.15,50.75,68.65,64.7,72.4,70.8,64.0,70.45,73.2,46.75,44.75,59.75,66.9,
19,71.0,67.9,68.46666666666665,69.8,79.35,70.85,62.5,57.050000000000004,61.949999999999996,50.5,61.0,72.15,68.8,60.550000000000004,67.30000000000001,72.9,74.8,70.35,51.4,70.3,65.5,72.9,70.2,64.85,71.9,73.3,45.75,49.75,62.550000000000004,70.25,
20,74.5,70.86666666666667,67.45,60.6,78.55,69.9,61.2,56.45,64.5,50.75,65.1,68.3,70.75,60.9,70.4,70.8,76.66666666666667,67.5,54.25,71.2,67.25,73.25,71.0,67.25,73.8,73.55,48.7,52.65,65.15,71.3,
21,76.0,75.5,66.66666666666667,64.8,79.7,68.55,60.25,54.9,67.1,50.4,68.35,68.45,73.25,62.55,72.13333333333333,75.4,79.66666666666667,69.7,61.2,73.05,69.6,74.25,67.75,68.15,73.55,75.2,49.6,55.9,66.75,72.35,
22,78.0,78.6,65.6,60.86666666666667,81.35,69.75,59.05,53.8,68.3,53.6,70.05,65.35,74.85,65.3,71.33333333333333,78.6,78.4,66.3,66.45,74.8,71.7,74.15,63.55,69.8,75.1,74.7,48.15,59.6,68.5,73.45,
23,81.4,,61.900000000000006,65.6,82.45,65.95,63.75,51.9,69.25,53.95,75.2,64.2,76.05,68.0,71.8,78.6,79.2,65.3,69.1,75.9,73.0,72.35,60.65,71.7,75.5,73.4,49.6,62.949999999999996,68.15,73.2,
24,83.4,75.4,59.5,61.06666666666666,84.5,67.65,64.89999999999999,51.5,69.7,54.5,76.6,60.95,76.85,70.35,73.1,79.6,,63.1,70.55,76.45,73.80000000000001,71.45,59.45,71.75,76.95,70.95,46.0,65.5,67.85,70.5,
25,77.8,79.7,66.93333333333334,69.15,83.45,67.25,65.05,49.5,69.8,55.2,76.25,59.4,75.95,72.2,73.2,79.6,82.3,60.25,72.65,77.8,74.0,69.30000000000001,57.949999999999996,72.1,75.95,68.95,44.5,65.45,67.89999999999999,70.7,
26,79.8,75.8,67.0,68.13333333333333,82.5,65.85,63.5,47.650000000000006,70.2,56.0,77.8,56.099999999999994,75.4,73.05,73.9,,81.8,56.25,71.65,78.3,73.65,67.7,54.35,73.5,75.65,67.35,41.85,67.2,70.69999999999999,72.1,
27,78.6,75.8,68.0,66.46666666666667,80.3,64.64999999999999,62.35,44.45,68.0,55.4,75.95,53.55,72.4,72.35,73.39999999999999,81.8,82.1,53.7,72.2,77.85,73.3,66.8,50.6,73.75,76.1,67.25,42.0,66.4,72.4,70.3,
28,81.0,74.1,71.8,71.75,79.75,62.7,63.099999999999994,42.2,68.35,56.150000000000006,74.3,49.95,70.6,70.6,72.39999999999999,79.4,81.6,50.5,71.1,77.6,73.45,66.35,47.8,72.5,77.0,65.55,39.1,65.0,70.6,67.5,
29,80.8,70.6,66.7,70.5,77.7,62.55,63.15,42.2,65.5,57.45,72.65,47.65,68.2,68.45,70.5,79.69999999999999,81.4,47.15,70.55,76.85,72.9,65.3,47.3,72.65,77.6,65.7,37.15,63.1,70.25,63.95,
30,79.7,69.5,69.39999999999999,64.13333333333334,75.95,60.2,63.900000000000006,42.25,61.75,55.55,71.8,43.75,65.65,67.4,69.2,79.2,79.0,45.5,70.05,76.05,71.85,64.15,46.45,70.55,76.8,64.4,36.45,62.800000000000004,69.2,61.9,
31,79.2,69.19999999999999,64.7,63.73333333333334,73.95,57.85,62.45,41.15,59.0,54.75,69.94999999999999,42.6,64.45,64.55,66.6,73.6,80.8,43.95,68.95,74.95,70.89999999999999,63.6,45.35,68.9,74.85,62.95,36.5,60.5,68.5,60.55,
32,77.5,67.9,64.30000000000001,68.75,73.85,56.349999999999994,60.95,41.65,56.349999999999994,54.4,67.65,42.6,64.25,64.55,70.73333333333333,75.2,80.06666666666668,43.2,68.75,74.1,69.94999999999999,62.95,47.25,66.25,75.15,61.4,35.2,57.95,69.45,60.45,
33,76.2,67.1,70.93333333333334,69.15,71.55,55.35,57.8,42.55,52.85,52.95,66.95,43.15,64.1,63.6,70.06666666666666,73.6,77.53333333333333,43.2,69.3,73.9,69.25,62.35,47.9,64.6,76.0,58.8,35.1,57.550000000000004,66.9,58.7,
34,77.30000000000001,65.86666666666666,64.1,66.45,70.7,52.2,55.55,41.75,51.5,51.25,67.6,43.85,64.30000000000001,62.699999999999996,70.8,71.30000000000001,75.0,40.699999999999996,65.75,74.6,69.1,61.650000000000006,48.45,63.3,73.9,55.45,35.1,56.800000000000004,67.25,58.5,
35,77.0,62.333333333333336,73.9,67.15,71.85,51.35,52.85,43.400000000000006,47.75,51.35,65.75,44.6,63.6,63.3,70.15,69.9,74.1,40.35,65.15,75.4,68.45,61.199999999999996,47.5,62.25,73.4,53.4,37.3,55.900000000000006,67.55,56.35,
36,76.06666666666666,61.26666666666667,76.2,64.75,72.4,49.85,51.7,42.55,46.2,48.85,64.6,42.9,63.25,63.05,69.75,70.4,72.3,39.95,64.2,75.45,68.05,61.5,46.25,62.35,73.0,52.0,36.35,54.0,65.1,55.15,
37,74.13333333333334,63.0,75.53333333333333,64.6,73.30000000000001,47.4,52.25,43.3,46.65,50.85,63.849999999999994,45.6,62.25,63.75,68.05,70.7,72.1,38.4,64.10000000000001,75.8,67.65,61.6,46.4,60.9,73.15,51.1,34.75,53.4,65.75,51.4,
