week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,68.7,,,,,,,,,,49.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,38.7,,,
4,,,,,,,,,,,,,,,,,,,,,,68.2,58.6,56.8,,,,,58.2,57.199999999999996,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,39.9,,,
8,,,,,,,,,,,,,,,,,,,,,,69.2,55.2,59.8,64.69999999999999,,,,55.8,54.1,
9,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,51.3
12,,,,,,,,,,,,,,,,,,,,,,,58.6,60.4,64.2,,44.5,40.2,58.6,56.8,
13,,,,,,,,,,,,,,,,,,,,,63.8,62.900000000000006,65.4,53.7,63.0,64.4,43.900000000000006,38.0,56.900000000000006,59.3,45.599999999999994
14,,,,,,,,,,,,,,,,,,,,63.4,63.8,65.26666666666667,66.1,55.4,63.7,71.0,43.5,35.0,55.1,60.5,45.0
15,,,,,,,,,,,,,,,,,,,,63.5,65.0,63.3,67.2,56.900000000000006,64.7,70.5,46.099999999999994,38.8,59.1,60.4,43.2
16,,,,,,,,,,,,,,,,,,,,64.8,65.19999999999999,64.3,67.5,60.0,69.1,72.1,46.8,35.0,58.400000000000006,61.9,
17,,,,,74.44,,,,,,57.4,,,,,70.1,70.25,,,66.5,65.69999999999999,72.2,68.73333333333333,63.699999999999996,70.2,73.0,49.56,41.160000000000004,58.2,59.3,
18,67.5,63.86666666666667,68.75,71.60000000000001,75.88,65.8,63.92,57.64,56.160000000000004,54.2,59.2,71.28,68.08,62.120000000000005,64.5,68.0,71.46666666666667,71.28,48.96,66.36,64.64000000000001,73.32000000000001,72.12,64.64,71.64,73.32000000000001,50.72,44.44,56.160000000000004,68.32000000000001,
19,71.0,65.46666666666667,69.3,70.55,79.52000000000001,67.28,63.839999999999996,57.879999999999995,61.36,51.52,62.720000000000006,71.44,69.56,63.0,67.30000000000001,72.9,74.8,71.08,49.4,68.16,65.6,74.0,71.12,65.4,72.8,73.72,49.8,50.0,59.2,70.6,
20,74.5,70.3,67.4,65.26666666666667,79.32000000000001,66.67999999999999,63.0,57.239999999999995,63.279999999999994,51.44,66.03999999999999,67.52000000000001,70.8,63.36,70.4,70.8,76.66666666666667,67.88000000000001,52.04,68.76,67.56,74.52,72.12,67.67999999999999,74.4,74.08,52.04,53.04,61.48,71.24,
21,76.0,73.06666666666666,66.35,64.8,80.03999999999999,65.47999999999999,62.160000000000004,55.160000000000004,66.28,51.2,68.0,66.92,73.12,65.12,72.13333333333333,75.4,79.66666666666667,69.28,57.760000000000005,70.24,69.64,75.6,69.84,68.44,74.28,75.6,53.8,55.48,64.04,72.64,
22,78.0,74.5,67.6,60.86666666666667,81.52000000000001,67.11999999999999,61.839999999999996,54.0,67.2,53.92,70.75999999999999,63.760000000000005,74.67999999999999,67.35999999999999,71.33333333333333,78.6,78.4,66.28,62.4,71.75999999999999,71.6,75.52000000000001,66.36,69.88,75.8,74.92,52.279999999999994,59.32000000000001,66.8,73.76,
23,81.4,,65.2,67.28,82.47999999999999,62.6,66.03999999999999,52.48,68.96000000000001,53.67999999999999,74.84,61.56,76.4,69.64,71.8,78.6,79.2,64.84,65.64,73.0,72.91999999999999,73.88,63.959999999999994,71.8,76.47999999999999,73.8,52.52,62.92,65.92,73.24,
24,83.4,74.30000000000001,59.5,61.06666666666666,84.4,63.04,66.84,52.279999999999994,69.08,54.4,76.28,59.839999999999996,76.84,71.6,73.1,79.6,,62.239999999999995,67.16,73.72,74.12,72.96000000000001,62.64,71.72,77.56,71.12,49.480000000000004,64.4,65.72,70.8,
25,77.8,79.7,67.75,70.36,83.28,62.760000000000005,66.52000000000001,49.6,69.8,55.720000000000006,76.12,57.92,75.92,73.03999999999999,73.2,79.6,82.3,58.760000000000005,69.36,75.12,74.52000000000001,71.08000000000001,60.48,72.47999999999999,77.24,69.72,48.4,63.36,66.16,71.76,
26,79.8,75.8,67.85,70.55,82.28,61.32000000000001,64.8,46.440000000000005,70.12,56.44,77.16,54.839999999999996,75.32000000000001,73.92,73.9,,81.8,54.720000000000006,68.47999999999999,75.96,74.32000000000001,69.76,57.2,74.03999999999999,76.6,68.03999999999999,46.08,63.120000000000005,69.08,72.67999999999999,
27,78.6,74.93333333333334,68.53333333333333,68.5,80.44,60.839999999999996,63.239999999999995,43.96,68.16,56.36,75.56,52.56,72.32000000000001,73.4,75.1,81.8,82.1,52.08,68.8,75.64,73.92,68.8,53.32000000000001,74.12,76.84,67.72,46.160000000000004,63.0,71.64,71.4,
28,81.0,74.1,70.84,72.55999999999999,79.44000000000001,58.44,64.03999999999999,41.08,68.16,57.160000000000004,73.56,48.96,70.76,71.72,74.2,79.4,81.6,48.28,67.84,75.8,73.96000000000001,68.44,50.44,73.08,77.44,65.56,43.8,61.839999999999996,70.6,69.2,
29,78.3,70.6,66.13333333333334,71.76,77.56,57.92,63.48,40.519999999999996,65.08,58.720000000000006,71.64,46.36,68.36,70.12,73.06666666666666,79.69999999999999,80.26666666666667,45.64,67.2,75.12,73.32000000000001,67.35999999999999,49.12,73.44,77.88,65.2,42.0,60.4,70.6,65.6,
30,76.26666666666667,69.5,66.25,67.0,75.28,56.4,64.24,39.96,60.96,56.92,70.36,43.08,66.0,68.72,71.73333333333333,79.2,77.7,43.160000000000004,66.44,74.44,72.36,66.36,48.6,71.36,77.03999999999999,65.32000000000001,40.839999999999996,59.0,69.32000000000001,63.04,
31,72.80000000000001,70.73333333333333,61.73333333333333,66.85,73.6,54.52,62.44,38.72,57.96,56.6,67.75999999999999,41.96,65.24,66.44,70.06666666666666,73.6,79.0,41.519999999999996,66.16,73.28,71.52,65.88,47.519999999999996,70.47999999999999,75.6,64.44,40.68,57.0,68.96000000000001,61.32000000000001,
32,72.8,67.9,60.13333333333333,70.32000000000001,73.67999999999999,52.64,60.720000000000006,39.12,55.36,56.0,66.28,42.0,65.44,66.03999999999999,72.05,76.8,79.15,40.56,66.36,72.67999999999999,70.64,65.16,49.92,68.28,75.76,62.6,39.96,53.96,70.16,61.160000000000004,
33,70.80000000000001,67.1,67.55,70.36,72.28,51.239999999999995,58.2,39.839999999999996,51.67999999999999,54.08,65.88,42.92,64.96000000000001,65.56,71.4,75.46666666666667,76.95,40.4,66.84,72.32000000000001,70.08000000000001,64.47999999999999,50.32,66.96000000000001,76.64,60.48,39.64,52.84000000000001,68.0,60.0,
34,72.86666666666667,65.86666666666666,62.0,68.0,70.44,48.56,56.44,39.519999999999996,49.519999999999996,52.52,66.64,43.36,65.48,64.11999999999999,72.1,73.73333333333333,74.88,38.08,63.92,73.08,69.96000000000001,63.720000000000006,50.760000000000005,65.72,74.88,56.4,39.36,52.56,66.96,59.279999999999994,
