week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
13,,,,,,,,,,,,,,,,,,,,,,73.6,67.1,59.7,,,58.8,48.900000000000006,56.3,,,
14,,,,,,,,,,,,,,,,,,,,60.4,62.7,72.5,67.1,61.4,65.5,65.6,54.2,52.2,54.3,69.69999999999999,69.4,67.19999999999999
15,,,,,,,,,,,,,,,,,,,,62.0,63.1,73.8,70.69999999999999,62.9,68.2,69.1,51.1,51.0,54.2,71.4,67.4,67.80000000000001
16,,,,,,,,,,,,,,,,,,,,62.2,63.4,73.4,72.6,66.4,70.9,68.8,50.099999999999994,52.8,54.5,72.30000000000001,68.3,
17,,,,,66.8,,,,,,66.1,,,,,68.8,68.5,,,66.4,64.19999999999999,73.0,73.19999999999999,70.5,70.9,69.0,46.900000000000006,55.3,54.0,72.4,70.7,
18,,,,,65.6,73.2,64.9,63.400000000000006,67.30000000000001,69.5,66.0,79.5,76.2,64.4,68.5,69.8,69.2,72.3,68.6,66.0,64.1,73.30000000000001,81.1,70.3,73.1,66.0,46.599999999999994,57.5,55.9,71.6,72.3,
19,,,,,68.6,72.0,66.4,59.9,68.5,67.0,68.1,77.30000000000001,76.19999999999999,67.2,69.19999999999999,72.80000000000001,73.5,72.3,67.9,66.1,62.099999999999994,74.6,78.7,74.5,71.1,62.3,43.5,60.8,59.0,70.6,71.7,
20,,,,,69.1,70.8,63.5,60.6,68.8,60.400000000000006,70.7,77.0,75.7,66.0,75.4,77.4,74.4,73.69999999999999,67.5,66.1,64.2,74.9,79.0,73.4,72.30000000000001,63.6,42.7,61.599999999999994,62.099999999999994,69.1,73.4,
21,,,,,68.80000000000001,73.3,62.1,62.400000000000006,71.4,64.4,71.2,77.80000000000001,72.9,67.0,73.2,,,73.69999999999999,67.6,66.30000000000001,64.5,74.1,76.0,73.1,75.6,63.900000000000006,40.400000000000006,65.3,65.2,69.5,70.4,
22,,,,,66.1,72.1,60.5,59.5,72.69999999999999,67.7,70.8,77.0,73.6,66.1,72.8,77.0,,74.6,66.5,66.4,64.80000000000001,72.8,80.0,73.4,73.9,64.8,35.7,66.9,67.1,68.2,71.0,
23,,,,,68.4,74.5,60.6,59.900000000000006,70.30000000000001,63.5,71.5,73.9,71.0,67.1,70.2,,75.8,74.3,63.900000000000006,65.4,65.5,71.9,81.1,72.1,73.19999999999999,64.3,39.099999999999994,69.7,67.2,69.3,68.1,
24,,,,,63.9,73.9,60.4,59.3,69.6,65.5,71.80000000000001,74.8,68.6,69.4,69.5,,76.6,76.2,64.6,65.3,64.6,70.4,82.80000000000001,71.30000000000001,73.1,61.7,40.3,70.4,66.80000000000001,69.2,67.1,
25,74.0,,,,63.4,70.0,58.400000000000006,58.8,68.6,67.7,71.4,74.1,68.3,67.6,71.6,78.4,76.2,74.2,65.0,64.7,63.8,68.5,77.4,71.6,72.4,63.900000000000006,37.5,72.0,67.1,70.4,66.6,
26,,,,,65.1,71.6,57.099999999999994,58.0,66.3,65.5,71.5,72.8,67.30000000000001,65.7,74.6,77.6,74.0,75.5,66.1,65.0,61.3,68.1,75.1,67.7,67.2,62.3,35.1,72.8,65.80000000000001,69.2,61.9,
27,71.8,,,,63.6,68.0,54.2,57.1,65.3,63.8,69.2,70.6,63.2,62.2,67.6,76.6,72.4,76.8,64.7,62.3,57.6,67.7,71.9,66.0,66.3,60.6,34.7,74.1,62.8,64.2,59.3,
28,66.2,,,69.0,63.0,67.0,53.5,55.2,63.6,64.9,68.8,72.5,61.400000000000006,59.099999999999994,64.69999999999999,72.0,72.2,75.1,65.1,63.2,57.0,66.2,70.9,64.69999999999999,65.4,58.099999999999994,30.7,71.80000000000001,61.5,56.7,58.2,
29,69.6,,,68.0,61.1,68.4,53.900000000000006,57.2,61.0,63.5,65.6,66.9,60.199999999999996,60.7,64.4,71.5,69.2,73.80000000000001,61.4,60.9,54.9,65.4,64.1,59.3,63.8,54.8,29.400000000000002,69.4,59.5,52.0,55.5,
30,68.8,,72.0,71.4,56.599999999999994,63.1,53.0,54.900000000000006,58.6,66.2,61.400000000000006,64.8,59.4,55.900000000000006,64.6,69.7,71.9,70.7,58.099999999999994,59.2,54.0,63.199999999999996,62.8,51.6,63.900000000000006,52.4,28.6,67.0,58.400000000000006,50.9,54.9,
31,64.8,,70.4,61.0,56.3,58.599999999999994,53.5,50.3,59.0,64.7,63.5,62.5,58.9,57.0,59.0,65.2,70.30000000000001,70.30000000000001,57.800000000000004,57.900000000000006,52.4,62.099999999999994,61.1,51.0,58.4,50.2,28.4,65.9,56.6,50.0,53.7,
32,64.2,,74.30000000000001,74.4,54.0,57.6,50.4,51.1,56.7,63.9,63.5,62.3,56.5,52.099999999999994,55.4,63.8,66.3,66.8,54.8,56.900000000000006,51.3,60.7,57.2,47.7,57.0,49.5,27.6,64.3,55.599999999999994,47.5,52.3,
33,66.2,71.0,69.5,71.8,56.0,60.0,47.1,48.7,55.599999999999994,63.400000000000006,63.1,60.1,51.5,52.2,54.2,63.4,66.9,63.599999999999994,56.3,56.2,48.900000000000006,57.2,57.7,45.4,55.2,48.5,28.9,62.7,53.5,46.900000000000006,52.7,
34,,66.4,74.4,67.9,56.8,56.7,44.4,49.7,54.6,62.1,59.5,60.5,51.2,52.3,,57.4,67.6,64.30000000000001,55.7,55.9,45.400000000000006,56.0,51.9,43.6,53.9,45.900000000000006,28.799999999999997,61.2,52.5,46.5,51.3,
35,,,65.3,63.9,54.7,59.3,44.8,47.9,53.7,64.0,57.099999999999994,57.2,52.6,51.2,58.599999999999994,58.7,60.1,60.7,53.7,55.7,42.8,55.599999999999994,45.8,42.5,55.1,44.8,27.3,59.900000000000006,50.7,46.5,49.2,
36,,56.0,71.5,72.4,55.0,58.7,44.8,49.900000000000006,55.900000000000006,66.30000000000001,55.8,55.0,56.1,52.7,53.900000000000006,59.599999999999994,62.699999999999996,60.3,56.099999999999994,54.8,42.8,54.6,42.0,41.2,54.3,43.3,26.8,58.2,51.6,48.099999999999994,49.7,
