week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
13,,,,,,,,,,,,,,,,,,,,,,71.75,68.12,67.06666666666666,,,71.47999999999999,69.24,68.26666666666667,,,
14,,,,,,,,,,,,,,,,,,,,63.05,65.25,70.6,69.67999999999999,64.72,64.03999999999999,70.47999999999999,73.4,68.8,71.5,70.84,67.72,66.56
15,,,,,,,,,,,,,,,,,,,,65.4,69.4,69.96000000000001,71.12,64.64,65.56,72.44000000000001,73.84,70.96000000000001,73.4,70.84,69.0,67.67999999999999
16,,,,,,,,,,,,,,,,,,,,66.28,71.96000000000001,69.8,73.3,65.56,67.56,73.03999999999999,74.8,71.96000000000001,72.96000000000001,72.4,72.64000000000001,
17,,,,,76.33333333333333,,,,,,75.2,,,,,74.60000000000001,72.0,,,67.93333333333334,73.16666666666667,72.26666666666667,75.16666666666667,66.88,69.64,73.44,76.10000000000001,73.83333333333333,72.52000000000001,74.0,72.64,
18,69.26666666666667,63.166666666666664,68.35,77.2,76.63333333333334,69.3,67.86666666666666,77.66666666666667,75.0,77.0,74.86666666666666,72.89999999999999,67.2,70.76666666666667,73.64,74.26666666666667,73.46666666666665,73.43333333333334,71.73333333333333,69.83333333333333,74.03333333333333,73.33333333333333,76.36666666666666,69.2,70.03333333333333,74.63333333333333,75.43333333333332,74.10000000000001,72.5,76.76666666666667,74.63333333333334,
19,74.9,67.23333333333333,69.2,,75.3,70.73333333333333,66.53333333333333,78.7,76.2,77.10000000000001,73.46666666666667,74.13333333333334,67.36666666666667,72.3,73.1,75.55,74.0,72.8,73.8,70.23333333333333,74.53333333333333,73.63333333333334,77.0,69.8,71.4,74.73333333333333,75.83333333333333,75.86666666666666,72.96666666666665,78.2,75.39999999999999,
20,,68.56666666666668,68.83333333333333,78.8,74.76666666666667,68.5,65.63333333333334,78.39999999999999,77.7,78.03333333333333,74.83333333333333,73.89999999999999,66.96666666666667,72.86666666666666,76.26666666666667,75.26666666666667,74.33333333333333,72.10000000000001,74.86666666666666,71.76666666666667,74.13333333333334,74.46666666666667,77.06666666666666,71.43333333333334,72.5,73.36666666666666,74.26666666666667,75.96666666666667,72.03333333333333,78.73333333333333,75.26666666666667,
21,78.6,69.24,69.44,,73.63333333333334,70.33333333333333,68.7,78.53333333333333,79.0,79.0,71.73333333333333,72.86666666666666,64.26666666666667,73.53333333333333,76.85,76.45,73.0,68.83333333333333,76.93333333333334,72.10000000000001,74.76666666666667,74.5,77.43333333333334,71.86666666666666,73.66666666666667,72.76666666666667,75.7,75.83333333333333,70.36666666666666,79.7,75.56666666666666,
22,77.5,71.95,71.68,,71.36666666666666,71.36666666666666,70.93333333333334,77.43333333333334,79.0,78.39999999999999,70.2,73.13333333333334,61.43333333333334,74.73333333333333,76.4,77.6,72.93333333333334,67.60000000000001,76.89999999999999,72.5,75.06666666666668,74.89999999999999,77.60000000000001,71.3,72.93333333333334,73.60000000000001,75.23333333333333,77.03333333333335,66.7,79.8,76.06666666666666,
23,76.46666666666667,72.15,72.2,78.1,67.10000000000001,70.03333333333333,72.46666666666667,76.60000000000001,79.10000000000001,79.13333333333333,69.76666666666667,73.3,59.73333333333333,75.06666666666666,74.33333333333333,77.33333333333333,70.53333333333333,65.56666666666666,78.26666666666667,72.96666666666667,75.46666666666667,74.2,75.66666666666667,71.73333333333333,74.43333333333334,74.46666666666667,76.16666666666667,76.66666666666667,63.26666666666667,79.3,76.53333333333333,
24,75.2,73.05,73.8,79.0,66.63333333333334,70.36666666666666,72.43333333333334,77.06666666666666,79.03333333333333,79.13333333333334,68.8,71.06666666666666,54.9,76.06666666666666,77.2,78.0,73.7,62.199999999999996,78.56666666666666,73.76666666666667,75.39999999999999,72.46666666666667,76.16666666666667,70.83333333333333,74.3,74.0,75.0,75.0,62.4,77.03333333333333,76.63333333333334,
