week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,
17,,,,,80.4,,,,,,74.6,,,,,77.2,70.6,,,69.6,74.2,79.8,78.4,,,,76.6,76.2,,
18,,66.8,67.8,,79.2,77.0,77.8,76.8,75.8,77.0,76.2,76.0,73.4,73.2,74.0,,68.8,75.4,74.0,70.8,75.6,79.8,78.6,73.4,65.6,74.8,77.0,78.0,77.6,80.2
19,78.0,66.2,68.4,,76.2,77.2,75.8,77.2,76.4,76.6,76.4,76.8,74.4,73.6,74.0,77.6,71.2,75.6,74.8,71.2,76.8,79.8,78.8,74.6,67.2,75.4,77.0,79.8,77.6,81.4
20,,66.2,69.2,,73.4,76.0,77.4,74.8,77.2,77.8,76.8,76.4,74.0,73.8,74.4,,69.2,76.6,75.6,71.2,77.0,79.8,78.2,74.2,68.8,73.4,75.8,78.4,77.0,81.8
21,78.6,69.0,72.2,,75.6,77.2,76.6,75.8,78.0,79.2,76.2,76.4,70.0,75.2,,77.8,70.4,75.2,76.4,72.6,77.0,79.2,77.4,74.4,70.6,71.2,78.2,78.8,75.4,81.8
22,,70.4,72.2,,73.8,75.8,77.0,75.8,78.0,77.6,76.0,76.4,67.4,74.6,75.0,,69.0,73.0,76.2,73.6,76.2,78.6,77.4,73.6,68.6,74.4,74.0,78.4,72.4,81.0
23,77.4,70.4,71.2,78.8,67.0,76.6,75.8,73.2,77.4,78.0,74.8,76.0,65.6,74.2,75.2,77.2,70.8,73.0,77.8,74.2,76.0,76.2,76.6,75.4,69.8,76.4,76.0,78.2,71.0,79.4
24,,69.8,72.2,78.0,65.6,75.8,76.2,74.2,76.8,76.2,75.6,76.0,57.8,75.0,,77.4,71.2,65.8,76.2,74.6,75.6,75.0,77.2,75.2,69.4,75.6,77.4,78.2,72.6,76.8
25,75.0,69.6,73.4,76.0,60.6,75.4,76.4,75.0,75.8,74.8,71.2,75.2,53.4,76.8,76.2,,71.6,61.4,77.2,74.2,75.2,75.4,77.4,74.0,66.8,74.4,74.2,76.4,68.8,72.6
