week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,60.4,,,,,,,,,,62.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,56.0,,,
4,,,,,,,,,,,,,,,,,,,,,,66.6,56.0,50.8,,,,,45.6,61.6,
5,,,,,,,,,,,,,,,,,,,,,60.2,,,,,,,,,,61.4
7,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,48.2,,,
8,,,,,,,,,,,,,,,,,,,,,,64.8,56.4,51.0,66.4,,52.2,50.8,43.8,61.6,59.8
9,,,,,,,,,,,,,,,,,,,,,57.6,63.8,56.4,51.6,64.0,65.6,54.2,55.8,43.4,60.6,59.8
10,,,,,,,,,,,,,,,,,,,,,58.8,64.8,56.6,53.8,61.8,66.4,58.0,58.4,42.0,62.2,61.0
11,,,,,,,,,,,,,,,,,,,,,58.6,64.8,56.8,51.6,64.0,70.2,58.8,57.2,43.4,62.6,59.8
12,,,,,,,,,,,,,,,,,,,,,58.8,64.8,57.0,54.2,66.6,70.6,56.2,56.4,44.6,64.6,52.6
13,,,,,,,,,,,,,,,,,,,,50.0,59.8,64.6,58.0,55.0,67.0,71.4,59.4,57.0,43.0,63.4,57.6
14,,,,,,,,,,,,,,,,,,,,50.0,60.2,64.0,59.2,54.0,69.8,70.6,62.6,63.8,41.8,64.0,62.0
15,,,,,,,,,,,,,,,,,,,,50.0,61.0,65.6,59.6,56.2,71.4,70.0,62.2,59.2,44.4,64.6,63.6
16,,,,,,,,,,,,,,,,,,,,49.2,63.4,66.2,61.6,56.2,70.4,72.8,61.8,55.6,44.4,64.2,
17,,,,,73.4,,,,,,66.6,,,,,71.6,50.0,,,53.6,65.8,67.0,71.2,57.6,73.2,73.8,67.2,54.4,44.6,64.6,
18,,,,,73.2,76.6,66.6,63.6,67.4,70.6,65.2,51.0,70.8,69.4,63.2,72.0,51.2,71.2,53.4,53.4,68.2,68.2,71.2,60.2,73.0,70.4,67.2,59.8,47.2,69.0,
19,,,,,75.6,76.8,66.8,67.8,66.6,71.6,65.4,54.8,74.0,70.0,68.6,72.2,50.2,70.4,54.2,52.0,70.0,69.0,71.8,62.0,71.0,67.8,65.6,57.8,52.2,68.8,
20,,56.4,,,76.2,76.6,69.8,68.6,68.2,71.8,64.2,55.2,76.6,71.4,70.6,73.4,53.8,70.2,56.0,51.6,71.2,69.8,73.4,65.6,76.0,68.6,66.6,54.6,55.6,70.8,
21,,56.4,,,76.4,74.6,72.6,67.4,69.2,68.0,64.6,52.8,79.4,72.2,73.6,74.4,56.8,68.4,56.4,52.0,72.2,70.2,74.0,66.4,78.4,70.8,70.6,56.4,65.6,71.0,
22,,58.6,,67.2,76.2,73.8,74.6,69.8,70.4,67.6,62.4,54.2,79.0,72.2,74.6,73.2,56.6,67.0,57.6,52.8,72.4,70.8,75.2,66.4,76.6,68.2,73.8,58.6,68.4,70.2,
23,,63.6,,65.8,78.8,74.8,74.2,71.0,70.4,63.8,65.4,50.2,78.2,72.2,75.2,71.8,54.0,67.4,61.0,56.0,73.6,71.2,75.6,65.0,78.0,65.6,76.0,66.0,69.6,69.6,
24,75.0,67.6,,65.6,79.0,75.0,74.2,71.4,72.6,62.6,68.4,51.2,79.0,74.6,75.2,72.8,53.0,65.4,60.8,58.4,73.8,71.2,75.2,63.2,78.2,62.0,73.8,65.2,69.2,69.6,
25,,69.0,,66.0,79.2,78.2,72.2,71.4,75.0,66.4,65.8,48.4,81.0,73.2,74.0,70.2,48.0,64.6,64.2,59.4,74.4,71.8,72.4,64.0,75.8,62.6,71.0,62.6,67.4,69.0,
26,,66.6,,,80.2,81.6,71.8,70.2,77.6,70.8,64.0,46.8,82.6,73.6,71.6,71.2,,61.4,64.8,62.6,74.2,71.8,70.8,65.8,76.4,64.4,75.6,64.6,72.2,66.4,
27,,63.6,,,79.8,81.4,68.4,74.4,77.4,74.6,67.8,43.2,81.6,72.4,68.6,74.2,,54.4,61.4,63.2,73.8,71.4,70.2,66.4,78.4,62.0,74.6,58.6,74.0,69.0,
28,,68.2,,,77.8,78.6,62.0,74.0,73.2,78.8,67.0,44.6,82.2,70.6,64.8,74.8,,53.4,60.6,63.4,74.2,71.2,69.8,63.8,77.4,62.4,76.2,56.6,73.2,67.6,
29,,68.8,,52.6,78.8,77.6,57.4,72.2,70.0,79.6,65.8,41.0,83.0,70.8,63.4,74.4,,48.0,60.4,64.8,74.0,70.6,68.4,60.8,76.6,59.4,74.8,50.8,73.0,68.6,
30,,68.6,73.2,,69.6,77.2,54.0,71.2,63.8,77.0,63.2,38.6,83.0,68.2,62.8,73.2,,44.0,64.0,65.0,74.2,70.2,67.2,58.0,73.4,65.4,75.0,52.0,69.0,67.0,
31,,70.4,,,69.8,74.6,48.6,70.4,59.4,78.2,59.8,36.2,82.2,62.4,64.0,69.2,,38.0,67.0,66.2,73.6,69.8,67.2,60.0,70.4,65.4,72.8,48.4,66.4,65.0,
32,,73.0,,49.4,67.4,72.4,44.6,69.2,58.0,78.2,60.2,36.0,79.6,62.8,65.6,63.8,,36.4,68.4,67.4,72.8,69.2,71.0,61.6,70.4,64.4,71.4,42.8,64.8,68.8,
33,,,,,65.4,64.6,45.8,72.0,56.6,79.4,61.8,33.8,77.0,63.4,66.8,61.2,,35.0,70.6,67.6,71.0,68.2,73.8,64.0,68.8,64.0,70.2,40.8,64.8,66.0,
34,,,72.8,,62.6,56.6,44.8,68.4,54.2,81.2,63.4,36.0,77.8,67.6,67.2,60.8,,36.6,70.0,66.8,71.0,68.2,73.8,65.0,67.4,56.4,68.2,42.0,62.2,63.0,
35,65.6,,,,60.8,52.8,46.6,68.2,54.0,79.8,64.8,38.8,77.2,69.4,68.2,59.8,,36.0,68.0,64.8,70.0,68.6,72.8,65.8,70.8,59.4,68.2,42.4,58.0,61.6,
36,65.2,,71.4,,63.0,48.2,47.0,66.8,57.2,80.2,64.6,41.2,77.0,70.0,67.8,59.2,,36.6,65.2,65.4,68.6,68.8,72.6,64.8,69.8,60.4,65.2,41.6,56.4,57.8,
37,68.0,,69.4,,65.0,46.0,52.4,66.6,59.0,78.6,65.4,42.2,77.6,71.4,67.2,61.2,,37.8,63.2,64.6,68.2,68.2,67.0,63.8,69.4,62.6,62.2,41.8,53.4,56.8,
38,70.6,,69.4,,63.8,42.4,55.4,69.0,61.8,74.2,65.6,43.4,75.8,72.2,69.0,62.6,,38.0,62.6,64.8,67.2,67.8,66.4,65.4,70.0,66.6,61.4,40.2,56.6,57.8,
39,72.6,,70.2,,65.4,40.4,56.0,65.2,62.6,72.0,63.4,43.4,76.0,71.6,70.0,62.8,,37.0,62.8,64.8,67.0,68.0,67.0,67.2,72.0,60.2,60.8,39.8,57.2,57.4,
40,73.8,,69.8,,63.8,40.6,55.4,64.4,63.6,69.2,64.2,42.0,76.6,70.6,70.0,61.8,,39.0,,63.8,66.6,67.4,68.2,68.6,71.2,60.0,58.8,36.6,61.4,56.0,
41,72.2,,68.8,,63.2,41.4,56.0,64.8,63.6,69.0,64.6,41.0,75.4,71.6,70.4,61.6,,41.0,,63.8,65.2,67.2,68.4,67.8,70.4,55.8,60.2,36.8,56.6,52.6,
42,72.0,,69.0,,61.6,43.8,55.2,67.8,63.8,70.4,63.6,44.2,75.0,71.0,70.8,60.2,,40.0,62.6,64.2,63.6,67.2,68.8,67.6,68.4,57.2,61.8,37.0,54.0,49.2,
43,69.4,,66.4,,60.6,46.8,55.2,66.8,62.0,72.4,64.4,44.8,73.8,70.0,70.0,60.8,,40.6,63.0,63.8,63.4,66.4,68.2,71.4,70.8,57.0,64.2,36.4,58.8,46.8,
44,69.2,,67.0,62.2,,,,,59.6,73.4,,,,69.0,,,,,,63.8,64.0,66.2,66.0,67.6,68.0,57.0,60.8,36.2,58.4,46.2,
45,,,,,,,,,,,,,,,,,,,,63.6,64.6,66.0,66.6,65.8,67.2,56.2,61.4,36.0,56.0,45.0,
