week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
11,,,,,,,,,,,,,,,,,,,,,,,53.8,56.2,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,65.8,52.0,61.4,,66.4,,,,
13,,,,,,,,,,,,,,,,,,,,,59.0,74.4,65.8,57.4,60.4,,61.8,43.2,50.6,70.4,
14,,,,,,,,,,,,,,,,,,,,60.4,61.6,72.0,65.0,57.8,65.0,63.0,60.0,47.8,51.4,70.8,69.2
15,,,,,,,,,,,,,,,,,,,,62.0,62.6,72.6,71.6,58.8,67.4,67.8,56.0,51.4,55.0,73.4,64.2
16,,,,,,,,,,,,,,,,,,,,62.2,63.4,69.4,73.0,61.0,71.6,66.8,53.4,55.2,56.0,73.2,
17,,,,,70.2,,,,,,69.2,,,,,,69.8,,,63.2,62.8,69.6,71.8,66.4,71.8,65.8,49.2,56.0,54.8,75.6,
18,,,,,67.8,78.0,69.8,61.4,68.2,69.6,71.0,80.6,76.0,66.0,72.0,,71.2,69.8,66.2,62.6,62.0,68.4,82.6,66.6,76.6,61.4,48.4,58.4,58.0,74.8,
19,,,,,73.0,77.4,67.2,59.4,68.2,67.2,74.0,77.4,75.8,67.4,72.8,76.4,73.8,70.8,66.8,63.2,60.4,70.0,78.2,70.8,72.4,58.8,44.8,60.4,61.0,73.2,
20,,,,,72.8,75.8,63.4,61.0,67.8,66.2,75.2,76.6,75.2,68.2,75.4,77.4,74.4,72.8,64.8,64.0,62.4,72.4,77.2,70.2,75.2,59.8,43.4,58.6,63.8,71.4,
21,,,,,73.4,79.0,65.0,63.6,68.4,71.2,76.2,78.4,72.2,69.8,73.2,,,73.8,65.4,64.2,63.0,71.2,71.0,72.0,80.4,58.6,43.2,63.0,66.8,71.4,
22,,,,,70.6,77.2,61.8,57.0,67.8,71.4,76.0,78.6,71.8,68.4,72.8,77.0,,76.0,64.0,64.0,64.2,69.0,77.4,69.6,81.2,60.0,37.8,64.0,69.6,69.4,
23,,,,,72.8,80.6,62.2,57.2,68.4,69.6,79.2,75.8,67.8,70.4,72.0,,75.8,73.6,62.6,63.4,63.8,67.6,79.8,68.6,76.8,59.6,41.4,67.2,69.0,70.8,
24,,,,,72.8,79.8,60.4,57.2,65.6,70.8,77.2,77.6,66.2,71.2,72.0,,76.6,76.0,63.4,63.0,63.0,64.4,81.4,67.4,78.6,58.2,42.4,69.2,67.2,71.0,
25,,,,,66.0,76.8,58.2,55.2,69.2,73.0,77.8,75.0,63.6,71.6,76.8,78.4,76.2,73.0,62.6,63.0,62.0,63.0,75.6,66.8,78.8,61.4,39.8,70.8,65.8,74.8,
26,,,,,71.2,78.8,58.8,55.4,66.0,70.8,78.6,73.0,62.2,69.4,74.6,77.6,74.0,73.4,65.2,63.6,60.2,61.4,73.8,62.0,71.0,57.0,38.2,71.8,65.2,73.4,
27,,,,,70.2,73.0,55.6,52.6,64.8,70.8,77.0,71.6,56.6,65.8,71.8,76.6,72.4,74.0,62.4,59.0,58.0,60.6,71.4,58.0,70.2,54.8,38.2,73.0,62.6,66.4,
28,,,,,71.6,72.4,56.0,50.4,64.2,69.8,74.6,68.6,53.6,62.4,68.6,72.0,72.2,71.0,63.6,61.6,54.8,58.6,69.2,60.8,67.0,50.6,35.4,68.4,63.2,57.2,
29,,,,,69.0,75.8,57.6,54.2,63.8,67.4,70.8,61.8,51.8,59.0,64.4,71.8,69.2,70.2,57.8,58.8,52.0,57.4,65.4,56.2,66.8,48.0,33.2,64.8,61.6,51.2,
30,,,,,61.8,66.0,54.8,54.6,60.2,69.4,66.2,61.6,51.8,56.2,64.6,68.0,67.8,68.0,52.4,56.8,51.4,56.8,64.6,44.0,66.2,44.4,32.6,62.2,60.6,51.8,
31,,,,,63.4,61.8,57.8,46.8,61.0,67.0,63.4,57.6,52.2,54.0,59.0,65.2,65.2,65.4,49.2,55.2,50.0,55.4,59.0,46.6,58.8,43.4,31.6,59.8,60.2,52.0,
32,,,79.4,74.4,59.8,63.0,54.8,48.6,55.6,66.8,62.4,57.8,47.2,51.4,55.4,63.8,64.0,63.8,52.4,54.2,48.2,54.0,60.4,42.4,54.6,43.8,29.6,57.4,61.4,46.0,
33,,71.0,74.8,71.8,58.8,64.6,49.2,45.0,53.4,66.4,68.2,56.6,45.4,47.2,54.2,63.4,65.6,62.6,51.6,53.4,45.2,50.4,58.8,40.0,55.0,42.6,30.2,56.0,59.0,43.6,
34,,66.4,74.4,79.0,62.6,59.6,46.8,45.6,52.6,65.4,65.8,55.8,45.6,50.8,,,62.4,64.4,50.4,52.4,44.6,49.0,57.0,36.6,50.8,41.6,30.2,54.2,59.4,42.6,
35,,,68.2,75.6,58.6,64.0,46.6,43.0,50.4,66.2,56.8,49.2,43.2,49.0,56.8,54.8,57.0,56.4,47.4,52.0,43.4,47.8,50.2,36.8,55.6,39.8,27.8,53.6,55.4,44.4,
36,,56.0,73.6,72.4,60.8,61.6,47.6,44.6,55.2,65.4,58.8,50.8,48.0,47.8,53.6,56.8,55.8,57.0,51.4,51.6,43.4,47.0,42.6,36.4,55.2,37.2,29.0,50.4,55.0,46.4,
37,,57.0,74.4,,60.0,58.6,46.6,45.2,52.8,64.4,56.0,44.8,46.8,46.6,,58.2,52.2,51.2,52.4,50.4,42.8,46.4,52.2,32.6,47.2,36.6,29.4,48.0,54.6,41.6,
38,,58.4,74.8,72.0,59.6,58.2,41.4,47.4,48.2,64.4,55.4,47.6,47.2,47.0,,62.0,57.4,53.0,52.2,49.8,42.8,46.0,47.4,32.0,59.8,35.0,29.6,47.6,50.4,41.6,
39,,58.4,72.0,68.4,58.0,59.8,43.6,42.0,53.6,64.0,47.2,50.0,51.4,46.8,,59.2,52.8,52.8,53.6,50.4,42.0,46.4,47.6,34.4,62.0,35.6,31.2,47.0,47.8,42.8,
40,,,68.6,64.4,53.2,62.6,47.8,39.8,48.8,63.0,48.6,47.2,48.2,48.0,,65.0,57.6,45.4,,51.0,41.8,47.6,47.0,36.4,62.2,33.6,31.6,46.4,49.4,45.4,
41,,,,67.0,51.8,60.6,45.0,40.8,44.8,63.6,51.6,45.4,51.0,52.4,,59.4,61.6,45.8,,51.4,42.2,48.8,55.2,34.4,59.0,36.0,33.0,46.4,49.4,46.6,
42,,61.4,,67.8,51.8,61.8,49.0,39.2,45.6,62.0,56.6,49.4,56.8,53.0,,61.6,62.0,48.8,59.8,52.6,42.2,50.8,55.0,32.0,61.2,35.0,35.0,48.0,49.4,48.4,
43,,,,70.8,51.8,62.4,45.4,39.6,47.4,61.2,53.2,49.6,59.8,50.2,,66.2,63.0,53.6,61.4,55.6,42.8,54.4,54.4,38.0,58.8,36.4,36.4,50.8,48.0,49.2,
44,,,,68.6,,,,,50.2,59.6,,,,54.6,,,,,,57.2,43.6,56.8,55.8,46.6,58.4,34.8,38.8,51.4,50.0,47.8,
45,,,,,,,,,,,,,,,,,,,,58.8,43.8,59.8,64.0,40.6,55.2,37.6,44.4,50.0,48.6,52.2,
46,,,,,,,,,,,,,,,,,,,,58.8,47.2,61.8,56.8,40.4,52.4,41.4,45.4,49.2,51.4,53.8,
47,,,,,,,,,,,,,,,,,,,,59.2,49.2,61.4,62.2,40.6,51.6,41.6,43.8,47.4,48.6,53.8,
48,,,,,,,,,,,,,,,,,,,,,49.6,,,,,42.6,,,,,
