week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,,,,,,,,,,,,,,,,,,,,,,60.8,60.0,60.4,54.0,,,,,
14,,,,,,,,,,,,,,,,,,,,55.8,,66.2,66.8,69.0,62.8,,,,,
15,,,,,,,,,,,,,,,,,,,,57.4,,63.8,67.4,67.0,73.6,,,,,
16,,,,,,,,,,,,,,,,,,,,59.8,,63.8,67.2,67.6,77.2,,,,,
17,,,,,69.4,,,,,,72.8,,,,,72.0,68.8,,,60.0,,67.0,73.2,65.2,78.2,75.2,78.6,77.2,,
18,69.0,71.8,59.4,77.6,69.0,72.2,71.4,74.8,71.8,76.6,73.2,58.2,72.2,73.4,74.2,74.8,72.6,70.6,74.0,63.0,74.8,70.2,83.2,73.4,80.8,78.0,75.2,79.4,73.6,80.0
19,,,63.4,80.6,70.2,72.6,67.0,78.2,75.4,80.0,69.0,63.4,74.0,77.4,77.4,76.6,74.6,73.4,74.8,66.8,77.4,71.8,81.4,79.2,76.4,79.0,75.4,74.4,75.2,78.6
20,73.6,,,,67.2,73.2,56.0,78.8,79.4,79.4,72.8,70.6,75.4,74.4,80.4,78.0,75.2,74.6,75.2,71.8,75.6,74.6,78.6,80.8,78.4,76.6,73.6,78.6,70.4,83.4
21,,,61.8,,69.0,74.6,62.2,76.6,78.8,79.6,70.4,68.2,68.4,75.6,79.2,78.4,77.0,71.2,78.4,73.8,75.4,74.8,79.4,81.6,80.6,78.4,75.4,79.2,59.0,79.4
22,,,68.4,,62.4,68.8,67.2,77.8,80.0,74.4,73.0,70.4,67.4,75.8,80.8,76.6,76.6,75.0,74.0,74.2,72.8,74.8,79.2,81.2,82.8,77.4,77.8,73.8,52.0,82.6
23,,,68.4,69.0,59.2,77.2,71.2,77.2,78.8,75.0,73.2,73.8,66.4,75.0,78.4,79.2,74.6,74.6,78.4,75.0,73.8,76.4,79.6,80.6,77.8,76.4,76.8,74.2,51.6,80.0
24,,74.8,69.2,69.2,56.4,76.0,66.4,76.8,82.0,74.8,73.8,65.8,59.6,75.4,78.4,77.2,74.0,71.4,77.8,78.0,73.6,73.8,78.0,80.2,77.0,75.8,76.8,73.6,51.0,76.4
25,73.6,75.4,71.0,,51.0,77.2,66.2,74.4,77.6,78.4,62.6,69.4,57.2,72.6,80.0,72.2,74.2,71.2,71.6,77.8,77.2,70.8,77.0,78.4,76.6,75.8,75.4,67.6,56.8,74.8
26,,77.4,,70.4,47.6,76.4,67.0,69.2,81.4,77.6,52.6,72.6,49.2,74.2,78.8,63.2,68.8,57.4,72.0,76.8,76.0,69.0,72.0,79.6,78.6,66.0,75.6,73.0,56.6,74.0
27,,,,72.2,45.6,71.6,69.4,64.8,73.2,75.0,55.2,77.6,48.0,72.8,76.6,55.8,61.0,56.8,74.2,74.6,76.0,67.4,72.6,73.6,78.0,62.0,72.8,68.0,55.4,74.0
28,72.0,74.0,55.6,70.2,36.0,70.6,65.0,58.2,72.0,71.0,51.0,71.2,47.0,71.8,72.6,55.2,51.0,49.2,80.0,73.4,74.6,62.2,72.8,66.8,74.0,61.6,80.6,63.8,68.8,70.6
29,72.2,75.0,,69.4,33.4,72.2,53.4,45.8,70.0,75.4,57.8,71.0,44.0,69.0,71.2,51.6,,47.2,74.4,72.8,75.0,58.4,74.2,72.6,73.2,58.0,79.4,65.4,66.6,68.6
30,71.8,75.6,,65.8,30.0,70.2,52.6,49.2,70.8,73.4,53.8,74.2,47.8,67.8,72.4,53.8,43.8,52.6,69.6,70.4,73.6,56.2,73.6,81.4,75.0,61.0,78.0,63.2,71.2,71.2
31,59.8,,,58.6,30.2,72.8,43.4,40.4,74.6,77.2,47.2,68.6,37.6,66.0,72.2,54.6,42.2,50.0,72.8,70.2,69.6,56.2,75.8,79.2,73.0,58.4,74.0,60.8,72.2,65.6
32,59.6,,,54.6,27.8,76.4,39.0,40.8,72.0,76.8,40.8,59.4,46.4,68.8,74.4,56.8,48.4,59.4,71.8,70.8,66.0,55.2,75.0,78.6,69.4,55.0,71.8,58.0,76.4,66.6
33,,75.0,,53.2,34.6,73.6,39.8,35.0,76.6,75.8,43.0,61.4,49.0,66.2,73.2,56.6,54.2,60.2,76.6,72.2,63.0,56.2,75.0,78.6,70.6,53.2,73.0,54.2,72.2,66.0
34,43.4,74.4,,,38.0,72.8,37.8,31.8,74.6,77.4,41.8,56.2,51.2,64.6,74.4,59.8,52.8,62.8,71.6,72.4,61.6,55.4,74.6,74.0,69.2,51.0,74.6,51.2,69.4,63.0
35,,74.0,,53.0,43.4,71.6,39.2,33.2,71.6,73.4,45.2,60.6,58.0,58.8,70.8,58.6,55.2,57.8,68.4,71.6,60.6,53.8,74.6,77.0,68.6,53.6,75.6,52.6,72.6,66.0
36,,69.2,,50.4,49.8,72.6,39.8,38.0,78.0,72.0,41.4,61.8,56.6,52.6,73.6,48.8,59.0,59.6,69.2,70.6,56.6,53.8,75.0,78.4,69.8,53.2,74.0,52.2,72.2,69.8
37,,72.0,60.8,,48.4,71.8,40.2,32.2,74.4,76.6,40.6,64.0,55.2,53.8,75.8,48.8,63.6,59.4,65.0,71.0,54.6,53.4,75.0,78.6,69.8,47.8,75.4,61.6,74.2,68.0
38,,,61.2,,57.0,71.4,43.2,35.4,72.8,71.6,39.2,68.8,51.6,51.0,75.6,44.8,63.0,59.6,66.4,69.6,55.2,53.4,71.2,76.8,65.4,50.0,74.2,65.2,73.4,70.4
39,,,65.4,48.8,54.8,67.8,43.2,38.2,78.8,76.4,39.2,69.0,48.6,51.4,70.6,51.8,69.4,66.4,65.8,65.6,54.8,54.8,64.0,73.4,62.2,48.0,75.4,67.6,72.2,72.0
