week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,
17,,,,,80.4,,,,,,57.8,,,,,76.0,72.0,,,,,76.4,,,,,52.2,45.6,,
18,,67.8,69.2,79.0,82.6,74.0,70.2,66.2,55.2,52.0,56.6,72.2,68.8,68.8,,,73.2,77.0,45.6,69.8,57.0,77.4,67.8,62.8,73.6,74.4,51.4,47.6,53.4,73.0
19,68.8,68.4,69.8,77.8,83.0,77.4,74.8,67.2,59.4,50.0,61.4,72.4,70.6,70.4,,78.6,75.4,77.2,46.0,70.8,58.2,77.2,64.8,64.6,77.4,74.2,49.4,50.8,58.4,77.8
20,74.0,72.2,70.2,,83.0,78.0,72.6,67.6,62.0,52.0,67.0,68.8,72.8,69.8,73.4,,75.8,76.0,49.0,72.8,61.8,77.8,65.0,66.8,78.0,75.0,51.4,50.6,60.6,77.8
21,74.2,77.0,73.2,,83.2,78.0,74.2,63.0,65.4,53.0,69.4,65.4,73.0,72.2,77.0,,78.2,77.0,59.6,73.8,65.6,78.0,63.4,68.8,74.8,76.0,54.8,51.0,61.2,76.0
22,,78.6,,,87.0,78.8,75.4,59.0,65.6,57.2,70.0,63.8,77.8,73.6,73.6,,78.0,73.8,67.4,75.8,68.8,77.0,55.4,67.4,77.2,75.2,48.8,55.8,64.6,77.4
23,,,,77.4,87.6,75.8,77.6,54.4,67.6,59.6,77.0,59.0,78.4,77.8,72.8,,79.2,74.0,71.2,77.4,71.6,73.6,52.4,66.2,76.8,75.2,48.0,61.4,62.4,75.8
24,83.4,,,,87.2,75.6,77.8,47.6,68.0,62.2,80.0,57.0,78.0,78.8,,,,70.4,72.4,78.8,72.4,73.2,50.8,66.6,80.2,74.6,45.4,61.2,58.0,71.4
25,,83.0,81.2,80.6,86.8,76.8,79.2,44.2,67.6,62.0,78.2,57.2,77.8,80.8,75.2,,82.6,67.2,76.4,81.4,73.2,70.2,48.4,70.0,79.8,73.0,42.4,65.0,59.8,75.0
26,,,81.0,,85.4,76.6,77.4,42.2,70.4,63.0,79.4,52.8,77.2,82.0,,,81.8,61.6,75.0,81.6,73.4,67.8,46.2,70.8,80.4,68.4,42.2,65.0,62.0,77.8
27,,,80.8,,84.2,73.6,75.6,41.2,68.2,65.4,77.8,52.2,75.6,82.0,76.6,,82.4,58.6,77.4,81.2,73.6,66.4,44.8,70.6,82.6,68.2,43.0,63.6,67.2,75.6
28,,,76.8,82.6,85.2,73.8,74.2,40.6,70.8,61.6,74.2,49.2,71.2,79.4,73.6,,81.6,53.0,77.4,81.2,73.2,65.0,41.2,68.8,80.8,67.4,39.2,62.4,66.6,71.8
29,,,75.2,82.4,84.0,73.0,74.8,37.2,68.2,66.0,72.6,44.4,70.6,79.0,75.8,80.6,80.6,47.8,76.4,79.0,73.0,64.0,39.0,71.8,80.6,67.6,41.0,58.4,69.8,66.4
30,80.0,,76.2,,82.2,69.6,74.2,36.6,66.4,61.8,72.0,39.6,65.8,79.8,75.0,79.2,79.0,45.2,75.6,76.6,72.2,62.4,39.8,69.0,80.4,64.6,36.2,57.6,67.4,69.8
31,,,,,80.4,69.0,72.4,35.0,62.0,62.8,69.6,38.8,63.6,78.2,72.8,,80.0,42.4,75.2,74.6,71.6,61.6,41.6,67.8,81.2,65.8,36.6,54.4,66.8,68.6
32,77.0,,,78.4,79.8,65.6,70.8,38.8,59.4,61.6,65.2,38.8,64.0,77.2,75.8,78.2,80.4,41.6,74.0,73.8,70.8,61.4,43.0,66.4,80.4,66.6,38.4,52.0,70.4,71.2
33,76.2,75.4,78.6,78.6,74.4,65.8,66.6,41.4,56.0,59.6,64.2,41.8,64.6,77.0,77.6,76.2,78.0,43.2,75.0,73.4,70.4,61.4,44.4,63.2,80.0,65.8,36.2,51.2,65.6,65.6
34,,70.8,,76.8,72.4,63.0,65.0,41.6,55.8,55.6,65.8,43.6,67.4,75.8,75.2,73.4,76.6,38.4,72.6,74.0,70.8,60.6,45.2,64.6,79.6,61.4,34.6,48.2,68.6,65.8
35,76.4,67.6,77.4,77.6,74.8,63.0,63.8,45.2,50.8,56.2,62.4,47.4,69.2,74.6,76.0,72.2,75.4,38.8,69.8,74.6,71.2,60.4,46.2,61.6,80.8,58.6,38.0,45.6,65.6,62.0
36,74.0,67.4,80.0,77.2,76.4,60.6,58.6,43.2,48.8,52.4,61.8,46.0,70.0,73.4,76.6,70.8,73.8,37.6,68.0,74.6,70.4,61.4,48.0,63.0,80.6,57.8,37.2,48.0,62.0,58.2
37,73.6,71.0,79.8,74.6,78.0,59.0,59.0,44.4,48.8,55.8,61.8,49.8,68.8,73.8,74.0,72.4,73.6,38.8,66.4,75.0,69.8,61.4,45.2,60.8,78.6,60.4,36.2,47.4,64.6,55.2
38,,,78.8,72.8,78.4,57.4,60.0,46.0,48.8,58.6,61.6,51.8,68.8,70.8,73.4,73.6,71.4,36.2,65.8,75.0,69.6,61.2,45.6,60.4,78.0,59.2,35.0,45.2,68.6,55.0
39,74.2,73.8,76.6,71.6,77.4,56.8,62.8,47.4,48.0,57.0,63.4,54.4,69.2,73.2,73.6,72.4,70.6,36.2,65.4,75.0,69.0,61.0,46.2,62.6,79.8,57.2,37.4,45.0,69.2,52.2
40,,74.4,77.6,70.6,78.0,58.2,62.0,45.8,47.4,59.8,63.8,53.4,65.2,71.4,72.4,74.6,72.8,36.2,,74.6,69.2,61.0,48.0,61.8,78.6,55.0,32.8,49.8,68.2,47.6
41,76.2,75.6,75.4,75.6,78.2,56.8,61.4,46.2,47.6,57.0,64.2,55.2,67.0,69.8,72.4,70.8,70.4,34.4,,74.2,68.8,60.4,47.2,64.4,79.6,55.6,36.0,43.6,73.2,50.4
42,,,77.2,74.2,77.8,52.0,64.6,44.4,48.0,59.0,64.4,53.0,67.8,72.0,74.0,71.8,71.6,35.4,70.2,73.6,68.2,60.2,48.4,64.2,79.0,54.0,37.0,43.6,70.6,50.4
43,74.0,,,,75.4,56.0,63.8,45.2,46.8,58.6,63.6,52.6,68.4,72.8,73.4,72.4,68.6,33.6,69.8,73.0,68.2,60.4,49.6,62.6,79.6,55.0,43.0,44.4,68.8,46.4
44,71.2,,75.8,79.0,,,,,47.2,59.8,,,,70.6,,,,,,72.4,68.2,60.0,48.6,63.8,77.8,55.4,41.6,41.4,71.0,46.4
45,,,,,,,,,,,,,,,,,,,,71.8,68.2,59.8,48.2,64.8,77.6,54.2,42.4,39.8,70.2,48.2
46,,,,,,,,,,,,,,,,,,,,70.4,68.2,59.4,49.0,67.8,80.0,53.8,43.2,42.8,67.6,48.6
47,,,,,,,,,,,,,,,,,,,,70.0,68.2,59.2,46.8,65.2,80.0,54.0,43.6,,,47.4
48,,,,,,,,,,,,,,,,,,,,70.2,67.8,,,,78.2,53.2,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,78.8,,,,,
