week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,78.6,63.8,70.6,75.6,,74.0,79.2,73.2,74.0,
14,,,,,,,,,,,,,,,,,,,,68.2,72.0,78.8,66.6,72.6,75.2,75.6,74.8,79.4,72.0,73.4,68.6
15,,,,,,,,,,,,,,,,,,,,70.4,70.8,78.4,65.8,73.4,73.8,75.8,75.2,81.2,72.8,76.8,70.8
16,,,,,,,,,,,,,,,,,,,,72.6,71.2,76.6,66.0,78.8,77.2,73.4,73.2,79.2,73.4,77.2,
17,,,,,69.2,,,,,,77.2,,,,,68.0,,,,72.4,72.4,75.0,74.2,80.0,76.2,77.4,67.4,77.0,75.8,76.6,
18,,,76.8,,72.8,73.4,67.2,73.4,80.4,63.6,75.8,68.0,58.8,66.2,,,73.2,62.4,75.0,72.0,72.6,75.0,75.0,78.6,74.2,79.6,67.2,77.6,74.8,75.0,
19,,77.2,,,75.2,69.2,60.0,76.0,81.2,66.2,76.4,69.6,62.2,69.8,,64.4,73.0,65.6,76.0,70.2,72.2,74.2,71.8,70.2,78.2,80.2,72.6,69.8,75.2,73.8,
20,,71.6,,,74.0,61.2,53.2,75.0,81.0,66.8,75.4,68.4,56.6,68.8,,,69.6,68.0,74.8,71.4,71.6,74.6,70.8,75.4,77.2,74.4,67.8,63.8,75.8,76.6,
21,,68.8,71.4,,67.8,55.4,53.2,73.6,82.8,64.4,77.2,64.2,54.0,69.0,,,65.6,67.6,75.2,70.6,69.6,75.4,78.0,77.2,75.4,75.2,65.6,67.2,75.6,75.6,
22,,75.0,72.6,74.6,61.2,50.8,61.2,67.2,83.0,60.8,77.0,62.2,57.0,64.8,,,58.8,70.2,73.6,70.4,69.4,75.4,78.6,79.2,65.6,74.8,63.6,66.8,74.2,75.0,
23,,73.0,74.0,,53.8,47.2,67.2,65.6,82.4,58.6,79.2,58.0,56.4,53.4,,71.0,,71.4,77.0,69.0,69.6,76.4,76.6,77.2,63.2,78.4,70.4,60.0,74.4,72.4,
24,,75.6,75.8,,59.8,46.8,69.8,58.0,81.8,59.8,78.8,64.0,60.2,45.4,,,,72.6,77.4,69.0,68.6,76.6,75.0,76.6,65.6,77.0,77.4,61.2,74.0,69.2,
25,,71.4,,,64.6,47.0,69.6,50.0,81.4,60.8,78.2,64.6,58.8,44.4,,62.4,,70.8,79.8,65.4,67.8,69.8,79.2,73.0,66.2,74.8,75.8,55.4,75.6,59.4,
26,,68.6,,69.6,65.8,50.2,72.4,48.6,80.0,67.2,77.6,67.8,57.6,41.8,,66.8,,66.0,78.8,62.8,66.2,69.8,79.4,74.0,68.0,76.2,74.4,59.6,74.4,53.0,
27,,59.4,76.4,63.4,69.0,50.2,75.8,48.2,81.8,69.2,77.8,64.0,57.8,41.6,,,,61.6,79.0,63.0,66.8,61.0,79.0,74.8,68.8,76.8,76.0,58.4,73.0,53.0,
28,64.8,53.2,71.2,,70.0,50.2,74.8,48.2,81.6,68.4,79.2,60.4,60.0,46.0,,64.8,,67.0,79.0,61.8,65.8,61.2,77.8,73.0,69.4,73.8,77.4,64.8,71.4,48.8,
29,67.4,56.0,69.6,,70.2,49.4,69.0,45.0,82.2,69.2,76.4,57.0,59.8,45.6,64.8,,,65.2,77.6,58.4,65.4,62.0,77.4,76.2,71.4,76.2,77.6,67.8,71.8,53.2,
30,,60.6,,,68.0,55.6,73.8,45.8,80.0,68.8,75.8,58.0,53.4,46.4,64.0,,,64.2,78.0,56.2,63.8,58.8,77.4,76.6,69.4,71.0,75.6,66.2,66.4,54.4,
31,,57.8,,,58.0,59.2,72.6,45.0,83.6,69.8,77.4,55.2,54.8,47.2,,,50.0,67.4,80.4,59.8,59.6,60.6,76.8,74.6,63.8,72.6,76.8,65.0,66.0,55.8,
32,,68.6,,,45.6,65.4,69.8,43.0,82.2,71.8,77.8,60.0,48.4,49.2,64.8,63.0,,70.0,81.2,62.2,61.8,62.0,78.2,77.0,65.2,71.4,75.6,68.2,66.0,65.0,
33,,,,59.2,43.2,62.2,68.6,43.2,82.4,72.2,75.0,61.4,41.8,50.6,64.0,67.2,,73.2,78.2,65.8,63.4,64.2,74.8,76.2,68.0,72.0,76.8,68.0,62.4,63.6,
34,,,,60.4,44.4,62.0,64.0,42.6,82.4,72.8,75.2,64.8,41.0,53.0,66.0,68.2,,74.8,77.8,64.4,61.6,61.0,70.6,76.6,64.8,72.0,75.6,68.4,60.0,57.8,
35,,74.8,56.2,,48.0,63.8,63.0,49.8,82.6,72.8,76.4,67.4,41.0,57.8,66.0,65.0,,77.2,78.0,59.0,63.2,64.2,71.4,72.2,67.2,73.8,76.6,69.0,64.2,59.2,
36,,74.0,55.6,59.2,48.4,67.8,67.4,51.0,83.2,71.8,72.6,65.8,45.4,59.2,66.0,,,76.4,76.4,56.8,63.2,62.8,67.6,68.6,62.6,70.2,76.0,70.0,62.0,57.0,
37,,72.2,54.0,64.0,48.8,67.8,67.2,57.0,81.2,73.8,62.2,67.4,45.0,60.8,62.8,,,76.8,76.2,61.6,63.6,64.6,69.6,65.8,61.8,69.4,76.4,69.6,64.0,55.6,
38,,72.4,50.6,61.8,49.4,69.8,66.0,59.6,76.8,74.2,56.8,66.8,42.2,60.6,63.8,,,77.0,75.4,62.0,63.8,64.4,71.2,65.8,52.6,70.0,78.8,66.0,60.4,53.8,
39,,68.4,58.0,62.2,55.0,70.6,68.2,63.6,74.6,,53.2,66.6,39.4,63.8,63.6,,,75.4,74.4,63.4,62.8,63.6,72.0,64.8,53.4,71.2,75.6,64.8,57.0,59.0,
40,,69.0,56.6,66.6,61.0,70.2,64.8,64.0,72.6,,54.6,66.2,38.0,57.6,,,,76.2,,64.2,64.6,60.6,70.8,66.2,46.0,75.4,74.0,60.2,54.0,59.8,
