week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,60.4,,,,,,,,,,54.4
2,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,60.6,63.6,,,,,54.2,51.5,40.2,48.0,46.0
4,,,,,,,,,,,,,,,,,,,,,60.8,64.9,59.8,50.8,,55.8,49.2,44.0,44.5,53.7,45.4
5,,,,,,,,,,,,,,,,,,,,,58.800000000000004,62.6,63.2,,60.2,58.0,48.4,41.6,43.0,47.4,53.2
6,,,,,,,,,,,,,,,,,,,,,61.0,61.6,62.6,,60.4,56.4,46.8,43.2,41.2,46.8,44.8
7,,,,,,,,,,,,,,,,,,,,,61.6,61.4,62.6,,61.0,56.8,45.5,43.8,41.4,45.8,44.4
8,,,,,,,,,,,,,,,,,,,,,61.4,63.2,60.599999999999994,52.0,63.900000000000006,58.2,49.6,45.8,42.9,54.8,52.4
9,,,,,,,,,,,,,,,,,,,,,60.099999999999994,63.0,61.0,53.3,62.5,62.8,50.7,48.4,42.5,55.400000000000006,52.0
10,,,,,,,,,,,,,,,,,,,,,60.4,64.2,63.67999999999999,59.92,60.96,63.900000000000006,56.96,56.4,54.720000000000006,61.120000000000005,57.52
11,,,,,,,,,,,,,,,,,,,,,60.4,65.4,64.2,60.6,61.36,63.65,59.32000000000001,57.0,55.32000000000001,62.44,58.36
12,,,,,,,,,,,,,,,,,,,,,61.4,69.36,64.76,61.2,63.71999999999999,65.24,59.160000000000004,57.0,55.0,64.0,56.92
13,,,,,,,,,,,,,,,,,,,,50.0,63.2,69.28,66.4,63.36,65.44000000000001,67.92,61.760000000000005,58.239999999999995,55.36,64.4,58.92
14,,,,,,,,,,,,,,,,,,,,59.0,65.36,69.92,67.88,62.68000000000001,65.8,69.12,62.56,59.760000000000005,56.279999999999994,64.68,61.8
15,,,,,,,,,,,,,,,,,,,,60.0,66.2,70.35999999999999,68.55999999999999,63.64,67.12,68.72,63.120000000000005,59.04,58.0,65.72,63.96
16,,,,,,,,,,,,,,,,,,,,60.2,68.08,71.24,69.8,63.8,68.6,69.64,62.6,60.0,58.36,65.88,
17,,,,,71.2,,,,,,69.76666666666667,,,,,70.64,60.45,,,62.96,68.73333333333333,71.83333333333333,72.6,64.76,70.84,70.08,65.63333333333334,58.63333333333333,58.67999999999999,67.16,
18,72.66666666666667,62.7,73.15,69.3,71.2,71.10000000000001,66.5,64.93333333333334,65.03333333333333,68.56666666666666,67.56666666666666,61.9,70.46666666666667,69.26666666666667,68.53333333333333,69.45,55.0,68.53333333333333,59.23333333333333,62.56666666666666,70.10000000000001,72.53333333333333,72.96666666666667,64.0,71.86666666666666,69.36666666666666,66.16666666666667,60.13333333333333,57.166666666666664,67.63333333333334,
19,73.26666666666667,60.900000000000006,72.26666666666667,67.0,72.2,70.5,66.89999999999999,64.0,63.76666666666666,69.96666666666667,66.63333333333334,63.76666666666666,70.16666666666667,68.53333333333333,70.23333333333333,68.72,55.56,69.43333333333334,58.833333333333336,61.56666666666666,71.3,73.16666666666667,72.76666666666667,64.63333333333334,72.23333333333333,68.5,66.66666666666667,60.800000000000004,59.56666666666666,67.46666666666667,
20,72.8,59.73333333333333,72.8,61.5,72.93333333333334,69.7,65.53333333333333,64.93333333333334,64.66666666666667,70.36666666666666,63.56666666666666,63.666666666666664,72.63333333333333,69.36666666666666,71.39999999999999,70.72,54.449999999999996,67.83333333333333,61.699999999999996,62.03333333333333,72.13333333333334,73.63333333333334,73.13333333333334,64.93333333333332,73.86666666666667,69.03333333333333,67.86666666666666,59.9,62.56666666666666,68.26666666666667,
