week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
13,,,,,,,,,,,,,,,,,,,,,,70.5,61.2,64.1,,,67.85,65.9,65.15,,,
14,,,,,,,,,,,,,,,,,,,,65.66666666666667,63.65,70.3,62.95,66.75,66.85,69.55,69.65,68.3,65.35,71.15,65.4,58.6
15,,,,,,,,,,,,,,,,,,,,67.25,65.25,69.2,62.5,67.2,67.75,70.25,69.75,68.75,66.6,72.2,66.7,56.349999999999994
16,,,,,,,,,,,,,,,,,,,,68.85,68.35,67.1,62.75,68.85,70.5,70.3,70.55,68.65,66.65,72.5,65.2,
17,,,,,65.45,,,,,,75.35,,,,,69.46666666666667,70.06666666666666,,,69.30000000000001,70.55,66.25,66.05,70.7,70.10000000000001,71.45,68.85,67.35,68.55,71.2,65.3,
18,60.2,,75.19999999999999,,64.25,70.15,61.4,68.5,76.9,67.5,76.35,62.400000000000006,62.85,65.9,65.06666666666666,69.4,70.66666666666667,65.8,71.25,69.85,72.0,67.75,67.85,70.85,71.35,73.5,67.8,67.7,69.9,69.4,64.85,
19,61.8,76.5,,61.0,66.4,64.45,55.5,66.6,76.3,70.1,73.85,63.4,59.3,66.5,60.8,65.86666666666666,69.06666666666666,66.5,73.45,69.5,72.2,67.7,67.15,66.65,73.4,74.3,69.2,66.4,68.8,72.15,65.5,
20,,71.6,,,66.7,59.6,53.7,67.05,75.95,71.2,74.15,63.9,57.85,66.1,63.3,71.69999999999999,73.6,69.45,72.55,71.0,71.4,69.2,65.4,70.0,72.9,72.35,65.75,64.5,69.7,72.25,65.7,
21,67.7,68.8,68.9,,64.4,60.1,56.55,65.8,78.25,69.7,74.95,60.95,54.95,67.7,68.2,70.5,65.2,68.55,72.65,70.85,68.95,69.4,68.95,72.7,70.95,73.8,61.25,67.05000000000001,70.69999999999999,71.6,66.9,
22,,75.0,68.1,74.6,59.2,58.45,61.5,62.65,78.9,67.2,76.7,62.650000000000006,52.45,65.85,74.39999999999999,74.0,54.5,71.1,72.3,71.05,67.6,70.4,71.2,74.25,68.45,74.45,63.15,67.5,71.7,72.6,69.8,
23,,73.0,71.5,,54.15,57.0,66.15,60.7,77.65,67.2,77.55,59.3,52.65,59.85,69.0,72.0,69.0,72.1,74.95,70.75,67.6,71.75,72.75,73.5,67.7,76.25,67.1,66.1,71.1,71.0,72.35,
24,,75.6,75.8,,58.7,56.5,68.5,57.9,80.7,69.35,76.05,60.7,55.75,57.25,72.2,72.86666666666667,69.5,73.15,76.8,71.0,67.55,70.9,74.6,74.4,70.75,76.35,69.9,65.3,70.45,68.4,74.35,
25,,71.4,66.4,,63.5,57.95,69.7,52.2,78.85,70.75,73.85,61.5,53.3,57.55,,63.26666666666667,67.9,70.94999999999999,78.15,69.85,66.85,69.05,76.1,73.05,70.65,76.45,68.8,62.0,72.8,62.55,74.35,
26,,68.6,60.2,69.6,64.5,62.35,69.75,55.4,78.8,74.8,71.2,65.8,52.45,56.4,74.8,59.333333333333336,64.26666666666667,67.75,78.7,69.8,66.6,69.6,75.5,73.6,71.55,76.05000000000001,67.35,62.2,72.95,58.7,74.6,
27,79.4,69.4,70.33333333333333,63.8,64.6,64.05,73.35,54.5,79.9,75.25,73.15,65.35,53.8,57.15,75.33333333333333,49.5,67.0,64.45,79.0,68.4,67.55,67.45,74.7,73.7,71.55,74.25,69.2,65.3,74.6,56.8,75.4,
28,70.8,61.06666666666666,69.6,60.2,68.2,64.2,70.95,54.2,80.5,75.1,73.65,66.1,53.0,60.349999999999994,74.26666666666667,59.3,66.39999999999999,64.85,78.8,67.2,67.85,68.65,73.55,71.15,72.0,73.65,68.85,67.6,73.05000000000001,54.7,76.15,
29,71.0,63.53333333333333,65.1,55.2,67.25,64.3,68.85,51.4,81.35,76.05,73.8,64.0,54.25,59.949999999999996,66.66666666666667,67.4,65.33333333333333,64.85,77.9,66.0,67.8,67.95,71.2,70.4,71.8,72.5,67.1,68.35,70.4,57.2,75.5,
30,72.8,61.2,59.3,53.9,65.6,67.35,70.05,54.95,80.65,75.3,74.15,65.55,53.25,59.0,66.60000000000001,57.0,66.06666666666666,65.95,77.7,65.5,67.85,66.75,70.75,71.1,71.30000000000001,70.95,67.5,67.65,69.4,59.5,72.9,
31,64.2,60.4,64.1,51.8,58.55,69.65,72.4,54.0,81.75,74.95,73.85,60.9,53.75,60.3,72.93333333333334,60.6,61.0,66.55,77.75,66.95,66.6,67.65,70.75,71.65,68.5,70.39999999999999,67.35,68.8,71.85,60.55,73.95,
32,66.8,70.3,63.0,50.4,52.65,70.55,70.85,50.9,80.05,76.35,72.4,62.6,49.15,58.55,68.86666666666666,60.4,64.06666666666666,69.15,79.4,67.4,66.25,68.45,73.1,73.45,68.1,71.60000000000001,65.15,69.95,70.6,66.15,76.3,
33,57.0,,69.2,56.73333333333333,52.05,70.9,71.25,49.25,80.35000000000001,76.3,71.75,61.35,46.55,57.75,69.13333333333333,59.06666666666667,65.06666666666666,71.7,78.5,68.7,66.0,69.5,71.65,73.6,68.25,73.2,67.15,71.45,67.9,68.65,76.95,
34,61.4,74.6,63.6,58.3,57.25,69.5,69.9,48.95,79.95,76.9,71.7,61.55,45.6,55.95,71.95,60.0,65.26666666666667,72.55,77.2,69.3,65.1,68.0,69.5,74.1,67.8,73.95,68.05,72.2,66.5,67.4,77.55000000000001,
35,68.8,74.8,57.7,51.8,58.8,71.05,69.45,53.6,80.1,76.15,70.65,65.05,46.65,60.25,69.5,62.5,67.26666666666667,73.2,78.75,67.7,64.6,68.25,72.0,72.7,66.7,74.9,68.9,72.9,66.45,66.2,76.7,
36,,72.2,55.6,53.93333333333334,60.35,74.45,71.0,55.0,80.55,76.45,67.5,66.55,46.400000000000006,62.25,68.86666666666666,69.4,68.0,73.9,76.8,67.5,63.6,66.15,71.85,71.8,62.65,74.2,70.7,73.3,65.3,64.05,73.15,
37,,72.2,58.93333333333334,58.3,57.05,73.4,71.1,55.4,79.6,72.35,59.85,68.80000000000001,48.0,63.2,67.86666666666666,65.3,68.8,73.2,76.15,68.95,63.75,65.25,70.9,68.85,61.2,73.75,70.2,73.55,66.9,63.849999999999994,71.0,
38,,72.4,55.0,56.0,59.55,74.3,68.75,57.8,77.7,75.65,55.65,70.3,46.5,62.8,65.5,63.4,68.93333333333334,74.4,75.7,68.9,63.449999999999996,63.85,69.7,70.65,55.25,73.3,71.5,72.35,67.55,64.1,69.6,
39,,71.2,58.85,56.3,63.5,75.05,69.75,61.9,77.2,,54.85,69.3,44.05,64.2,67.0,66.0,66.7,73.7,74.2,68.19999999999999,63.15,64.15,66.85,70.8,54.2,73.15,70.3,68.3,66.4,67.1,68.3,
40,62.6,69.0,61.8,57.5,65.5,73.35,66.5,60.85,76.85,63.0,57.1,67.5,43.45,62.9,70.0,58.4,69.06666666666666,74.7,,68.15,65.65,62.95,64.6,71.25,51.15,74.05,70.9,67.4,64.15,67.75,,
41,,71.1,64.8,61.599999999999994,67.5,70.8,63.5,60.95,74.85,76.1,63.15,66.2,43.15,64.2,66.30000000000001,64.2,70.2,74.19999999999999,,69.2,66.75,62.25,67.1,71.9,50.25,73.65,70.6,68.3,64.6,69.4,,
42,,72.5,62.400000000000006,63.2,66.85,66.25,63.15,64.1,76.05,75.65,63.5,65.45,41.85,65.3,71.2,59.0,69.39999999999999,73.5,73.35,69.55,66.95,62.25,67.25,72.65,50.6,74.65,68.45,65.65,62.4,66.6,,
43,75.2,73.4,64.33333333333333,57.6,68.4,60.3,61.05,64.5,75.05,75.15,62.55,64.8,44.550000000000004,64.8,70.60000000000001,59.06666666666666,68.60000000000001,72.10000000000001,72.6,69.45,67.8,62.1,66.6,71.95,54.55,74.55,68.5,65.15,59.3,64.2,,
44,74.6,,65.60000000000001,50.0,,,,,74.2,74.8,,,,63.650000000000006,,,,,,70.39999999999999,68.05,61.05,68.5,70.3,56.75,74.05,68.55,64.05,57.1,60.7,,
45,,,,,,,,,,,,,,,,,,,,69.0,68.75,59.25,67.85,68.35,56.95,73.25,66.55,64.4,54.85,60.5,,
46,,,,,,,,,,,,,,,,,,,,67.8,67.75,57.15,67.75,68.2,57.650000000000006,73.65,64.45,63.699999999999996,55.050000000000004,60.7,60.8,
47,,,,,,,,,,,,,,,,,,,,67.4,67.75,55.5,67.10000000000001,68.1,58.699999999999996,73.3,64.2,65.05,58.5,61.5,60.3,
48,,,,,,,,,,,,,,,,,,,,66.80000000000001,67.4,,,,,73.35,,,,,,
