week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,63.599999999999994,,,,,,,,,,54.53333333333333
2,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,60.6,63.6,,,,,54.2,51.5,40.2,48.0,46.0
4,,,,,,,,,,,,,,,,,,,,,60.8,64.9,59.8,50.8,,55.8,49.2,44.0,44.5,50.26666666666667,45.4
5,,,,,,,,,,,,,,,,,,,,,61.866666666666674,62.6,63.2,,60.2,58.0,48.4,41.6,43.0,47.4,53.93333333333334
6,,,,,,,,,,,,,,,,,,,,,61.0,61.6,62.6,,60.4,56.4,46.8,43.2,41.2,46.8,44.8
7,,,,,,,,,,,,,,,,,,,,,61.6,61.4,62.6,,61.0,56.8,45.5,43.8,41.4,45.8,44.4
8,,,,,,,,,,,,,,,,,,,,,61.4,63.2,60.599999999999994,52.0,63.900000000000006,58.2,49.6,45.8,42.9,51.6,52.4
9,,,,,,,,,,,,,,,,,,,,,61.93333333333334,63.0,61.0,53.3,62.5,62.8,50.7,48.4,42.5,55.400000000000006,52.800000000000004
10,,,,,,,,,,,,,,,,,,,,,60.4,64.2,61.5,56.0,61.7,63.900000000000006,53.1,49.0,42.0,55.1,52.1
11,,,,,,,,,,,,,,,,,,,,,60.6,65.4,62.3,55.1,63.1,64.3,53.9,47.5,44.099999999999994,55.8,50.8
12,,,,,,,,,,,,,,,,,,,,,62.0,65.9,62.8,56.3,64.5,66.9,52.400000000000006,47.0,43.400000000000006,52.86666666666667,46.2
13,,,,,,,,,,,,,,,,,,,,50.0,64.93333333333334,65.66666666666667,62.46666666666666,57.800000000000004,66.8,68.4,50.26666666666667,49.666666666666664,50.800000000000004,53.93333333333334,50.53333333333333
14,,,,,,,,,,,,,,,,,,,,47.06666666666666,65.13333333333333,65.46666666666667,62.86666666666667,56.06666666666666,66.66666666666667,64.86666666666666,50.6,53.0,49.666666666666664,53.53333333333333,53.86666666666667
15,,,,,,,,,,,,,,,,,,,,46.93333333333334,65.06666666666666,66.06666666666666,63.26666666666667,55.93333333333334,66.60000000000001,65.39999999999999,51.73333333333333,51.6,50.93333333333334,54.800000000000004,54.333333333333336
16,,,,,,,,,,,,,,,,,,,,46.53333333333333,67.26666666666667,66.86666666666666,64.13333333333334,54.73333333333333,66.53333333333335,66.46666666666667,50.53333333333333,48.86666666666667,52.26666666666666,52.800000000000004,
17,,,,,63.800000000000004,,,,,,67.8,,,,,67.33333333333333,50.0,,,48.73333333333333,68.26666666666667,67.33333333333333,68.53333333333333,55.73333333333333,68.2,65.93333333333334,52.333333333333336,46.46666666666667,51.73333333333333,54.79999999999999,
18,71.4,,71.69999999999999,66.1,63.6,61.26666666666667,61.79999999999999,52.4,55.13333333333333,63.6,65.39999999999999,47.26666666666667,71.0,56.93333333333334,59.0,66.33333333333333,44.1,52.13333333333333,43.333333333333336,49.46666666666667,69.53333333333335,68.13333333333334,67.39999999999999,56.0,67.66666666666667,61.400000000000006,54.199999999999996,48.6,50.6,55.46666666666666,
19,72.6,,73.0,63.599999999999994,65.39999999999999,60.06666666666666,63.133333333333326,52.06666666666666,54.13333333333333,65.0,67.2,51.13333333333333,72.60000000000001,58.06666666666666,62.199999999999996,67.73333333333333,44.900000000000006,55.13333333333333,43.6,49.0,70.60000000000001,68.60000000000001,66.93333333333334,55.199999999999996,67.53333333333335,60.79999999999999,55.06666666666666,48.333333333333336,53.53333333333334,54.26666666666667,
20,72.8,56.4,72.19999999999999,62.0,66.60000000000001,59.93333333333334,65.39999999999999,51.4,54.86666666666667,63.93333333333334,66.0,48.0,73.26666666666667,57.73333333333333,63.599999999999994,66.66666666666667,46.599999999999994,54.333333333333336,43.4,49.26666666666667,71.46666666666665,69.2,67.4,56.199999999999996,70.46666666666667,61.800000000000004,57.13333333333333,46.93333333333334,55.93333333333334,57.86666666666667,
21,72.2,56.4,74.0,64.2,69.26666666666667,58.4,65.53333333333333,50.73333333333333,54.0,63.13333333333333,63.599999999999994,47.6,77.53333333333335,59.73333333333333,65.4,67.86666666666667,48.3,52.333333333333336,46.0,50.06666666666666,72.39999999999999,69.66666666666667,67.53333333333333,56.13333333333333,71.93333333333334,62.26666666666667,60.13333333333333,48.06666666666666,62.06666666666666,56.53333333333333,
22,72.2,58.6,74.6,67.2,68.06666666666666,58.53333333333333,65.39999999999999,50.53333333333333,53.333333333333336,63.4,66.33333333333333,46.0,76.13333333333334,58.333333333333336,66.1,66.73333333333333,47.5,52.333333333333336,47.199999999999996,52.133333333333326,72.73333333333333,70.0,68.13333333333334,54.666666666666664,70.0,62.20000000000001,63.4,49.93333333333334,64.60000000000001,57.46666666666667,
23,75.4,55.0,75.2,65.8,69.39999999999999,60.06666666666666,63.86666666666667,51.26666666666667,55.13333333333333,60.13333333333333,64.53333333333335,43.13333333333333,75.53333333333333,57.6,67.5,66.26666666666667,54.0,50.0,48.06666666666666,54.0,73.53333333333333,70.39999999999999,68.33333333333333,53.800000000000004,71.0,60.133333333333326,63.13333333333333,50.86666666666667,65.39999999999999,55.53333333333333,
24,67.26666666666667,57.4,76.2,61.4,71.13333333333334,61.666666666666664,62.666666666666664,50.20000000000001,57.06666666666666,59.73333333333333,65.26666666666667,43.333333333333336,76.13333333333334,57.79999999999999,67.0,66.93333333333334,53.0,51.666666666666664,48.4,55.26666666666667,73.66666666666667,70.0,67.86666666666666,53.46666666666667,70.06666666666666,57.0,61.26666666666667,49.0,63.800000000000004,56.53333333333333,
25,73.2,69.0,76.19999999999999,56.1,72.39999999999999,63.26666666666667,62.13333333333333,50.0,60.800000000000004,60.866666666666674,61.199999999999996,41.53333333333333,77.13333333333333,56.26666666666667,63.7,63.4,48.0,51.133333333333326,50.199999999999996,55.86666666666667,74.26666666666667,70.33333333333333,66.2,53.800000000000004,68.8,54.86666666666667,58.333333333333336,48.13333333333333,61.73333333333334,55.0,
26,62.7,52.666666666666664,75.4,,73.13333333333334,66.33333333333333,60.666666666666664,49.400000000000006,61.86666666666667,62.73333333333333,58.06666666666666,41.46666666666666,77.86666666666666,56.53333333333333,60.099999999999994,66.0,,48.46666666666667,48.79999999999999,57.46666666666667,73.93333333333334,69.60000000000001,66.60000000000001,55.199999999999996,69.46666666666667,54.800000000000004,61.73333333333333,48.46666666666667,60.93333333333334,57.53333333333334,
27,63.9,56.7,73.8,50.6,73.86666666666666,66.2,57.800000000000004,55.0,60.26666666666667,65.73333333333333,59.06666666666666,42.53333333333333,77.33333333333333,56.800000000000004,57.9,69.53333333333335,,46.26666666666667,48.0,57.46666666666667,74.0,68.53333333333335,65.60000000000001,55.800000000000004,69.33333333333333,54.46666666666667,66.0,46.800000000000004,64.46666666666667,58.26666666666667,
28,63.5,56.3,,53.0,73.60000000000001,64.8,54.26666666666667,54.666666666666664,60.866666666666674,68.86666666666666,58.333333333333336,42.73333333333333,78.26666666666667,56.53333333333333,55.3,70.73333333333333,,46.800000000000004,45.800000000000004,57.333333333333336,74.66666666666667,66.8,64.06666666666666,54.93333333333334,69.46666666666667,54.46666666666667,67.73333333333333,46.53333333333333,64.13333333333334,55.666666666666664,
29,60.6,55.6,68.8,51.900000000000006,72.46666666666667,61.26666666666667,52.0,56.73333333333333,59.0,65.93333333333334,59.06666666666666,40.800000000000004,77.46666666666667,59.26666666666666,54.0,69.66666666666667,,46.26666666666667,49.26666666666667,58.06666666666666,73.86666666666666,64.93333333333334,62.666666666666664,51.93333333333334,68.0,53.46666666666667,67.33333333333333,44.13333333333333,63.0,58.0,
30,60.0,57.6,69.0,50.8,69.06666666666666,61.0,51.6,56.46666666666667,54.800000000000004,65.73333333333333,56.86666666666667,41.53333333333333,78.0,58.800000000000004,54.4,70.33333333333333,,44.4,50.333333333333336,57.666666666666664,72.53333333333333,64.60000000000001,63.4,49.86666666666667,65.73333333333333,56.4,67.33333333333333,45.666666666666664,57.333333333333336,57.06666666666666,
31,61.6,62.7,69.3,53.4,68.53333333333333,57.73333333333333,49.6,57.666666666666664,52.26666666666667,66.33333333333333,56.46666666666667,42.53333333333333,78.26666666666667,57.06666666666666,55.800000000000004,69.7,,40.4,53.4,59.0,71.39999999999999,63.46666666666667,64.2,50.199999999999996,60.6,57.26666666666667,66.06666666666666,44.6,54.06666666666667,57.0,
32,75.2,58.46666666666666,68.7,51.4,67.39999999999999,57.26666666666667,46.199999999999996,57.06666666666666,51.333333333333336,68.26666666666667,59.13333333333333,43.0,76.53333333333333,57.4,57.0,65.86666666666666,,39.0,52.866666666666674,60.6,69.66666666666667,62.93333333333334,66.66666666666667,50.73333333333333,60.4,57.800000000000004,65.06666666666666,43.46666666666667,53.53333333333333,58.26666666666667,
33,61.9,53.400000000000006,70.1,55.6,64.93333333333334,53.6,47.6,56.6,49.06666666666666,68.60000000000001,60.4,43.53333333333333,73.66666666666667,61.46666666666667,55.53333333333333,65.93333333333334,34.2,39.0,54.133333333333326,59.0,67.8,64.13333333333334,67.53333333333333,53.0,59.13333333333333,56.86666666666667,63.93333333333334,44.46666666666667,52.86666666666667,58.6,
34,60.5,55.0,71.26666666666667,58.6,63.06666666666667,49.46666666666667,46.46666666666667,54.0,46.866666666666674,71.26666666666667,62.4,45.93333333333334,73.0,63.86666666666667,57.4,63.4,31.6,40.266666666666666,54.333333333333336,58.26666666666667,67.60000000000001,66.0,69.46666666666667,53.93333333333334,58.800000000000004,52.93333333333334,63.06666666666666,48.53333333333333,54.4,55.333333333333336,
35,62.73333333333333,60.8,70.9,53.7,61.86666666666667,47.26666666666667,49.0,55.93333333333334,47.13333333333333,70.60000000000001,62.79999999999999,48.79999999999999,74.26666666666667,65.26666666666667,56.4,61.93333333333334,34.0,40.53333333333333,53.666666666666664,57.4,67.06666666666666,67.46666666666665,68.86666666666667,55.46666666666667,59.199999999999996,52.199999999999996,63.4,51.73333333333333,56.4,54.46666666666667,
36,64.6,60.4,67.2,53.4,63.06666666666666,44.0,51.53333333333333,53.13333333333333,48.666666666666664,71.2,62.4,49.800000000000004,73.46666666666665,66.33333333333333,55.06666666666666,62.73333333333333,35.6,38.0,50.53333333333334,57.800000000000004,66.39999999999999,67.53333333333333,68.53333333333333,56.333333333333336,57.93333333333334,52.53333333333333,60.333333333333336,52.6,53.800000000000004,56.46666666666667,
37,62.53333333333334,63.5,66.2,53.2,64.0,42.666666666666664,54.0,56.53333333333333,50.4,71.66666666666667,61.46666666666667,51.13333333333333,74.46666666666665,69.33333333333333,57.8,64.66666666666667,,41.6,52.86666666666667,58.06666666666666,66.2,67.73333333333333,66.13333333333334,57.46666666666666,59.46666666666667,55.06666666666666,57.93333333333334,51.93333333333334,54.73333333333333,54.800000000000004,
38,65.06666666666666,66.4,66.46666666666667,56.7,61.4,40.4,54.06666666666666,56.4,53.06666666666666,67.53333333333335,61.199999999999996,52.13333333333333,73.2,68.66666666666667,62.2,65.2,34.4,40.333333333333336,54.4,60.06666666666666,65.60000000000001,67.73333333333333,65.46666666666667,59.73333333333333,60.46666666666667,58.73333333333333,56.73333333333333,49.0,56.199999999999996,52.73333333333333,
39,65.93333333333334,69.5,68.33333333333333,55.7,61.6,40.199999999999996,55.666666666666664,55.0,52.53333333333333,67.60000000000001,58.06666666666666,51.73333333333333,72.33333333333333,68.53333333333333,59.6,65.86666666666666,34.4,40.6,55.86666666666667,60.46666666666667,64.8,67.46666666666667,67.46666666666667,61.0,60.73333333333333,56.666666666666664,57.800000000000004,48.46666666666666,53.06666666666666,55.93333333333334,
40,66.13333333333333,68.9,67.33333333333333,55.3,60.666666666666664,38.800000000000004,56.26666666666667,54.46666666666667,53.73333333333333,67.13333333333334,58.6,53.20000000000001,71.86666666666666,66.73333333333333,65.7,63.93333333333334,,41.06666666666667,,60.4,64.39999999999999,66.8,67.13333333333333,63.06666666666666,58.400000000000006,57.73333333333333,58.800000000000004,47.93333333333334,54.0,54.86666666666667,
41,66.33333333333333,69.3,65.5,55.8,58.53333333333333,39.333333333333336,55.666666666666664,55.26666666666667,54.199999999999996,69.53333333333333,60.6,51.06666666666666,70.46666666666667,65.06666666666666,61.666666666666664,63.4,,40.93333333333333,,61.6,63.26666666666667,66.06666666666666,66.73333333333333,63.4,58.4,55.53333333333333,59.800000000000004,48.4,52.86666666666667,50.4,
42,63.79999999999999,66.8,66.2,55.2,58.26666666666667,40.86666666666667,52.4,55.26666666666667,54.53333333333333,68.86666666666667,59.333333333333336,53.6,70.39999999999999,66.0,66.5,62.333333333333336,,42.4,56.333333333333336,61.73333333333334,61.666666666666664,65.73333333333333,66.33333333333333,62.53333333333333,57.13333333333333,54.800000000000004,59.0,48.53333333333333,50.93333333333334,51.73333333333333,
