week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
13,,,,,,,,,,,,,,,,,,,,,,65.46666666666667,64.66666666666667,57.26666666666667,,,44.333333333333336,55.73333333333333,61.46666666666667,,,
14,,,,,,,,,,,,,,,,,,,,54.46666666666667,62.333333333333336,65.66666666666667,64.39999999999999,56.6,65.73333333333333,63.86666666666667,44.333333333333336,55.666666666666664,61.4,58.666666666666664,59.46666666666666,51.93333333333334
15,,,,,,,,,,,,,,,,,,,,54.4,61.06666666666666,66.33333333333333,64.0,54.93333333333334,66.2,63.800000000000004,45.4,55.6,60.46666666666666,59.73333333333333,56.93333333333333,50.4
16,,,,,,,,,,,,,,,,,,,,54.53333333333333,61.20000000000001,67.33333333333333,64.39999999999999,52.53333333333333,68.06666666666668,63.46666666666667,45.13333333333333,53.93333333333334,62.06666666666666,57.73333333333333,59.46666666666667,
17,,,,,67.73333333333333,,,,,,70.66666666666667,,,,,66.1,54.6,,,54.800000000000004,61.13333333333333,67.86666666666666,68.33333333333333,54.4,69.86666666666666,62.46666666666667,43.800000000000004,51.53333333333333,62.53333333333333,59.199999999999996,57.800000000000004,
18,72.4,62.400000000000006,68.5,67.8,68.2,63.46666666666666,63.13333333333333,45.0,50.06666666666666,55.46666666666667,70.66666666666667,57.73333333333333,69.73333333333333,53.4,62.8,57.8,51.4,52.46666666666667,42.73333333333333,54.53333333333333,61.86666666666667,68.93333333333334,70.13333333333334,54.666666666666664,69.6,60.666666666666664,43.6,52.666666666666664,60.13333333333333,59.4,60.13333333333333,
19,72.8,64.0,70.69999999999999,71.0,68.46666666666667,63.06666666666666,65.2,42.53333333333333,51.4,55.93333333333334,72.93333333333332,58.13333333333333,69.93333333333334,51.800000000000004,64.6,69.6,53.2,54.333333333333336,44.666666666666664,55.73333333333333,64.26666666666667,69.53333333333335,72.06666666666666,56.06666666666666,70.93333333333334,60.0,45.6,51.666666666666664,63.06666666666667,61.53333333333333,61.26666666666667,
20,76.4,61.6,68.69999999999999,70.9,69.8,62.13333333333333,67.60000000000001,42.199999999999996,53.93333333333334,55.73333333333333,72.93333333333334,53.6,70.93333333333334,50.53333333333333,67.2,57.6,51.8,53.53333333333333,46.26666666666667,55.6,66.13333333333333,70.60000000000001,73.8,56.53333333333333,72.60000000000001,59.0,48.800000000000004,48.800000000000004,61.46666666666667,62.666666666666664,61.53333333333333,
21,80.2,64.80000000000001,68.2,67.7,72.53333333333333,60.199999999999996,67.53333333333335,41.733333333333334,53.800000000000004,56.0,71.46666666666665,55.333333333333336,73.0,52.46666666666667,68.3,61.0,58.6,50.06666666666666,48.333333333333336,56.133333333333326,68.53333333333333,71.8,72.8,54.93333333333334,74.93333333333334,58.06666666666666,51.0,49.199999999999996,64.8,59.86666666666667,62.199999999999996,
22,79.0,67.9,69.5,74.8,72.39999999999999,60.06666666666666,66.73333333333333,38.73333333333333,54.333333333333336,57.06666666666666,73.86666666666667,51.86666666666667,70.26666666666667,51.866666666666674,71.30000000000001,67.19999999999999,52.0,49.79999999999999,48.0,56.6,69.60000000000001,71.60000000000001,72.8,53.0,74.46666666666667,57.93333333333334,52.666666666666664,53.53333333333333,67.66666666666667,62.4,63.13333333333333,
23,81.2,69.8,69.8,72.0,72.53333333333333,56.666666666666664,65.46666666666665,40.06666666666666,56.4,55.0,73.0,50.73333333333333,71.06666666666666,53.0,72.0,67.1,54.4,45.73333333333333,47.46666666666667,56.666666666666664,70.46666666666667,72.06666666666666,72.2,53.46666666666666,74.33333333333333,58.93333333333334,52.333333333333336,52.0,69.39999999999999,62.666666666666664,65.86666666666667,
24,48.8,67.9,74.2,65.1,72.53333333333333,54.4,65.60000000000001,38.0,57.666666666666664,53.800000000000004,73.13333333333334,49.333333333333336,69.8,52.46666666666667,75.0,66.6,61.0,46.46666666666667,46.06666666666666,56.333333333333336,71.73333333333333,71.53333333333333,70.93333333333334,52.199999999999996,74.53333333333333,57.199999999999996,51.93333333333334,50.13333333333333,70.39999999999999,62.0,65.39999999999999,
25,,67.0,75.3,66.6,71.13333333333334,53.0,64.93333333333334,37.266666666666666,59.0,53.666666666666664,70.60000000000001,49.4,68.26666666666667,54.73333333333333,74.2,63.0,58.6,43.06666666666666,45.13333333333333,56.400000000000006,71.66666666666667,71.0,70.39999999999999,49.800000000000004,73.06666666666666,53.46666666666667,50.333333333333336,51.199999999999996,74.26666666666667,59.73333333333333,66.60000000000001,
26,51.0,55.6,72.4,65.2,70.93333333333334,54.333333333333336,63.666666666666664,37.13333333333333,59.6,55.666666666666664,70.33333333333333,50.333333333333336,66.93333333333334,56.13333333333333,74.4,65.5,56.6,40.800000000000004,42.2,55.73333333333333,71.06666666666666,70.33333333333333,68.73333333333333,51.13333333333333,73.93333333333334,52.93333333333334,51.46666666666667,52.86666666666667,70.66666666666667,60.73333333333333,65.39999999999999,
27,54.2,65.80000000000001,69.6,57.5,71.53333333333333,54.06666666666666,59.800000000000004,37.46666666666667,55.06666666666666,59.26666666666667,68.86666666666666,50.4,64.8,54.199999999999996,75.4,67.5,60.4,40.199999999999996,43.6,55.333333333333336,71.26666666666667,69.8,66.86666666666666,50.0,72.8,53.26666666666667,53.6,53.6,72.33333333333333,62.800000000000004,68.39999999999999,
28,54.2,68.5,71.4,58.8,72.13333333333334,52.199999999999996,59.26666666666667,37.26666666666667,55.26666666666667,59.866666666666674,66.93333333333334,49.86666666666667,64.39999999999999,55.13333333333333,,69.19999999999999,57.6,41.333333333333336,43.800000000000004,55.6,72.13333333333333,68.60000000000001,64.93333333333334,47.333333333333336,72.13333333333333,53.53333333333333,54.93333333333334,54.0,73.26666666666667,62.53333333333333,66.33333333333333,
29,52.8,63.666666666666664,67.86666666666666,60.1,71.33333333333333,52.86666666666667,60.800000000000004,36.06666666666666,53.13333333333333,56.26666666666667,65.46666666666667,51.93333333333334,61.199999999999996,58.4,75.0,66.4,61.0,41.6,46.199999999999996,55.46666666666667,72.0,68.0,62.13333333333333,48.0,71.46666666666667,52.46666666666667,56.73333333333333,51.333333333333336,70.73333333333333,65.0,63.46666666666667,
30,54.2,63.599999999999994,60.0,59.5,70.60000000000001,53.13333333333333,61.333333333333336,35.6,50.0,59.666666666666664,63.199999999999996,52.26666666666667,60.73333333333333,58.46666666666666,55.6,68.0,57.6,41.53333333333333,49.666666666666664,55.666666666666664,71.66666666666667,67.93333333333334,65.8,49.199999999999996,69.86666666666666,56.26666666666667,58.199999999999996,56.13333333333333,67.53333333333335,64.13333333333334,65.66666666666667,
31,53.0,63.2,67.1,66.53333333333333,73.13333333333333,49.73333333333333,60.73333333333334,37.53333333333333,49.13333333333333,60.46666666666666,63.20000000000001,55.333333333333336,63.06666666666666,58.86666666666667,63.7,74.8,58.4,39.53333333333333,48.800000000000004,57.199999999999996,71.46666666666665,67.8,66.33333333333333,47.26666666666667,67.73333333333333,57.199999999999996,56.53333333333333,56.4,66.86666666666667,62.13333333333333,62.6,
32,73.6,64.3,73.06666666666666,65.7,74.60000000000001,48.6,60.0,36.4,49.6,61.333333333333336,63.73333333333333,57.6,63.53333333333334,60.46666666666666,64.4,71.8,55.4,38.199999999999996,50.06666666666666,58.53333333333333,71.26666666666667,67.53333333333333,66.39999999999999,46.4,69.86666666666667,57.73333333333333,54.53333333333333,57.6,67.06666666666666,64.2,59.800000000000004,
33,53.8,61.0,74.1,64.3,73.73333333333333,47.800000000000004,59.93333333333334,34.86666666666667,48.333333333333336,60.4,64.8,59.46666666666667,60.199999999999996,63.4,52.2,74.5,45.2,38.53333333333333,50.13333333333333,58.199999999999996,70.93333333333334,67.2,66.46666666666667,47.800000000000004,69.06666666666668,54.800000000000004,54.4,59.93333333333334,68.60000000000001,68.8,59.199999999999996,
34,62.3,63.5,76.4,58.6,74.13333333333334,46.26666666666667,58.4,34.06666666666667,47.0,64.86666666666666,66.13333333333334,62.20000000000001,60.86666666666667,62.4,62.5,71.9,45.2,39.93333333333333,51.13333333333333,59.6,70.86666666666667,66.86666666666666,66.53333333333333,49.06666666666666,69.93333333333334,52.93333333333334,52.4,62.0,71.86666666666666,65.0,60.46666666666667,
35,67.46666666666667,62.06666666666666,77.26666666666667,68.1,74.26666666666667,47.86666666666667,56.86666666666667,35.46666666666667,48.199999999999996,62.13333333333333,66.66666666666667,64.13333333333334,63.866666666666674,65.33333333333333,64.06666666666666,69.8,45.4,41.266666666666666,50.93333333333334,60.666666666666664,70.53333333333333,67.2,68.66666666666667,50.333333333333336,68.13333333333334,49.73333333333333,55.6,61.46666666666667,71.66666666666667,62.93333333333333,59.133333333333326,
36,72.8,65.9,76.4,60.4,73.66666666666667,46.93333333333334,58.06666666666666,34.199999999999996,48.73333333333333,63.93333333333334,67.0,64.06666666666666,61.46666666666666,64.86666666666667,62.666666666666664,69.39999999999999,44.900000000000006,38.333333333333336,50.666666666666664,60.666666666666664,70.46666666666667,66.73333333333333,68.2,49.199999999999996,66.86666666666667,48.6,53.73333333333333,60.73333333333333,69.66666666666667,64.60000000000001,58.53333333333333,
37,65.2,66.0,77.2,64.7,73.66666666666667,45.0,57.20000000000001,37.53333333333333,48.46666666666667,64.93333333333334,66.73333333333333,63.0,60.4,66.33333333333333,68.80000000000001,67.73333333333333,57.2,41.800000000000004,54.86666666666667,61.73333333333333,70.0,66.39999999999999,66.26666666666667,48.86666666666667,66.93333333333334,49.6,52.86666666666667,58.0,70.73333333333333,65.33333333333333,62.13333333333333,
38,66.26666666666667,68.80000000000001,73.30000000000001,64.5,73.26666666666667,45.199999999999996,56.06666666666667,39.333333333333336,50.53333333333333,63.06666666666666,67.26666666666667,63.73333333333333,59.800000000000004,66.2,68.4,65.53333333333335,45.099999999999994,40.93333333333333,57.199999999999996,63.4,69.86666666666666,66.53333333333333,66.60000000000001,47.26666666666667,66.66666666666667,50.93333333333334,53.6,57.6,72.66666666666667,61.666666666666664,64.06666666666666,
39,67.39999999999999,65.93333333333334,74.9,63.699999999999996,71.66666666666667,45.86666666666667,55.93333333333334,38.6,47.6,63.6,65.39999999999999,64.0,59.6,66.0,61.93333333333334,65.66666666666667,45.7,40.53333333333334,57.6,63.866666666666674,69.06666666666666,66.46666666666667,71.86666666666667,45.93333333333334,66.66666666666667,50.46666666666667,54.26666666666667,58.333333333333336,71.46666666666667,61.46666666666667,63.06666666666666,
40,66.06666666666666,70.1,73.0,64.1,72.46666666666667,44.26666666666667,56.800000000000004,40.333333333333336,46.73333333333333,63.46666666666667,66.93333333333334,65.2,59.46666666666667,63.93333333333334,66.4,66.66666666666667,60.6,37.800000000000004,,63.800000000000004,69.33333333333333,65.93333333333334,70.53333333333333,46.6,64.60000000000001,49.26666666666667,55.26666666666667,60.86666666666667,70.53333333333333,64.8,,
41,67.39999999999999,68.8,74.8,63.1,69.46666666666665,43.73333333333333,54.93333333333334,40.6,48.79999999999999,65.2,67.8,62.4,58.800000000000004,61.46666666666666,62.199999999999996,66.39999999999999,53.4,37.199999999999996,,65.2,68.66666666666667,65.73333333333333,70.2,46.73333333333333,65.13333333333334,50.73333333333333,52.666666666666664,59.6,69.73333333333333,59.86666666666667,,
42,65.60000000000001,68.8,75.6,64.13333333333334,68.86666666666667,44.333333333333336,51.800000000000004,38.46666666666667,48.0,62.86666666666667,68.06666666666666,62.93333333333334,58.800000000000004,64.66666666666667,68.8,64.8,,36.53333333333333,58.53333333333333,64.8,68.39999999999999,65.39999999999999,69.26666666666667,46.79999999999999,65.2,48.13333333333333,51.13333333333333,61.73333333333333,67.73333333333333,64.53333333333333,,
