week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,58.8
3,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,63.8,,,
4,,,,,,,,,,,,,,,,,,,,,,61.2,51.2,65.2,,,,,58.0,59.0,
5,,,,,,,,,,,,,,,,,,,,,57.8,,,,,,,,,,61.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,62.6,,,
8,,,,,,,,,,,,,,,,,,,,,,62.6,57.2,64.8,57.4,,,,60.2,60.8,
9,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,62.6
12,,,,,,,,,,,,,,,,,,,,,,,60.0,67.0,63.0,,67.0,66.4,64.2,64.6,
13,,,,,,,,,,,,,,,,,,,,,63.0,70.0,61.6,68.8,63.8,69.8,70.0,67.8,65.8,65.0,62.8
14,,,,,,,,,,,,,,,,,,,,69.6,65.2,70.6,63.2,69.4,67.2,71.2,70.0,68.0,69.4,68.0,66.8
15,,,,,,,,,,,,,,,,,,,,71.0,69.4,72.0,64.6,70.0,68.2,73.4,71.4,71.4,72.0,70.8,69.2
16,,,,,,,,,,,,,,,,,,,,71.0,73.2,70.4,66.8,72.8,71.0,74.4,72.6,72.4,72.0,73.2,
17,,,,,75.4,,,,,,78.0,,,,,,,,,71.4,75.4,70.6,71.8,72.8,71.6,74.2,72.4,71.8,73.6,73.4,
18,,64.4,,,76.4,76.8,66.8,77.2,79.2,78.2,77.6,75.0,59.8,71.2,76.2,74.4,,70.0,76.4,72.6,76.0,70.8,73.2,73.4,73.2,74.6,73.6,72.0,72.0,74.4,
19,,68.6,,,76.6,76.8,66.6,78.6,77.2,78.6,76.2,76.0,61.0,72.4,77.8,73.8,,68.2,78.4,73.0,74.6,71.2,73.0,72.2,73.8,74.0,74.0,72.2,72.6,75.8,
20,,69.4,71.6,78.8,74.8,73.8,63.0,79.2,78.4,78.0,74.6,77.2,61.0,73.2,78.2,75.4,,71.0,78.0,74.0,71.0,71.6,72.8,73.2,73.4,75.2,71.0,69.2,73.8,76.2,
21,,69.2,72.2,,73.6,74.6,65.2,79.2,79.0,78.2,71.2,76.4,54.6,73.6,77.6,75.6,,67.2,78.6,73.4,71.8,69.2,74.4,73.4,74.4,75.4,70.4,71.0,74.8,77.0,
22,,,,,71.0,74.4,68.6,77.2,80.0,76.4,71.6,76.4,48.0,76.6,78.4,76.6,74.6,67.0,78.2,73.2,72.4,69.2,74.6,74.8,70.4,75.2,72.8,74.0,71.6,77.4,
23,,,,,65.8,72.2,72.0,74.4,80.0,78.6,74.8,76.4,45.8,75.2,,77.4,68.2,66.2,78.8,72.2,73.4,69.2,74.6,74.0,71.8,76.8,73.8,73.4,68.2,77.8,
24,,,,,65.2,69.8,72.6,71.6,80.2,77.2,75.2,71.8,41.0,74.4,,76.2,69.0,63.8,78.6,73.4,73.4,66.6,73.4,73.4,71.6,75.6,73.2,68.8,66.4,75.6,
25,,,,,62.8,71.6,71.6,62.6,82.0,78.4,70.2,69.0,38.8,71.2,,71.0,73.2,57.0,78.4,72.0,71.0,62.8,74.8,70.8,73.0,73.4,71.8,61.6,69.4,73.6,
26,,68.4,,,68.4,71.8,74.2,59.6,80.8,79.8,64.6,67.4,38.2,67.6,72.2,67.6,74.4,43.2,78.2,72.6,69.4,63.2,75.8,72.8,73.8,73.2,71.8,59.2,72.0,69.0,
27,,62.2,,,69.2,70.8,75.0,58.8,81.2,81.0,64.2,68.0,38.8,62.4,66.8,60.8,,37.8,79.4,71.8,72.2,64.8,77.8,75.2,73.4,73.8,71.4,58.0,72.2,63.8,
28,,62.6,,72.4,73.0,67.6,73.6,58.0,79.4,81.6,67.8,63.8,41.0,64.0,69.0,63.4,74.0,41.2,79.4,70.6,72.6,66.0,75.6,74.0,75.4,72.4,72.8,60.4,73.8,55.2,
29,66.2,64.8,,73.8,70.4,65.4,73.2,60.4,78.8,81.2,71.0,55.2,41.4,62.4,72.4,62.4,72.4,49.2,79.4,70.0,73.0,62.8,73.4,72.8,74.8,70.0,71.4,58.6,74.6,53.0,
30,67.4,68.4,,73.0,65.2,58.6,73.0,60.2,79.2,80.8,70.6,54.4,44.6,60.4,74.2,61.2,69.0,51.4,79.6,70.6,73.4,63.6,73.2,70.4,74.8,70.0,71.8,64.8,74.0,58.4,
31,66.6,,64.8,,57.0,63.0,73.2,58.8,80.2,80.2,68.0,53.8,43.2,59.4,,60.2,66.8,54.2,79.0,68.2,72.4,64.4,71.2,71.2,74.2,71.4,69.6,66.6,74.8,62.2,
32,72.0,,63.6,,52.0,62.4,74.8,51.2,80.4,79.2,63.8,54.2,40.0,58.0,,56.8,66.8,56.4,80.0,67.0,72.4,64.0,74.0,70.2,73.2,70.4,67.0,68.4,75.0,63.0,
33,66.6,,,,45.2,57.2,75.6,49.8,81.2,78.0,62.6,56.6,33.2,54.8,,58.6,62.0,61.0,81.0,67.0,71.2,66.4,75.6,70.2,72.8,71.2,70.8,69.0,76.6,59.6,
34,68.2,,,,41.8,55.8,73.6,50.2,80.2,76.0,60.2,55.2,31.2,48.4,,59.4,56.4,61.4,81.0,68.2,72.8,67.2,75.2,71.2,71.8,71.8,69.8,69.4,74.0,56.4,
35,65.4,74.2,67.0,70.8,38.4,54.0,74.4,50.8,78.8,77.2,63.8,57.8,32.2,55.0,,60.0,,61.6,78.8,69.2,72.8,66.8,76.0,69.6,71.4,73.2,71.0,68.6,74.6,50.4,
36,58.0,75.2,65.8,64.4,35.0,53.8,74.2,48.0,80.2,78.0,63.4,58.6,32.2,54.8,,57.4,56.4,66.6,78.8,70.6,70.4,62.4,76.6,69.6,65.8,74.2,71.2,72.2,73.6,48.6,
37,59.8,75.4,64.4,,29.8,50.8,74.0,43.4,78.2,78.0,61.2,56.8,35.8,56.0,74.0,55.4,58.8,66.2,77.0,71.0,70.6,60.4,75.6,69.2,60.4,73.8,71.8,70.8,72.8,48.4,
38,64.2,,62.0,,31.0,51.2,74.0,46.4,76.4,78.4,61.0,59.2,36.6,55.6,,,61.4,69.2,74.0,70.2,69.4,59.2,75.6,69.2,54.0,73.0,72.4,67.8,70.6,47.4,
39,68.8,,65.2,,31.4,56.0,74.4,52.8,77.2,76.6,61.2,61.0,36.8,51.0,,,62.6,68.8,74.4,68.0,67.2,58.0,71.2,70.6,52.2,73.6,73.0,66.0,68.0,50.8,
40,70.8,,66.6,,32.6,56.0,71.4,57.4,77.2,74.2,62.6,62.0,35.8,46.6,,,62.0,69.8,,65.8,69.6,53.0,67.2,71.0,45.2,73.6,73.4,59.2,65.4,53.6,
41,69.6,,65.2,,40.0,53.0,73.4,64.8,76.4,70.6,59.6,59.2,35.8,49.0,,,63.4,71.6,,66.8,69.6,48.4,69.0,71.8,46.2,72.2,75.0,58.2,62.6,53.6,
42,70.8,,67.0,,42.2,47.6,73.8,68.0,77.0,72.2,55.4,62.2,37.8,51.4,,,63.8,71.8,75.0,69.8,68.6,46.4,69.2,72.4,48.0,72.4,74.2,55.4,60.6,51.4,
43,71.0,,70.0,55.2,39.4,43.4,72.8,70.4,75.6,74.6,51.6,64.2,44.0,53.2,,,65.6,71.4,73.4,70.4,68.4,42.2,68.2,70.8,50.6,71.2,73.6,54.0,57.0,49.2,
44,71.8,,69.8,,,,,,75.4,76.0,,,,55.4,,,,,,70.0,69.2,38.8,67.8,70.6,52.8,70.2,73.4,53.4,49.6,48.8,
45,,,,,,,,,,,,,,,,,,,,70.2,69.0,37.4,69.6,71.4,54.2,70.2,71.4,52.6,46.6,50.6,
46,,,,,,,,,,,,,,,,,,,,69.2,69.2,35.8,67.6,67.2,54.8,69.6,70.8,52.6,44.0,52.4,
47,,,,,,,,,,,,,,,,,,,,67.8,69.2,35.4,67.8,66.2,53.2,68.6,70.8,52.0,44.6,52.6,
48,,,,,,,,,,,,,,,,,,,,,68.6,,,,,68.0,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,52.1,,,,,65.6,55.4,,
