week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8
2,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,60.6,63.6,,,,,49.2,47.0,40.2,48.0,46.0
4,,,,,,,,,,,,,,,,,,,,,60.8,63.2,63.6,,,55.8,49.2,44.0,43.4,45.8,45.4
5,,,,,,,,,,,,,,,,,,,,,61.0,62.6,63.2,,60.2,58.0,48.4,41.6,43.0,47.4,45.0
6,,,,,,,,,,,,,,,,,,,,,61.0,61.6,62.6,,60.4,56.4,46.8,43.2,41.2,46.8,44.8
7,,,,,,,,,,,,,,,,,,,,,61.6,61.4,62.6,,61.0,56.8,43.2,39.4,41.4,45.8,44.4
8,,,,,,,,,,,,,,,,,,,,,61.4,61.6,64.8,53.0,61.4,58.2,47.0,40.8,42.0,48.0,45.0
9,,,,,,,,,,,,,,,,,,,,,61.4,62.2,65.6,55.0,61.0,60.0,47.2,41.0,41.6,50.2,44.2
10,,,,,,,,,,,,,,,,,,,,,62.0,63.6,66.4,58.2,61.6,61.4,48.2,39.6,42.0,48.0,43.2
11,,,,,,,,,,,,,,,,,,,,,62.6,66.0,67.8,58.6,62.2,58.4,49.0,37.8,44.8,49.0,41.8
12,,,,,,,,,,,,,,,,,,,,,65.2,67.0,68.6,58.4,62.4,63.2,48.6,37.6,42.2,53.2,39.8
13,,,,,,,,,,,,,,,,,,,,,67.2,68.4,70.6,61.6,65.0,65.4,48.2,37.4,44.0,51.4,42.6
14,,,,,,,,,,,,,,,,,,,,50.4,68.6,69.2,70.8,61.6,65.4,67.2,46.6,37.2,45.2,50.6,47.2
15,,,,,,,,,,,,,,,,,,,,50.2,69.0,69.6,71.6,61.8,67.0,70.0,47.2,37.0,46.6,52.4,51.0
16,,,,,,,,,,,,,,,,,,,,50.0,73.0,71.6,73.0,62.4,68.8,70.2,45.2,37.2,47.8,54.0,
17,,,,,65.4,,,,,,67.4,,,,,71.2,,,,52.0,73.8,72.4,72.8,61.2,70.4,69.2,47.8,38.2,50.4,54.8,
18,71.4,,71.8,63.6,65.0,57.2,61.8,55.4,57.4,70.2,64.6,47.6,72.2,59.6,54.8,69.2,37.0,53.6,48.0,54.8,75.2,73.2,71.4,61.2,72.4,61.4,52.8,38.6,50.6,56.8,
19,72.6,,72.2,58.4,68.2,57.2,64.8,52.2,56.4,70.4,65.6,52.4,74.2,62.8,55.8,67.8,39.6,58.0,48.8,54.0,76.6,73.8,68.4,60.0,75.2,59.0,55.6,38.0,52.2,55.0,
20,72.8,,73.6,55.4,69.4,57.0,64.2,51.2,53.8,70.8,63.4,50.4,73.6,62.8,56.6,69.0,39.4,58.8,50.0,55.2,77.6,74.6,66.4,58.8,76.0,60.6,58.6,37.6,58.0,57.2,
21,72.2,,74.0,,69.6,60.2,63.8,50.8,52.8,71.2,60.6,46.6,76.4,62.4,57.2,68.2,39.8,56.8,53.0,57.2,78.0,75.6,68.0,57.8,76.0,61.6,61.4,40.0,62.4,57.0,
22,72.2,,76.0,,69.2,57.6,62.4,50.4,51.8,68.6,65.4,47.2,77.4,61.8,57.6,67.2,38.4,56.0,55.4,60.8,78.4,75.8,69.0,55.0,75.0,64.4,67.2,42.2,63.4,60.0,
23,75.4,46.4,75.2,,69.2,60.4,60.6,50.8,52.0,68.0,64.8,43.8,78.8,57.8,59.8,68.4,,54.4,55.6,62.0,80.0,76.8,71.8,52.6,76.4,60.8,66.4,41.8,63.2,56.0,
24,78.0,47.2,78.0,,71.2,65.8,59.0,50.2,56.8,70.0,63.0,41.0,78.2,55.8,58.8,67.2,,55.8,56.4,64.2,79.4,76.4,69.6,52.8,76.0,59.4,64.4,39.4,61.0,55.6,
25,73.2,,78.8,46.2,74.0,68.0,58.8,49.0,61.6,71.8,56.8,40.4,79.6,53.4,53.4,65.6,,55.8,57.4,65.0,80.0,76.6,68.0,53.8,77.4,57.6,63.8,37.8,55.6,55.4,
26,74.4,54.2,78.8,,72.8,67.6,55.2,47.6,62.8,73.0,51.4,38.8,81.6,51.2,48.6,68.6,,52.6,54.8,66.8,80.0,74.4,70.4,55.2,76.8,59.0,66.2,34.6,52.6,59.8,
27,73.6,49.8,76.6,,72.6,65.2,54.4,56.0,62.4,75.4,51.8,44.0,82.8,52.4,47.2,73.0,,51.0,51.2,66.6,79.6,72.2,69.8,55.0,75.4,57.6,72.0,33.2,54.2,58.8,
28,72.8,44.4,,,72.6,61.0,52.2,57.4,64.0,75.8,51.4,43.0,83.2,51.4,45.8,72.6,,53.2,46.4,64.8,79.0,68.4,67.6,56.6,75.2,55.0,71.4,32.8,52.0,55.4,
29,68.4,45.6,,,71.2,55.2,49.6,62.4,63.4,72.2,53.6,40.0,81.4,50.4,44.6,71.4,,54.2,51.0,65.4,76.8,64.4,65.0,52.8,71.2,52.8,69.0,31.2,51.0,55.8,
30,65.8,48.8,67.2,,67.4,51.8,47.4,62.6,63.2,69.0,55.4,38.4,82.0,49.8,44.8,72.2,,52.8,53.2,64.0,72.6,63.6,62.8,49.2,68.6,52.8,68.8,29.0,46.0,56.2,
31,70.2,,67.8,,62.0,48.6,46.6,61.0,60.2,69.0,54.4,38.0,83.2,46.2,48.0,70.2,,50.0,52.0,63.6,69.4,60.4,62.8,46.0,63.0,55.4,68.6,29.6,43.6,58.0,
32,75.2,48.8,66.4,,58.2,48.0,43.2,62.2,56.0,70.0,58.2,36.2,82.6,44.8,49.4,65.8,,47.4,50.0,63.6,64.8,59.4,66.4,46.6,57.8,54.0,66.8,30.6,40.8,56.6,
33,70.0,52.2,68.0,,56.8,45.2,45.0,61.0,56.2,69.8,59.4,35.4,79.0,49.2,47.6,63.2,,48.2,48.8,59.8,61.6,63.8,65.2,49.0,54.2,52.4,67.0,33.0,38.0,52.4,
34,67.2,52.0,65.8,,51.2,42.6,42.2,58.8,54.2,70.8,58.8,33.6,77.6,56.4,51.4,60.4,,48.8,47.8,57.6,61.0,69.4,68.4,47.4,53.4,48.4,64.4,40.4,36.8,46.8,
35,70.4,59.6,65.0,46.8,52.6,38.6,48.4,58.4,51.2,72.0,57.8,35.8,79.2,57.2,46.8,59.0,,49.0,46.8,56.0,60.2,72.2,69.4,48.6,52.0,48.6,63.8,48.4,39.0,47.0,
36,64.0,61.4,63.0,46.4,51.6,37.2,56.8,55.6,55.4,70.6,55.2,36.6,78.8,60.6,48.2,61.8,,45.8,45.2,56.6,58.8,72.2,69.2,52.8,50.8,49.2,60.8,52.8,38.0,49.6,
37,67.4,63.0,63.0,48.4,53.0,36.4,60.0,59.6,56.4,70.0,54.4,37.8,79.2,63.0,48.4,65.6,,48.6,45.6,56.6,59.4,72.4,67.4,58.8,51.8,54.8,56.0,53.6,38.0,51.2,
38,68.8,65.4,58.6,53.8,47.4,36.2,58.2,59.6,60.2,70.2,51.2,40.6,78.6,63.6,55.4,66.0,,48.6,47.8,57.4,58.8,72.4,64.6,64.0,51.6,59.2,55.4,50.6,40.0,49.6,
39,68.2,67.6,61.8,54.6,48.2,39.2,60.4,59.4,60.2,66.4,49.6,42.0,76.0,62.6,58.6,66.2,,50.6,50.8,58.4,57.4,71.4,64.2,66.6,51.2,59.6,56.2,48.8,38.0,51.4,
40,70.0,69.4,59.6,54.2,44.8,36.6,60.0,57.0,62.2,67.2,46.6,41.2,74.6,60.0,61.4,64.8,,52.2,,59.8,56.4,70.2,64.6,70.2,50.6,61.4,57.2,46.2,41.2,46.6,
41,68.2,70.8,62.2,55.6,44.6,40.2,59.4,58.0,64.2,70.6,50.2,44.4,72.8,58.8,62.0,62.8,,53.4,,60.4,54.6,68.6,65.4,71.8,49.8,56.2,60.0,45.4,40.4,45.0,
42,64.6,67.8,63.4,55.0,45.0,41.0,57.6,58.8,64.8,70.0,47.8,46.8,72.8,58.0,62.2,60.2,,54.6,58.0,60.6,51.6,67.6,65.4,71.2,50.6,54.8,60.4,43.8,40.8,43.6,
43,62.2,61.6,65.8,56.0,42.8,46.8,55.6,62.6,63.6,70.6,45.8,47.8,70.4,57.0,62.0,56.8,,53.6,58.4,59.8,52.6,65.6,61.6,71.2,50.6,53.0,60.0,46.2,43.4,44.4,
44,61.0,,63.0,58.4,,,,,64.2,72.4,,,,54.2,,,,,,58.8,55.2,64.6,60.0,71.0,51.2,,58.8,49.8,44.8,45.0,
45,,,,,,,,,,,,,,,,,,,,60.0,57.4,64.8,60.6,70.2,51.6,,56.8,47.0,47.0,44.8,
46,,,,,,,,,,,,,,,,,,,,60.0,60.2,64.2,60.0,67.2,50.2,,56.4,46.2,48.6,44.4,
47,,,,,,,,,,,,,,,,,,,,60.2,61.4,63.8,58.0,64.4,51.4,,55.6,50.0,46.2,45.0,
48,,,,,,,,,,,,,,,,,,,,,61.2,,,,51.4,50.6,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,
