week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
13,,,,,,,,,,,,,,,,,,,,,,65.1,,,,,,56.4,63.8,,,
14,,,,,,,,,,,,,,,,,,,,52.599999999999994,56.5,65.1,64.0,,56.0,,67.8,58.0,62.2,56.6,55.8,60.0
15,,,,,,,,,,,,,,,,,,,,53.400000000000006,58.7,65.7,66.4,,53.6,,68.5,59.0,61.8,61.2,55.6,61.0
16,,,,,,,,,,,,,,,,,,,,56.0,61.900000000000006,69.69999999999999,69.4,,58.2,63.4,69.4,62.0,60.0,65.8,57.4,
17,,,,,73.60000000000001,,,,,,68.8,,,,,72.46666666666667,68.46666666666667,,,59.199999999999996,65.33333333333333,72.73333333333333,73.0,60.0,60.2,67.8,70.8,61.26666666666667,59.5,71.2,62.6,
18,66.73333333333333,57.5,61.13333333333333,73.46666666666667,73.86666666666666,66.2,76.93333333333334,71.26666666666667,65.06666666666666,66.93333333333334,67.93333333333334,74.8,72.93333333333334,70.13333333333334,69.06666666666666,73.86666666666666,70.0,74.2,58.333333333333336,62.0,67.2,74.86666666666667,74.39999999999999,68.0,67.33333333333333,70.39999999999999,71.53333333333335,63.26666666666667,66.46666666666665,74.0,70.66666666666667,
19,69.1,59.73333333333333,63.53333333333334,75.0,77.8,71.46666666666667,78.86666666666666,73.39999999999999,73.39999999999999,66.53333333333333,70.33333333333333,77.60000000000001,72.60000000000001,73.06666666666666,71.66666666666667,74.1,74.0,76.06666666666666,63.6,65.39999999999999,71.06666666666666,75.46666666666667,77.13333333333333,73.26666666666667,68.26666666666667,71.33333333333333,69.13333333333334,67.93333333333334,70.46666666666667,76.4,73.8,
20,68.8,61.800000000000004,63.0,75.06666666666666,79.13333333333334,76.93333333333334,81.33333333333333,70.93333333333334,74.73333333333333,69.60000000000001,71.33333333333333,79.0,72.46666666666667,74.93333333333334,74.86666666666667,75.4,76.8,74.0,67.8,68.39999999999999,73.06666666666666,76.0,78.0,75.33333333333333,70.60000000000001,72.26666666666667,69.0,71.73333333333333,75.0,77.2,74.0,
21,69.4,66.1,59.86666666666667,71.46666666666665,77.86666666666667,75.26666666666667,81.2,69.93333333333334,76.06666666666666,73.06666666666666,72.06666666666666,78.86666666666666,71.06666666666666,73.53333333333335,73.73333333333333,75.6,78.2,72.73333333333333,71.86666666666667,72.0,74.0,76.60000000000001,77.86666666666667,76.86666666666667,69.86666666666666,74.0,70.26666666666667,74.06666666666666,73.2,78.46666666666665,75.13333333333333,
22,72.4,68.3,63.06666666666666,69.60000000000001,80.33333333333333,78.39999999999999,81.2,72.66666666666667,75.39999999999999,76.86666666666666,70.8,78.06666666666666,72.60000000000001,72.8,69.9,75.30000000000001,79.2,74.73333333333333,75.53333333333333,75.33333333333333,75.39999999999999,77.13333333333333,78.8,78.93333333333334,73.33333333333333,75.93333333333334,68.39999999999999,75.39999999999999,66.86666666666667,80.66666666666667,75.26666666666667,
23,,71.5,63.4,69.46666666666665,78.39999999999999,78.0,81.73333333333333,73.2,74.06666666666666,76.13333333333334,71.33333333333333,76.0,76.39999999999999,75.53333333333333,70.53333333333333,78.69999999999999,78.6,70.86666666666666,75.60000000000001,76.39999999999999,76.46666666666667,77.73333333333333,77.86666666666666,79.26666666666667,73.0,76.60000000000001,63.20000000000001,75.53333333333333,62.4,80.2,74.66666666666667,
24,73.0,72.8,60.86666666666667,69.26666666666667,77.86666666666666,78.13333333333334,81.0,76.53333333333335,76.46666666666667,76.33333333333333,72.06666666666666,73.26666666666667,68.8,77.46666666666665,72.13333333333333,,79.0,68.46666666666667,78.46666666666667,77.66666666666667,77.46666666666667,77.26666666666667,77.0,79.26666666666667,73.13333333333333,76.2,62.333333333333336,75.60000000000001,58.6,79.66666666666667,72.86666666666667,
25,65.0,77.2,62.26666666666667,71.26666666666667,76.06666666666666,78.13333333333333,82.0,75.46666666666665,71.73333333333333,76.8,68.33333333333333,70.60000000000001,68.0,78.33333333333333,73.53333333333335,,81.0,68.33333333333333,78.73333333333333,78.73333333333333,78.73333333333333,76.13333333333334,76.86666666666667,79.60000000000001,73.93333333333334,75.26666666666667,62.13333333333333,75.06666666666666,56.13333333333333,79.26666666666667,73.53333333333333,
26,68.06666666666666,78.80000000000001,64.66666666666667,65.2,77.0,78.53333333333335,77.13333333333334,73.86666666666666,72.33333333333333,77.39999999999999,68.53333333333333,70.46666666666665,62.800000000000004,76.93333333333334,73.26666666666667,,80.1,62.73333333333333,79.46666666666667,79.13333333333334,78.46666666666667,73.46666666666667,76.06666666666666,78.46666666666667,74.13333333333334,74.86666666666667,63.666666666666664,74.66666666666667,59.199999999999996,78.86666666666666,74.2,
27,71.60000000000001,72.66666666666667,67.60000000000001,68.4,77.33333333333333,78.73333333333333,73.13333333333334,67.06666666666666,71.33333333333333,73.60000000000001,63.86666666666667,59.26666666666667,57.86666666666667,75.13333333333333,71.13333333333334,,73.69999999999999,57.4,77.73333333333333,79.46666666666667,78.39999999999999,73.06666666666666,76.66666666666667,76.33333333333333,75.26666666666667,71.0,64.66666666666667,73.13333333333334,58.333333333333336,79.2,75.0,
28,66.26666666666667,69.6,67.53333333333333,65.5,74.0,75.73333333333333,62.333333333333336,65.8,73.39999999999999,75.93333333333334,56.800000000000004,54.13333333333333,51.93333333333334,74.66666666666667,68.66666666666667,80.2,73.60000000000001,49.4,76.8,79.93333333333332,77.53333333333333,73.60000000000001,76.73333333333333,72.60000000000001,73.73333333333333,70.86666666666667,61.79999999999999,72.2,58.199999999999996,78.8,75.06666666666666,
29,69.26666666666667,69.0,66.06666666666666,73.9,75.13333333333333,73.2,55.666666666666664,59.13333333333333,72.26666666666667,74.39999999999999,57.46666666666667,53.73333333333333,49.333333333333336,74.26666666666667,62.46666666666667,75.0,72.46666666666665,47.53333333333333,72.60000000000001,78.06666666666666,78.26666666666667,73.0,74.73333333333333,71.0,72.93333333333334,69.86666666666666,60.73333333333333,70.60000000000001,57.06666666666666,79.13333333333334,74.53333333333335,
30,70.39999999999999,63.6,63.7,65.0,74.86666666666667,70.06666666666666,57.333333333333336,60.13333333333333,69.33333333333333,71.13333333333333,62.6,52.4,45.13333333333333,71.86666666666667,61.06666666666666,78.4,73.26666666666667,47.6,70.86666666666667,75.60000000000001,77.2,72.86666666666666,73.0,70.8,73.0,73.2,60.6,68.66666666666667,58.26666666666667,78.13333333333333,74.86666666666667,
31,69.8,65.39999999999999,67.46666666666667,56.26666666666667,71.33333333333333,68.26666666666667,55.666666666666664,60.86666666666667,65.0,70.06666666666666,59.666666666666664,57.93333333333334,40.0,69.39999999999999,61.199999999999996,77.66666666666667,73.39999999999999,47.666666666666664,69.53333333333333,73.39999999999999,75.46666666666665,72.26666666666667,72.13333333333334,69.93333333333334,71.66666666666667,71.2,61.333333333333336,68.46666666666665,56.800000000000004,76.26666666666667,74.86666666666666,
32,71.46666666666667,65.53333333333335,65.93333333333334,56.06666666666666,73.60000000000001,66.26666666666667,51.800000000000004,61.26666666666667,62.26666666666667,71.0,58.06666666666666,58.666666666666664,40.46666666666667,67.60000000000001,60.93333333333334,78.3,73.39999999999999,50.86666666666667,68.26666666666667,70.39999999999999,73.93333333333334,71.60000000000001,69.86666666666666,69.13333333333334,70.46666666666665,70.2,61.46666666666667,70.0,58.06666666666666,76.66666666666667,73.2,
33,75.8,60.93333333333334,65.33333333333333,58.46666666666666,72.33333333333333,68.93333333333334,52.199999999999996,63.06666666666666,54.06666666666666,69.33333333333333,61.06666666666666,58.06666666666666,45.06666666666666,61.86666666666667,63.26666666666667,69.4,71.26666666666667,51.4,65.26666666666667,68.0,71.86666666666667,72.73333333333333,69.53333333333333,66.2,69.60000000000001,70.06666666666666,59.0,69.73333333333333,59.800000000000004,76.13333333333334,72.13333333333334,
34,75.46666666666667,61.13333333333333,64.7,58.333333333333336,73.53333333333335,68.93333333333334,54.800000000000004,68.8,47.53333333333333,66.60000000000001,60.53333333333333,60.06666666666666,56.26666666666666,56.26666666666667,66.8,73.8,70.13333333333334,51.93333333333334,58.26666666666667,69.8,71.53333333333333,74.0,69.53333333333335,66.66666666666667,67.93333333333334,67.0,58.53333333333333,70.53333333333333,57.93333333333334,76.39999999999999,72.33333333333333,
35,74.1,57.53333333333333,69.60000000000001,62.46666666666667,69.2,66.86666666666666,57.800000000000004,66.93333333333334,44.73333333333333,67.66666666666667,59.333333333333336,63.199999999999996,59.13333333333333,50.0,69.66666666666667,69.4,67.06666666666666,49.333333333333336,55.79999999999999,71.0,71.73333333333333,73.86666666666666,68.93333333333334,68.13333333333334,69.53333333333333,67.93333333333334,59.13333333333333,70.06666666666666,55.86666666666667,74.33333333333333,71.2,
