week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,73.2,,,,,,,,,,76.8
3,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,60.6,,,
4,,,,,,,,,,,,,,,,,,,,,,70.4,69.2,61.4,,,,,63.8,74.0,
5,,,,,,,,,,,,,,,,,,,,,67.6,,,,,,,,,,68.8
7,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,55.8,,,
8,,,,,,,,,,,,,,,,,,,,,,68.8,70.2,63.6,67.4,,,,63.0,66.0,
9,,,,,,,,,,,,,,,,,,,,,67.4,,,,,,,,,,80.0
12,,,,,,,,,,,,,,,,,,,,,,,71.8,59.6,64.2,,45.4,57.4,61.8,68.0,
13,,,,,,,,,,,,,,,,,,,,,63.6,72.4,72.8,61.4,59.4,68.0,44.2,55.6,60.2,67.0,69.2
14,,,,,,,,,,,,,,,,,,,,66.2,63.0,72.6,72.6,63.4,65.4,66.0,43.6,55.6,62.4,63.4,66.6
15,,,,,,,,,,,,,,,,,,,,66.2,60.8,74.0,72.8,62.8,69.0,67.4,43.6,57.4,64.8,62.8,65.6
16,,,,,,,,,,,,,,,,,,,,66.6,60.8,74.4,73.2,62.0,72.4,67.6,43.6,56.4,66.8,64.0,
17,,,,,75.0,,,,,,77.2,,,,,,,,,69.8,59.6,75.2,76.4,62.6,77.0,66.2,42.6,57.6,69.6,66.6,
18,,72.2,,,76.2,68.6,68.8,56.8,60.4,64.2,78.8,81.8,67.6,63.4,70.6,,,70.4,63.6,69.8,59.8,76.2,81.4,61.4,77.6,68.2,41.0,56.4,69.8,71.8,
19,,69.0,,,77.8,69.2,69.0,55.0,62.0,65.0,79.6,81.4,67.2,59.2,69.4,,,68.0,64.0,70.6,64.2,77.4,81.0,64.6,82.0,64.8,41.2,56.8,72.4,77.8,
20,,68.4,,,77.6,68.2,70.4,53.2,63.6,64.6,80.6,79.2,68.2,60.4,70.2,,,66.8,65.8,70.6,67.6,79.2,82.6,66.0,84.4,63.4,40.0,55.2,71.4,75.8,
21,,70.4,,,78.6,68.8,70.0,53.2,63.8,65.4,81.8,77.2,65.8,63.6,69.8,,,62.0,66.8,70.6,71.0,79.8,80.8,63.2,86.0,64.0,41.0,55.6,71.0,69.6,
22,,72.4,,,80.2,67.0,68.6,50.8,62.4,66.0,80.0,77.6,63.6,68.4,73.4,,,65.6,69.0,68.8,73.8,78.4,79.4,59.2,85.8,64.2,41.8,61.2,74.0,75.8,
23,,72.0,,,77.8,63.8,66.6,48.8,62.8,66.4,83.0,75.6,67.2,66.0,75.4,,,62.4,67.6,67.2,75.0,77.6,78.8,62.8,86.6,68.8,41.4,58.4,72.2,77.6,
24,,68.0,,,74.8,61.6,67.0,49.4,63.2,67.0,83.2,68.4,59.6,69.0,77.0,,,58.4,65.6,65.8,75.6,77.2,76.2,61.4,89.0,68.6,39.6,55.8,77.0,75.6,
25,,66.6,,,71.2,59.4,66.0,47.4,62.8,66.4,83.8,71.0,57.4,71.8,,,,55.8,62.4,65.4,74.6,75.6,75.4,56.0,87.8,66.8,40.0,56.2,78.8,76.2,
26,,64.2,,,69.6,57.8,63.2,46.6,63.0,65.4,83.4,70.0,55.4,72.4,,,,53.6,60.6,64.0,73.2,73.2,73.2,57.8,88.2,64.2,40.8,56.8,75.4,75.2,
27,,65.4,,,69.6,55.2,61.2,46.8,62.4,64.4,82.2,66.0,53.6,71.2,,,,50.4,61.0,63.2,72.8,72.0,70.6,53.8,86.6,63.8,39.4,58.4,75.4,78.4,
28,,66.0,76.4,,70.0,53.0,61.8,44.0,62.2,64.4,81.4,68.0,51.0,70.0,,,,51.4,60.4,62.8,72.8,70.8,66.8,50.2,84.0,64.2,41.0,56.2,72.2,76.6,
29,,66.0,71.8,,69.0,53.8,61.6,42.8,59.6,61.8,80.2,68.0,45.8,69.8,,,,52.6,59.8,62.2,72.4,70.6,64.8,52.8,81.2,59.6,41.4,52.8,71.4,80.4,
30,,,,,69.2,51.4,61.2,42.2,60.2,64.4,79.6,68.4,46.2,70.6,,,,53.8,69.0,62.4,71.4,70.8,67.2,52.8,78.8,63.6,43.6,55.2,75.4,76.4,
31,,,,71.4,68.8,50.0,60.2,41.4,58.8,63.8,78.2,69.2,51.8,68.8,,74.8,,51.4,61.0,62.6,70.6,70.4,65.8,50.0,78.4,67.0,44.0,57.2,75.2,75.0,
32,,,75.8,,68.4,47.4,59.8,40.4,59.6,61.8,78.8,70.8,52.8,67.8,,75.6,,49.6,63.0,62.4,70.2,69.8,62.8,49.2,79.4,65.4,41.6,58.0,72.0,77.0,
33,,60.0,,73.0,68.8,46.6,57.8,39.6,58.4,59.0,78.2,68.2,47.4,67.8,,75.6,,48.0,58.6,62.6,70.0,68.6,62.8,48.8,76.4,63.6,44.4,62.6,72.8,75.8,
34,,,77.6,,69.2,44.8,57.2,39.2,59.2,64.8,77.0,67.4,50.2,67.0,,74.8,,50.4,56.6,64.2,70.4,67.8,59.8,47.0,79.0,60.0,40.6,62.8,74.6,74.0,
