week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,61.2,,,,,,57.2,,,,,,,,,,,58.0,,,,,90.0,73.2,,
18,,,56.8,,65.6,63.6,57.8,64.4,68.6,62.4,60.0,63.0,66.2,67.8,,69.0,,80.6,61.0,58.0,49.6,60.6,69.0,75.4,55.6,71.6,90.0,74.8,86.6,69.8
19,,,,,65.2,75.2,61.0,67.2,71.8,68.6,65.4,81.0,65.4,71.2,,,77.6,86.8,80.6,78.0,66.8,61.2,68.6,88.2,53.8,63.6,88.8,84.8,93.6,80.0
20,,,,,72.4,81.2,61.6,76.2,78.2,78.8,69.0,82.4,81.0,68.2,,71.0,,86.2,82.6,80.6,71.8,62.0,76.8,93.2,55.0,79.2,93.0,88.0,95.0,90.6
21,,,,,66.6,84.8,63.8,73.2,77.4,80.8,76.0,84.8,81.8,69.2,,,75.6,85.0,77.6,83.6,77.8,67.6,75.8,93.0,58.6,91.8,93.0,86.2,91.6,90.0
22,,,,,68.2,90.6,71.0,76.8,80.2,80.4,73.0,82.0,87.0,72.2,,69.0,75.2,83.2,73.6,83.8,73.2,72.4,65.6,93.4,64.2,91.6,93.8,94.4,91.2,95.0
23,,,72.0,,78.8,91.2,76.0,77.0,80.4,79.8,77.8,86.0,83.0,72.2,,,,81.8,73.2,84.4,75.0,78.8,67.0,80.8,86.0,92.6,93.0,82.0,95.0,80.0
24,,,,,68.0,87.2,76.6,81.4,81.4,75.0,82.4,70.6,77.6,71.4,,,,81.6,70.8,84.0,75.2,75.4,71.2,76.8,85.0,92.6,93.0,82.0,90.0,83.4
25,,,,,54.4,90.0,82.8,80.8,80.4,78.6,86.4,80.4,75.4,75.0,,70.4,66.6,87.4,74.2,84.0,81.0,47.6,71.6,73.0,81.8,89.2,76.0,78.0,93.0,90.0
26,,,,,56.0,88.0,77.6,78.2,78.4,78.2,76.4,84.0,71.6,72.2,,,67.4,86.4,75.0,84.0,72.8,43.8,65.4,79.8,83.8,87.6,66.0,70.6,95.0,86.6
27,,,,,68.6,86.0,75.8,78.2,76.8,72.6,79.2,82.2,68.4,72.4,,,62.0,76.8,73.0,82.8,78.8,51.0,66.4,72.2,85.4,85.4,71.8,71.0,93.0,90.8
