week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,57.4
3,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,55.6,,,
4,,,,,,,,,,,,,,,,,,,,,,60.4,55.0,58.4,,,,,59.0,58.8,
5,,,,,,,,,,,,,,,,,,,,,59.6,,,,,,,,,,60.8
7,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,58.2,,,
8,,,,,,,,,,,,,,,,,,,,,,55.2,53.4,56.8,52.2,,,,60.0,58.6,
9,,,,,,,,,,,,,,,,,,,,,53.6,,,,,,,,,,58.8
12,,,,,,,,,,,,,,,,,,,,,,,59.6,61.4,53.8,,60.2,61.6,63.4,62.0,
13,,,,,,,,,,,,,,,,,,,,,57.4,67.0,62.0,63.8,57.0,66.4,65.2,58.6,64.8,70.2,57.8
14,,,,,,,,,,,,,,,,,,,,,58.4,65.8,64.4,64.4,57.2,66.0,67.0,64.2,65.8,68.8,59.2
15,,,,,,,,,,,,,,,,,,,,67.6,62.2,64.4,63.0,60.4,62.0,69.0,69.0,66.4,66.2,69.4,63.6
16,,,,,,,,,,,,,,,,,,,,67.6,69.4,58.2,64.6,61.6,65.8,71.0,71.0,65.6,67.0,71.8,
17,,,,,70.2,,,,,,74.2,,,,,,75.2,,,68.0,71.2,58.2,69.6,67.4,63.4,69.2,71.0,63.8,67.6,70.4,
18,58.8,,,,62.6,78.0,62.8,69.6,74.6,77.6,75.2,64.2,72.2,70.2,75.6,67.8,76.6,73.0,72.2,67.4,72.8,62.2,71.6,66.4,66.6,73.2,70.2,64.0,67.8,68.0,
19,61.0,,,,62.8,72.4,57.2,70.0,74.8,78.8,72.4,66.2,72.0,70.4,,67.6,78.0,74.8,75.6,67.4,73.2,64.8,72.4,61.4,69.8,74.8,70.6,66.0,65.2,71.2,
