week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
11,,,,,,,,,,,,,,,,,,,,,,,70.0,65.4,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,67.6,62.8,51.6,,63.2,,,,
13,,,,,,,,,,,,,,,,,,,,,61.6,72.8,68.4,62.0,55.6,,55.8,54.6,62.0,67.0,
14,,,,,,,,,,,,,,,,,,,,,63.8,73.0,69.2,65.0,66.0,68.2,48.4,56.6,57.2,68.6,69.6
15,,,,,,,,,,,,,,,,,,,,,63.6,75.0,69.8,67.0,69.0,70.4,46.2,50.6,53.4,69.4,70.6
16,,,,,,,,,,,,,,,,,,,,,63.4,77.4,72.2,71.8,70.2,70.8,46.8,50.4,53.0,71.4,
17,,,,,63.4,,,,,,63.0,,,,,68.8,67.2,,,69.6,65.6,76.4,74.6,74.6,70.0,72.2,44.6,54.6,53.2,69.2,
18,,,,,63.4,68.4,60.0,65.4,66.4,69.4,61.0,78.4,76.4,62.8,65.0,69.8,67.2,74.8,71.0,69.4,66.2,78.2,79.6,74.0,69.6,70.6,44.8,56.6,53.8,68.4,
19,,,,,64.2,66.6,65.6,60.4,68.8,66.8,62.2,77.2,76.6,67.0,65.6,69.2,73.2,73.8,69.0,69.0,63.8,79.2,79.2,78.2,69.8,65.8,42.2,61.2,57.0,68.0,
20,,,,,65.4,65.8,63.6,60.2,69.8,54.6,66.2,77.4,76.2,63.8,,,,74.6,70.2,68.2,66.0,77.4,80.8,76.6,69.4,67.4,42.0,64.6,60.4,66.8,
21,,,,,64.2,67.6,59.2,61.2,74.4,57.6,66.2,77.2,73.6,64.2,,,,73.6,69.8,68.4,66.0,77.0,81.0,74.2,70.8,69.2,37.6,67.6,63.6,67.6,
22,,,,,61.6,67.0,59.2,62.0,77.6,64.0,65.6,75.4,75.4,63.8,,,,73.2,69.0,68.8,65.4,76.6,82.6,77.2,66.6,69.6,33.6,69.8,64.6,67.0,
23,,,,,64.0,68.4,59.0,62.6,72.2,57.4,63.8,72.0,74.2,63.8,68.4,,,75.0,65.2,67.4,67.2,76.2,82.4,75.6,69.6,69.0,36.8,72.2,65.4,67.8,
24,,,,,55.0,68.0,60.4,61.4,73.6,60.2,66.4,72.0,71.0,67.6,67.0,,,76.4,65.8,67.6,66.2,76.4,84.2,75.2,67.6,65.2,38.2,71.6,66.4,67.4,
25,74.0,,,,60.8,63.2,58.6,62.4,68.0,62.4,65.0,73.2,73.0,63.6,66.4,,,75.4,67.4,66.4,65.6,74.0,79.2,76.4,66.0,66.4,35.2,73.2,68.4,66.0,
26,,,,,59.0,64.4,55.4,60.6,66.6,60.2,64.4,72.6,72.4,62.0,,,,77.6,67.0,66.4,62.4,74.8,76.4,73.4,63.4,67.6,32.0,73.8,66.4,65.0,
27,71.8,,,,57.0,63.0,52.8,61.6,65.8,56.8,61.4,69.6,69.8,58.6,63.4,,,79.6,67.0,65.6,57.2,74.8,72.4,74.0,62.4,66.4,31.2,75.2,63.0,62.0,
28,66.2,,,69.0,54.4,61.6,51.0,60.0,63.0,60.0,63.0,76.4,69.2,55.8,60.8,,,79.2,66.6,64.8,59.2,73.8,72.6,68.6,63.8,65.6,26.0,75.2,59.8,56.2,
29,69.6,,,68.0,53.2,61.0,50.2,60.2,58.2,59.6,60.4,72.0,68.6,62.4,,71.2,,77.4,65.0,63.0,57.8,73.4,62.8,62.4,60.8,61.6,25.6,74.0,57.4,52.8,
30,68.8,,72.0,71.4,51.4,60.2,51.2,55.2,57.0,63.0,56.6,68.0,67.0,55.6,,71.4,76.0,73.4,63.8,61.6,56.6,69.6,61.0,59.2,61.6,60.4,24.6,71.8,56.2,50.0,
31,64.8,,70.4,61.0,49.2,55.4,49.2,53.8,57.0,62.4,63.6,67.4,65.6,60.0,,,75.4,75.2,66.4,60.6,54.8,68.8,63.2,55.4,58.0,57.0,25.2,72.0,53.0,48.0,
32,64.2,,69.2,,48.2,52.2,46.0,53.6,57.8,61.0,64.6,66.8,65.8,52.8,,,68.6,69.8,57.2,59.6,54.4,67.4,54.0,53.0,59.4,55.2,25.6,71.2,49.8,49.0,
33,66.2,,64.2,,53.2,55.4,45.0,52.4,57.8,60.4,58.0,63.6,57.6,57.2,,63.4,68.2,64.6,61.0,59.0,52.6,64.0,56.6,50.8,55.4,54.4,27.6,69.4,48.0,50.2,
34,,,,56.8,51.0,53.8,42.0,53.8,56.6,58.8,53.2,65.2,56.8,53.8,,57.4,72.8,64.2,61.0,59.4,46.2,63.0,46.8,50.6,57.0,50.2,27.4,68.2,45.6,50.4,
35,,,62.4,52.2,50.8,54.6,43.0,52.8,57.0,61.8,57.4,65.2,62.0,53.4,60.4,62.6,63.2,65.0,60.0,59.4,42.2,63.4,41.4,48.2,54.6,49.8,26.8,66.2,46.0,48.6,
36,,,69.4,,49.2,55.8,42.0,55.2,56.6,67.2,52.8,59.2,64.2,57.6,54.2,62.4,69.6,63.6,60.8,58.0,42.2,62.2,41.4,46.0,53.4,49.4,24.6,66.0,48.2,49.8,
37,,,68.0,,45.6,55.4,42.0,51.4,57.6,64.6,56.2,58.0,61.2,55.6,54.2,63.8,70.6,63.8,58.6,58.6,40.2,62.2,40.8,47.6,55.8,47.8,26.2,65.6,44.2,47.8,
38,,,,,45.2,55.0,42.0,49.0,56.0,68.4,55.6,64.4,57.2,44.4,54.0,68.4,65.6,60.0,64.8,57.6,38.2,60.8,47.2,48.0,61.0,47.0,24.6,63.2,39.8,46.8,
