week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
12,,,,,,,,,,,,,,,,,,,,,,,62.4,67.4,54.8,,68.2,73.4,68.0,72.2,
13,,,,,,,,,,,,,,,,,,,,,63.4,66.6,62.2,66.6,56.2,71.2,72.0,72.6,68.2,72.6,66.6
14,,,,,,,,,,,,,,,,,,,,59.8,59.8,63.8,62.8,67.8,61.2,68.4,72.4,70.4,72.8,75.2,65.8
15,,,,,,,,,,,,,,,,,,,,61.8,61.8,60.8,65.8,65.4,61.0,66.4,72.2,71.8,72.6,68.0,66.8
16,,,,,,,,,,,,,,,,,,,,60.8,65.0,60.2,65.0,63.4,62.2,69.4,71.6,73.2,70.2,70.8,
17,,,,,69.4,,,,,,71.0,,,,,,65.0,,,62.2,66.0,62.0,69.4,63.0,67.4,71.8,74.8,73.0,69.6,72.6,
18,65.0,63.0,65.6,,69.0,70.2,65.2,77.2,69.0,74.2,69.2,67.2,66.2,66.4,67.0,,,66.6,65.6,67.2,68.6,65.2,72.4,64.2,66.6,74.4,73.6,71.6,70.6,76.4,
19,,66.4,67.6,,66.0,71.2,59.0,76.4,71.8,73.8,67.8,68.8,64.4,68.8,67.0,,,68.0,70.0,66.2,67.8,65.2,75.6,65.6,69.4,72.0,70.6,72.6,71.6,78.0,
20,,68.4,68.0,,65.0,70.2,61.4,77.8,74.4,75.4,78.2,67.6,62.8,71.8,,,,70.6,70.6,71.6,67.6,68.8,75.8,69.8,70.8,66.0,68.0,74.6,72.4,78.0,
21,,,,,60.6,76.0,69.2,76.6,77.6,78.2,72.0,65.8,62.2,70.2,71.6,,,68.8,73.6,72.0,69.2,71.6,76.0,69.8,74.0,65.4,72.4,75.4,72.6,81.8,
22,,,72.4,,56.8,77.8,72.0,74.0,78.6,79.2,74.0,67.6,59.8,72.4,71.4,,,70.4,72.0,73.2,69.2,72.8,76.4,66.0,73.8,65.4,70.8,75.4,72.6,78.0,
23,,,73.2,77.4,46.6,78.4,73.6,73.0,77.4,80.2,73.4,71.8,59.0,72.8,71.4,,,70.2,76.0,73.4,71.0,73.2,75.2,68.0,75.8,64.6,75.0,76.4,65.8,76.8,
24,,,74.0,,51.0,82.0,73.6,75.6,78.0,81.0,71.6,67.6,58.8,77.4,,,,68.2,77.8,72.8,71.2,73.0,78.4,70.4,76.2,67.0,69.4,78.8,66.4,75.4,
25,,,,,42.6,80.0,74.8,72.8,78.8,83.0,68.8,68.4,54.0,76.4,,67.0,77.8,71.2,77.6,75.0,72.2,72.8,79.6,70.0,73.0,68.2,71.0,78.2,65.0,68.8,
26,,,,,39.2,76.8,75.8,68.6,77.4,81.0,64.8,67.6,54.0,76.0,,60.0,,60.0,77.4,76.4,72.6,72.8,73.6,71.2,76.6,69.6,67.0,77.6,73.4,64.2,
27,,,,,37.4,80.2,76.4,67.2,78.2,79.4,68.0,69.0,53.6,78.0,,53.2,,53.8,76.8,72.6,75.8,72.4,73.8,73.4,75.4,73.4,66.8,77.8,69.0,55.6,
28,,,,,32.2,82.6,76.2,69.2,77.6,78.4,70.4,72.6,51.4,78.8,,62.8,66.2,52.6,76.6,68.8,77.0,73.8,70.0,71.8,74.6,73.0,64.8,77.0,67.8,51.2,
29,,,65.6,,34.2,83.0,77.4,69.8,79.0,76.2,67.4,73.6,53.4,79.4,,57.4,72.2,56.8,78.6,70.0,76.0,71.8,70.0,70.2,74.6,64.4,69.4,75.4,69.4,49.0,
30,,,,,30.0,83.0,76.2,70.8,79.8,77.0,69.0,72.0,51.8,77.0,71.8,59.8,63.6,59.2,74.8,69.6,76.0,71.4,72.8,69.2,72.8,69.0,57.8,71.4,71.4,43.8,
31,65.6,,,,34.0,83.0,76.4,69.6,77.0,73.8,62.8,70.8,56.0,78.0,74.0,54.6,64.4,64.0,80.0,68.6,75.0,70.8,69.2,69.6,71.6,68.8,58.0,74.8,73.6,43.2,
32,,,67.4,,33.0,80.4,75.8,64.6,78.6,77.0,64.4,68.6,50.6,76.8,,56.8,65.8,59.4,78.0,72.2,75.4,69.8,68.2,68.8,70.6,68.8,53.6,75.0,73.8,45.2,
33,,,65.8,,34.4,80.2,76.8,63.2,80.4,74.0,64.0,62.2,50.0,75.2,74.6,53.0,63.0,64.2,79.2,68.2,73.2,71.4,66.8,71.4,70.4,71.2,55.6,75.8,73.8,44.4,
34,,,72.0,,36.6,84.0,76.8,60.0,80.0,73.8,62.8,61.6,52.2,66.0,,51.2,62.4,62.6,81.0,68.8,71.8,68.8,70.8,71.4,71.4,67.2,62.4,75.6,70.8,30.8,
35,,,71.4,64.8,38.2,84.0,75.8,58.0,78.2,72.4,61.0,66.0,48.8,66.4,75.4,47.8,62.4,62.0,81.4,69.6,70.8,65.4,71.0,72.0,69.4,73.4,66.0,73.0,70.0,37.0,
36,,,67.4,62.4,39.6,83.2,75.6,50.2,80.6,65.0,66.2,67.0,46.8,66.8,72.4,44.4,64.6,64.6,81.0,71.2,67.6,63.6,69.4,68.6,69.2,74.4,67.6,76.4,70.0,33.2,
37,,,,60.2,39.8,82.8,73.8,46.2,79.8,72.0,58.6,70.0,48.4,64.0,,42.2,69.4,62.6,78.6,70.0,65.8,62.4,70.4,67.8,61.6,70.0,70.4,76.8,68.4,28.4,
38,,,67.4,51.8,39.6,83.8,71.0,48.0,80.0,73.4,55.2,71.6,46.2,58.8,,41.4,,65.2,80.6,70.4,66.4,59.4,65.2,69.6,60.6,68.8,73.4,77.0,68.8,30.0,
39,,,,59.6,48.2,82.2,73.0,48.2,78.4,,49.6,71.0,43.6,59.6,65.4,45.4,,67.6,78.6,66.2,63.8,58.8,57.8,71.2,44.0,67.6,75.2,75.8,67.2,31.4,
40,66.4,,69.2,54.0,50.6,82.0,69.8,54.0,76.4,,54.4,73.0,40.2,55.6,66.0,47.2,,66.0,,65.0,68.2,63.4,62.8,72.2,45.4,67.2,76.2,73.2,65.8,33.6,
41,65.4,,64.8,58.4,50.8,80.0,67.4,57.2,78.4,73.2,54.4,71.6,41.0,47.2,66.6,,,69.4,,64.2,66.2,63.6,62.8,69.4,47.8,69.0,73.4,73.6,61.6,32.2,
42,67.2,,61.0,64.2,56.0,79.2,67.0,62.2,73.4,73.2,55.4,71.0,41.2,51.2,,,70.4,67.4,77.6,65.2,65.6,63.6,58.0,69.4,51.8,72.0,71.2,70.6,66.4,32.8,
43,65.8,,61.4,58.4,52.6,75.2,59.0,65.6,73.6,72.6,60.6,70.4,42.2,50.0,67.2,,69.6,68.2,75.4,67.6,65.6,63.8,65.8,70.4,58.0,70.2,76.2,68.4,68.2,30.6,
44,66.2,,65.0,,,,,,77.2,71.4,,,,43.8,,,,,,67.4,68.0,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,,,,
