week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,64.0,57.0,66.0,48.0,,,,,,,66.5
2,,,,,,,,,,,,,,,,,,,,,67.0,58.0,70.0,49.0,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,70.0,60.0,70.0,47.0,,,39.5,60.5,,,
4,,,,,,,,,,,,,,,,,,,,,71.0,61.0,70.0,49.5,,,,,61.0,79.0,
5,,,,,,,,,,,,,,,,,,,,,71.0,64.0,70.0,,,,,,,,61.5
6,,,,,,,,,,,,,,,,,,,,,71.0,64.0,70.0,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,70.0,68.0,70.0,,,,46.0,58.2,,,
8,,,,,,,,,,,,,,,,,,,,,71.0,67.0,72.0,53.0,82.5,,,,78.5,84.5,
9,,,,,,,,,,,,,,,,,,,,,71.0,72.0,73.0,,,,,,,,61.0
10,,,,,,,,,,,,,,,,,,,,,70.0,73.0,75.0,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,70.0,79.0,75.0,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,72.0,76.0,76.0,61.0,75.5,,60.5,68.0,69.5,84.0,
13,,,,,,,,,,,,,,,,,,,,,68.0,73.0,77.0,63.0,79.5,65.0,62.0,67.0,76.5,85.5,69.5
14,,,,,,,,,,,,,,,,,,,,48.0,67.0,73.0,80.0,66.0,80.3,61.0,56.0,66.0,78.5,86.0,69.5
15,,,,,,,,,,,,,,,,,,,,49.0,66.0,73.0,80.0,70.5,80.0,64.0,52.5,57.0,78.5,88.5,68.5
16,,,,,,,,,,,,,,,,,,,,44.0,66.0,76.5,83.0,77.5,81.5,68.0,52.0,59.0,77.0,87.0,
17,,,,,78.2,,,,,,83.2,,,,,63.6,,,,47.0,64.0,76.5,85.0,75.5,77.5,66.0,52.0,59.5,75.5,87.0,
18,,,,,76.9,71.7,68.1,57.3,74.5,68.2,83.6,87.5,52.8,54.3,66.8,,,65.9,51.6,47.0,51.5,76.5,88.5,68.0,75.0,65.0,52.5,60.0,76.5,86.5,
