week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,56.4,63.8,56.0,
14,,,,,,,,,,,,,,,,,,,,42.8,53.8,67.6,65.0,,56.0,,71.0,58.0,62.2,56.6,55.8
15,,,,,,,,,,,,,,,,,,,,43.2,57.0,68.8,67.2,,53.6,,71.8,59.0,61.8,61.2,55.6
16,,,,,,,,,,,,,,,,,,,,49.4,62.2,71.8,71.0,,58.2,63.4,72.8,62.0,65.4,65.8,
17,,,,,78.4,,,,,,68.0,,,,,74.4,67.4,,,54.8,65.0,73.6,75.4,57.2,60.2,67.8,73.6,62.8,63.2,71.2,
18,66.4,,61.2,75.8,79.8,64.8,80.2,75.4,65.4,69.0,65.4,75.0,72.8,74.8,67.2,74.0,68.0,75.8,52.0,59.4,68.8,76.2,77.2,66.4,62.0,69.8,74.0,67.4,67.6,73.4,
19,73.6,62.4,67.4,79.0,85.4,71.4,80.4,75.0,77.0,67.4,68.0,77.2,70.4,79.0,71.8,,73.6,76.8,64.6,66.6,72.8,77.0,79.6,73.4,64.4,72.6,71.8,72.6,73.6,74.4,
20,,63.8,66.4,76.8,88.4,79.2,82.6,71.0,78.8,74.4,70.0,79.2,71.2,79.2,76.0,75.4,77.8,73.8,70.2,72.2,74.6,77.0,80.0,77.8,67.2,74.0,74.4,74.4,77.8,74.2,
21,,,63.6,73.6,83.4,76.8,83.2,70.4,76.0,76.0,70.2,79.8,67.8,78.2,73.6,74.6,,73.4,75.0,76.0,75.2,77.4,80.2,78.2,69.2,78.0,77.8,77.0,78.6,76.6,
22,,,65.2,76.0,87.6,80.8,82.2,76.8,77.8,80.8,72.0,78.0,70.0,77.0,74.0,76.4,,75.6,78.2,79.4,77.2,77.8,81.4,80.8,70.0,78.2,75.8,78.2,74.4,78.8,
23,,,67.0,74.6,85.8,80.8,84.0,75.6,73.4,79.2,74.0,76.0,77.2,81.4,70.0,78.6,,69.0,80.0,80.4,78.4,79.0,80.8,82.2,70.8,79.8,71.4,78.2,70.2,79.6,
