week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,,,,,,,,,,,,,,,,,,,,,76.4,,,,,,,,,,59.6
3,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,49.4,,,
4,,,,,,,,,,,,,,,,,,,,,,68.2,58.6,62.8,,,,,63.8,67.6,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,46.4,,,
8,,,,,,,,,,,,,,,,,,,,,,69.2,55.2,59.8,64.8,,,,58.6,64.4,
9,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,60.4
12,,,,,,,,,,,,,,,,,,,,,,,58.6,60.4,64.2,,44.4,53.6,66.0,66.2,
13,,,,,,,,,,,,,,,,,,,,,63.8,70.4,58.8,61.4,61.2,64.4,48.2,46.6,61.2,69.2,48.4
14,,,,,,,,,,,,,,,,,,,,65.6,67.2,70.8,60.0,61.8,60.2,71.2,45.0,43.2,60.6,73.0,49.4
15,,,,,,,,,,,,,,,,,,,,66.6,67.4,70.2,62.2,64.4,62.0,70.2,45.4,49.2,61.6,72.6,43.8
16,,,,,,,,,,,,,,,,,,,,68.2,67.6,70.6,63.0,65.4,66.2,72.8,48.6,44.0,60.2,73.6,
17,,,,,74.6,,,,,,49.8,,,,,68.2,72.2,,,69.8,68.6,73.8,64.2,68.6,69.0,73.4,50.2,43.2,61.4,68.0,
18,,,75.4,,74.8,73.2,59.6,51.6,53.0,54.6,53.4,67.0,63.0,64.2,,,,67.0,48.4,72.0,70.0,75.4,66.8,71.0,68.8,72.6,51.6,47.0,66.0,70.0,
19,,,,,81.6,73.0,58.2,49.4,59.4,49.8,60.6,69.2,64.8,65.4,,,,62.4,50.6,74.6,71.4,76.2,70.4,72.4,71.2,72.6,52.0,49.4,66.4,72.8,
20,,,68.8,,81.0,72.2,58.2,48.0,61.6,49.2,62.8,64.0,64.6,65.6,,,,56.6,52.6,75.0,71.8,76.8,74.8,73.8,73.8,73.6,56.0,53.4,67.6,72.0,
21,,,,75.6,81.6,71.0,56.6,47.2,61.6,48.2,69.0,63.6,67.6,69.8,,,,56.6,57.4,77.0,75.0,78.0,75.4,72.6,71.6,75.0,55.6,56.6,69.4,75.0,
22,,,,69.6,83.2,69.8,55.0,48.0,61.4,49.0,73.6,60.2,68.2,73.2,,,,52.6,58.4,77.6,78.8,78.0,76.0,73.8,75.8,72.4,56.0,62.4,68.8,74.6,
23,,,,68.6,84.8,61.0,55.4,45.6,63.0,47.2,77.6,57.6,68.2,74.6,,,,51.2,59.0,79.2,79.6,74.8,73.8,75.8,77.0,69.8,55.2,64.6,72.6,72.0,
24,,,,73.4,87.6,62.8,55.6,44.8,63.8,43.2,78.2,54.8,69.0,76.0,,,,45.6,58.6,78.4,81.0,73.4,73.2,74.4,79.2,68.0,49.0,67.8,74.4,68.4,
25,,,,73.2,85.4,62.2,53.0,42.0,65.0,44.0,77.2,51.4,69.2,76.6,,,,42.2,58.6,79.0,80.4,71.4,73.6,71.6,76.6,65.4,53.4,64.4,67.6,66.0,
26,,,,73.0,86.6,61.8,51.4,39.0,65.8,44.6,76.2,48.4,67.2,76.2,,,,39.6,55.2,79.2,79.4,70.2,72.2,73.0,73.4,61.8,53.0,64.6,75.6,63.6,
27,,,,71.0,83.2,56.4,50.0,37.0,66.2,45.4,74.0,45.6,65.2,77.6,,,,41.6,56.2,78.0,79.6,70.4,67.2,72.0,73.6,60.2,50.2,62.6,78.0,59.6,
28,,,77.6,71.8,83.4,54.0,52.0,35.8,65.6,45.2,72.0,44.4,62.6,76.8,,,,40.2,56.4,78.0,80.8,69.4,64.6,70.0,75.0,55.4,48.0,59.0,76.8,55.8,
29,,,,69.8,78.0,52.2,50.4,35.0,63.4,46.2,69.2,42.0,60.8,72.8,,,,38.2,54.8,78.0,79.8,67.8,66.8,70.2,73.0,52.2,44.2,57.8,75.0,50.2,
30,,,,69.8,79.2,48.8,51.2,34.8,61.8,45.6,68.0,39.6,60.8,71.2,,,,35.6,54.8,77.2,79.0,65.8,66.8,70.2,73.6,47.8,45.8,63.0,78.2,47.8,
31,,,,70.4,78.4,44.6,49.8,34.0,61.4,48.0,67.6,37.4,61.2,68.4,,,,35.4,54.0,76.8,78.6,65.0,63.8,72.0,72.2,48.4,42.0,58.4,77.2,47.2,
32,,,,71.2,77.2,45.8,49.6,32.4,58.4,46.8,67.4,37.6,61.8,67.0,,,,34.6,53.4,76.6,77.8,63.6,65.4,70.0,71.4,44.8,44.0,54.4,80.8,46.2,
33,,66.4,,72.0,77.0,42.6,46.4,32.8,56.4,44.0,67.4,36.6,61.0,66.4,,,,33.8,53.4,76.6,77.2,61.6,65.6,67.6,72.8,42.2,43.6,55.2,77.2,41.2,
34,,,,71.2,74.6,41.4,44.8,32.8,54.6,43.2,67.4,37.8,61.0,66.6,,,72.8,32.8,53.2,77.2,77.6,61.4,64.4,64.8,69.6,39.6,42.4,55.6,77.8,48.4,
35,,,,73.8,75.8,41.2,42.0,33.6,51.6,42.2,66.8,37.2,60.0,66.4,70.4,,71.2,31.8,51.6,78.0,77.0,61.0,62.2,63.2,65.8,39.2,43.4,56.4,78.0,46.4,
36,,,76.4,68.4,73.6,39.4,42.8,33.4,51.8,42.2,66.2,37.2,59.0,65.6,70.4,,70.6,31.8,50.8,78.2,77.0,61.0,59.0,63.4,64.6,37.2,40.6,52.6,76.0,44.8,
37,,,74.6,69.0,78.4,36.6,44.4,33.8,52.4,41.4,64.8,39.4,58.8,66.2,68.8,,71.0,31.6,53.6,78.8,76.2,60.0,59.0,63.4,65.2,36.6,39.0,57.0,74.8,40.4,
38,,,75.6,71.0,77.4,38.0,42.8,34.2,54.6,41.2,65.4,40.0,58.6,67.0,68.0,,69.8,31.6,55.8,78.8,75.0,60.6,60.2,58.0,64.0,40.6,41.4,62.6,75.6,40.0,
39,,,79.4,69.6,78.2,40.0,42.2,34.0,55.2,42.6,65.8,40.4,57.2,65.8,68.4,68.4,69.2,31.2,57.2,79.6,73.4,61.2,61.2,59.8,66.0,42.6,38.0,58.6,75.4,44.6,
40,,66.8,79.0,74.2,77.8,39.4,42.0,35.2,56.0,45.4,65.4,41.6,56.8,65.6,67.0,69.4,68.8,31.4,,80.0,73.8,61.0,61.6,62.4,67.6,38.8,43.8,56.0,76.6,49.0,
